frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1808,1499,1,76561197997351207,2,rain,Kevlar Vest,equipment,01JM6EZ8Q5P98BYJRPMDWT5HXA,0,ec6d6c73b46d11c0
1811,1502,1,76561198201620490,2,broky,Kevlar Vest,equipment,01JM6EZ8Q5P98BYJRPMFHXY2Q2,0,ec6d6c73b46d11c0
1908,1573,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM6EZ8Q74A3F48ZGB6XS0RHB,0,ec6d6c73b46d11c0
1918,1581,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM6EZ8Q74A3F48ZGB9G7NQT9,0,ec6d6c73b46d11c0
2043,1688,1,76561197991272318,2,ropz,Kevlar Vest,equipment,01JM6EZ8Q9BRQKP78YQ710C5M9,0,ec6d6c73b46d11c0
2228,1808,1,76561197982141573,3,Snax,Kevlar Vest,equipment,01JM6EZ8QC698EXFHQCJB7SQYA,0,ec6d6c73b46d11c0
2273,1840,1,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6EZ8QDHZ3BFQ807K9RJ83X,0,ec6d6c73b46d11c0
2314,1872,1,76561197989430253,2," karrigan",Flashbang,grenade,01JM6EZ8QE1KT35AQTAWNEBG2J,0,ec6d6c73b46d11c0
2461,1972,1,76561198080703143,3,malbsMd,Kevlar Vest,equipment,01JM6EZ8QGMQBM24P1G2CHXHE7,0,ec6d6c73b46d11c0
2751,2205,1,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM6EZ8QNEK5V8CES5TEYKSPJ,0,ec6d6c73b46d11c0
2825,2258,1,76561198068422762,2,frozen,Decoy Grenade,grenade,01JM6EZ8QPRB2X1FRTSP37627D,0,ec6d6c73b46d11c0
2852,2279,1,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM6EZ8QQ9MDR9VXNPMVP7J2E,1,ec6d6c73b46d11c0
10190,8525,2,76561197997351207,2,rain,Kevlar + Helmet,equipment,01JM6EZ91S8EC8A7FRG3Y26XME,0,ec6d6c73b46d11c0
10204,8537,2,76561198068422762,2,frozen,Galil AR,rifle,01JM6EZ91THYMNAQKWPD06SJ4Z,0,ec6d6c73b46d11c0
10209,8542,2,76561198201620490,2,broky,Kevlar + Helmet,equipment,01JM6EZ91THYMNAQKWPJG9GRRW,0,ec6d6c73b46d11c0
10215,8546,2,76561197997351207,2,rain,AK-47,rifle,01JM6EZ91THYMNAQKWPNBKEBGE,0,ec6d6c73b46d11c0
10233,8556,2,76561198201620490,2,broky,Galil AR,rifle,01JM6EZ91THYMNAQKWPSX2VYZ8,0,ec6d6c73b46d11c0
10233,8556,2,76561198068422762,2,frozen,Kevlar + Helmet,equipment,01JM6EZ91THYMNAQKWPTY2RBEE,0,ec6d6c73b46d11c0
10240,8561,2,76561197997351207,2,rain,Smoke Grenade,grenade,01JM6EZ91VAQ6Z30XMYJS4RZ0T,0,ec6d6c73b46d11c0
10240,8561,2,76561197989430253,2," karrigan",Kevlar + Helmet,equipment,01JM6EZ91VAQ6Z30XMYN397GNH,0,ec6d6c73b46d11c0
10251,8568,2,76561198201620490,2,broky,Smoke Grenade,grenade,01JM6EZ91VAQ6Z30XMYRNV1EH4,0,ec6d6c73b46d11c0
10275,8584,2,76561198201620490,2,broky,Molotov,grenade,01JM6EZ91VAQ6Z30XMYSPNJDSQ,0,ec6d6c73b46d11c0
10282,8587,2,76561197989430253,2," karrigan",Galil AR,rifle,01JM6EZ91VAQ6Z30XMYWKN6E5M,0,ec6d6c73b46d11c0
10295,8593,2,76561197997351207,2,rain,HE Grenade,grenade,01JM6EZ91VAQ6Z30XMZ203DD1P,0,ec6d6c73b46d11c0
10312,8605,2,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6EZ91WNTS9XNKQJP18BKT4,0,ec6d6c73b46d11c0
10329,8618,2,76561197989430253,2," karrigan",HE Grenade,grenade,01JM6EZ91WNTS9XNKQJQJ8EZ1T,0,ec6d6c73b46d11c0
10332,8620,2,76561197997351207,2,rain,Flashbang,grenade,01JM6EZ91WNTS9XNKQJRNHT8E7,0,ec6d6c73b46d11c0
10343,8630,2,76561198068422762,2,frozen,Molotov,grenade,01JM6EZ91WNTS9XNKQJT2Y81FB,0,ec6d6c73b46d11c0
10346,8633,2,76561197989430253,2," karrigan",Molotov,grenade,01JM6EZ91WNTS9XNKQJVYW5T9D,0,ec6d6c73b46d11c0
10351,8636,2,76561198041683378,3,NiKo,Smoke Grenade,grenade,01JM6EZ91WNTS9XNKQJZ63RSVP,0,ec6d6c73b46d11c0
10360,8642,2,76561198068422762,2,frozen,HE Grenade,grenade,01JM6EZ91XH717WPTJPX16YWX1,0,ec6d6c73b46d11c0
10372,8652,2,76561197989430253,2," karrigan",Flashbang,grenade,01JM6EZ91XH717WPTJPZ8ZSACF,0,ec6d6c73b46d11c0
10375,8655,2,76561198068422762,2,frozen,Smoke Grenade,grenade,01JM6EZ91XH717WPTJPZBGC2Q9,0,ec6d6c73b46d11c0
10382,8659,2,76561198041683378,3,NiKo,Flashbang,grenade,01JM6EZ91XH717WPTJQ2JJ3NZJ,0,ec6d6c73b46d11c0
10428,8694,2,76561197991272318,2,ropz,MP7,smg,01JM6EZ91YWA21Q34H86XTY0A5,0,ec6d6c73b46d11c0
10445,8709,2,76561197991272318,2,ropz,Kevlar + Helmet,equipment,01JM6EZ91YWA21Q34H8A86WMNM,0,ec6d6c73b46d11c0
10516,8759,2,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM6EZ91ZZCYQ3ECA4VBTQ3DG,0,ec6d6c73b46d11c0
10556,8781,2,76561198041683378,3,NiKo,Desert Eagle,pistol,01JM6EZ920C19P2SCDQGWD85T8,0,ec6d6c73b46d11c0
