steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198170631091,Krimbo,2,800,700,900,pistol,1,8863fb1ebba84df1
76561198015308884,biguzera,3,800,800,700,pistol,1,8863fb1ebba84df1
76561198377335846,snow,3,800,650,850,pistol,1,8863fb1ebba84df1
76561198078771373,JDC,2,800,650,850,pistol,1,8863fb1ebba84df1
76561198172837021,rigoN,2,800,650,850,pistol,1,8863fb1ebba84df1
76561197961491680,tabseN,2,800,700,500,pistol,1,8863fb1ebba84df1
76561198350342505,nqz,3,800,650,1150,pistol,1,8863fb1ebba84df1
76561198385657675,kauez,3,800,650,950,pistol,1,8863fb1ebba84df1
76561197980122997,syrsoN,2,800,650,1250,pistol,1,8863fb1ebba84df1
76561198074017668," lux",3,800,650,1150,pistol,1,8863fb1ebba84df1
76561198377335846,snow,3,3950,3950,4150,semi,2,8863fb1ebba84df1
76561197980122997,syrsoN,2,2650,2000,2200,semi,2,8863fb1ebba84df1
76561198078771373,JDC,2,2650,2650,2850,force-buy,2,8863fb1ebba84df1
76561198074017668," lux",3,3950,3850,4050,semi,2,8863fb1ebba84df1
76561198015308884,biguzera,3,3500,3450,3850,semi,2,8863fb1ebba84df1
76561198350342505,nqz,3,4250,4250,5100,full,2,8863fb1ebba84df1
76561198385657675,kauez,3,4250,4150,5100,full,2,8863fb1ebba84df1
76561198172837021,rigoN,2,2650,2650,3150,force-buy,2,8863fb1ebba84df1
76561198170631091,Krimbo,2,2900,2800,2950,force-buy,2,8863fb1ebba84df1
76561197961491680,tabseN,2,3200,3100,3300,force-buy,2,8863fb1ebba84df1
76561198015308884,biguzera,3,1450,1450,3050,force-buy,3,8863fb1ebba84df1
76561198078771373,JDC,2,3800,2200,4200,full,3,8863fb1ebba84df1
76561198172837021,rigoN,2,3800,1050,4200,full,3,8863fb1ebba84df1
76561198074017668," lux",3,1500,1450,2900,force-buy,3,8863fb1ebba84df1
76561198350342505,nqz,3,1400,1250,4400,force-buy,3,8863fb1ebba84df1
76561198377335846,snow,3,1400,1250,2700,force-buy,3,8863fb1ebba84df1
76561198385657675,kauez,3,1500,1500,2000,force-buy,3,8863fb1ebba84df1
76561197980122997,syrsoN,2,4150,1500,3400,semi,3,8863fb1ebba84df1
76561198170631091,Krimbo,2,3900,1550,5400,full,3,8863fb1ebba84df1
76561197961491680,tabseN,2,3900,1100,4100,full,3,8863fb1ebba84df1
76561197980122997,syrsoN,2,6500,1100,5200,full,4,8863fb1ebba84df1
76561198078771373,JDC,2,4850,4800,5000,full,4,8863fb1ebba84df1
76561197961491680,tabseN,2,6650,1100,4100,full,4,8863fb1ebba84df1
76561198015308884,biguzera,3,1900,0,200,eco,4,8863fb1ebba84df1
76561198172837021,rigoN,2,6300,4900,5100,full,4,8863fb1ebba84df1
76561198074017668," lux",3,1950,0,200,eco,4,8863fb1ebba84df1
76561198170631091,Krimbo,2,5900,4900,5100,full,4,8863fb1ebba84df1
76561198350342505,nqz,3,2950,0,200,eco,4,8863fb1ebba84df1
76561198377335846,snow,3,2050,0,200,eco,4,8863fb1ebba84df1
76561198385657675,kauez,3,1900,0,200,eco,4,8863fb1ebba84df1
76561197980122997,syrsoN,2,8950,4750,7050,full,5,8863fb1ebba84df1
76561198078771373,JDC,2,4200,700,5000,full,5,8863fb1ebba84df1
76561198172837021,rigoN,2,4650,300,5100,full,5,8863fb1ebba84df1
76561198074017668," lux",3,4350,4350,4550,full,5,8863fb1ebba84df1
76561198170631091,Krimbo,2,4550,500,5000,full,5,8863fb1ebba84df1
76561197961491680,tabseN,2,8800,0,5200,full,5,8863fb1ebba84df1
76561198015308884,biguzera,3,4300,4250,4650,full,5,8863fb1ebba84df1
76561198350342505,nqz,3,5350,5250,5450,full,5,8863fb1ebba84df1
76561198377335846,snow,3,4450,4350,4550,full,5,8863fb1ebba84df1
76561198385657675,kauez,3,4300,4150,4150,force-buy,5,8863fb1ebba84df1
76561198172837021,rigoN,2,5750,4800,5000,full,6,8863fb1ebba84df1
76561198350342505,nqz,3,3350,2900,5200,full,6,8863fb1ebba84df1
76561198377335846,snow,3,3950,3850,2900,semi,6,8863fb1ebba84df1
76561197980122997,syrsoN,2,5700,2200,7150,full,6,8863fb1ebba84df1
76561198078771373,JDC,2,4100,600,5100,full,6,8863fb1ebba84df1
76561198074017668," lux",3,3250,3200,3400,semi,6,8863fb1ebba84df1
76561198170631091,Krimbo,2,5450,2100,5000,full,6,8863fb1ebba84df1
76561197961491680,tabseN,2,9100,5900,5100,full,6,8863fb1ebba84df1
76561198015308884,biguzera,3,3600,3450,3650,semi,6,8863fb1ebba84df1
76561198385657675,kauez,3,3400,3400,5200,full,6,8863fb1ebba84df1
76561198350342505,nqz,3,2650,0,200,eco,7,8863fb1ebba84df1
76561197980122997,syrsoN,2,6950,2100,7050,full,7,8863fb1ebba84df1
76561198078771373,JDC,2,6750,4900,5100,full,7,8863fb1ebba84df1
76561197961491680,tabseN,2,7150,2900,5000,full,7,8863fb1ebba84df1
76561198377335846,snow,3,2000,0,200,eco,7,8863fb1ebba84df1
76561198385657675,kauez,3,2200,0,200,eco,7,8863fb1ebba84df1
76561198172837021,rigoN,2,4500,2200,5100,full,7,8863fb1ebba84df1
76561198074017668," lux",3,1950,0,200,eco,7,8863fb1ebba84df1
76561198170631091,Krimbo,2,6600,3100,5000,full,7,8863fb1ebba84df1
76561198015308884,biguzera,3,2650,200,400,eco,7,8863fb1ebba84df1
76561198385657675,kauez,3,4600,4550,4750,full,8,8863fb1ebba84df1
76561198078771373,JDC,2,5400,700,5100,full,8,8863fb1ebba84df1
76561198170631091,Krimbo,2,7050,0,5000,full,8,8863fb1ebba84df1
76561197961491680,tabseN,2,7500,700,5100,full,8,8863fb1ebba84df1
76561198015308884,biguzera,3,4850,4850,5050,full,8,8863fb1ebba84df1
76561198377335846,snow,3,4400,4350,4550,full,8,8863fb1ebba84df1
76561197980122997,syrsoN,2,8200,300,7150,full,8,8863fb1ebba84df1
76561198172837021,rigoN,2,6150,4900,5100,full,8,8863fb1ebba84df1
76561198074017668," lux",3,4650,4550,4750,full,8,8863fb1ebba84df1
76561198350342505,nqz,3,5050,5050,5250,full,8,8863fb1ebba84df1
76561198385657675,kauez,3,3250,2350,2550,semi,9,8863fb1ebba84df1
76561197980122997,syrsoN,2,11150,6850,7050,full,9,8863fb1ebba84df1
76561198078771373,JDC,2,8550,4900,5100,full,9,8863fb1ebba84df1
76561198172837021,rigoN,2,4500,2100,5000,full,9,8863fb1ebba84df1
76561197961491680,tabseN,2,10350,5100,5000,full,9,8863fb1ebba84df1
76561198074017668," lux",3,3000,1450,1450,semi,9,8863fb1ebba84df1
76561198170631091,Krimbo,2,11200,3400,5000,full,9,8863fb1ebba84df1
76561198015308884,biguzera,3,3200,1650,1650,semi,9,8863fb1ebba84df1
76561198350342505,nqz,3,3000,200,400,eco,9,8863fb1ebba84df1
76561198377335846,snow,3,3250,500,800,eco,9,8863fb1ebba84df1
76561197961491680,tabseN,2,8800,700,5100,full,10,8863fb1ebba84df1
76561198015308884,biguzera,3,4950,4950,5150,full,10,8863fb1ebba84df1
76561198350342505,nqz,3,6200,6100,6300,full,10,8863fb1ebba84df1
76561198377335846,snow,3,6450,6400,6600,full,10,8863fb1ebba84df1
76561197980122997,syrsoN,2,7950,0,7050,full,10,8863fb1ebba84df1
76561198074017668," lux",3,4950,4850,5050,full,10,8863fb1ebba84df1
76561198385657675,kauez,3,4300,4250,4950,full,10,8863fb1ebba84df1
76561198078771373,JDC,2,7200,200,5300,full,10,8863fb1ebba84df1
76561198172837021,rigoN,2,6250,2200,5100,full,10,8863fb1ebba84df1
76561198170631091,Krimbo,2,11050,3600,5100,full,10,8863fb1ebba84df1
76561198015308884,biguzera,3,3250,2700,5800,full,11,8863fb1ebba84df1
76561198350342505,nqz,3,3550,1900,7000,full,11,8863fb1ebba84df1
76561198377335846,snow,3,3300,2250,7650,full,11,8863fb1ebba84df1
76561198078771373,JDC,2,8400,4900,5100,full,11,8863fb1ebba84df1
76561198170631091,Krimbo,2,7750,900,5000,full,11,8863fb1ebba84df1
76561198385657675,kauez,3,3600,1600,5150,full,11,8863fb1ebba84df1
76561197980122997,syrsoN,2,7950,1000,7150,full,11,8863fb1ebba84df1
76561198172837021,rigoN,2,5450,2200,5100,full,11,8863fb1ebba84df1
76561198074017668," lux",3,3350,3200,5050,full,11,8863fb1ebba84df1
76561197961491680,tabseN,2,9500,7500,5000,full,11,8863fb1ebba84df1
76561198350342505,nqz,3,4550,4550,4750,full,12,8863fb1ebba84df1
76561198385657675,kauez,3,4900,4850,5050,full,12,8863fb1ebba84df1
76561198170631091,Krimbo,2,10400,2050,5100,full,12,8863fb1ebba84df1
76561198015308884,biguzera,3,3750,3700,3900,force-buy,12,8863fb1ebba84df1
76561198377335846,snow,3,3950,3800,4000,force-buy,12,8863fb1ebba84df1
76561197980122997,syrsoN,2,10400,1200,7650,full,12,8863fb1ebba84df1
76561198078771373,JDC,2,7350,3700,5000,full,12,8863fb1ebba84df1
76561198172837021,rigoN,2,6500,5800,5600,full,12,8863fb1ebba84df1
