frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1814,1485,1,76561198201620490,3,broky,Kevlar Vest,equipment,01JM6F0ZVN36K49M6MY205TGMS,0,6a0a0abd5ac9d66e
1814,1485,1,76561197997351207,3,rain,Kevlar Vest,equipment,01JM6F0ZVN36K49M6MY5DKS2ZK,0,6a0a0abd5ac9d66e
1828,1492,1,76561198068422762,3,frozen,Kevlar Vest,equipment,01JM6F0ZVN36K49M6MY5QWG3J1,0,6a0a0abd5ac9d66e
1860,1510,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM6F0ZVQN6JY2J0ZZ2DM8DM2,0,6a0a0abd5ac9d66e
2073,1640,1,76561197989430253,3," karrigan",Flashbang,grenade,01JM6F0ZVT823AZF9VA318DZ77,0,6a0a0abd5ac9d66e
2102,1665,1,76561197989430253,3," karrigan",Smoke Grenade,grenade,01JM6F0ZVV9R8DSTMYY3Z596R5,0,6a0a0abd5ac9d66e
2103,1666,1,76561198058500492,2,KSCERATO,Smoke Grenade,grenade,01JM6F0ZVV9R8DSTMYY7GMTA8W,0,6a0a0abd5ac9d66e
2111,1671,1,76561198067763828,2,chelo,Kevlar Vest,equipment,01JM6F0ZVV9R8DSTMYYA5Z2RS5,0,6a0a0abd5ac9d66e
2132,1687,1,76561198058500492,2,KSCERATO,Flashbang,grenade,01JM6F0ZVWW56M5BE4T3JTAGP7,0,6a0a0abd5ac9d66e
2188,1723,1,76561198118646644,2,skullz,Kevlar Vest,equipment,01JM6F0ZVWW56M5BE4T4DZJVK0,0,6a0a0abd5ac9d66e
2204,1732,1,76561197960690195,2,FalleN,Smoke Grenade,grenade,01JM6F0ZVX2D5422CX0T9A0T2S,0,6a0a0abd5ac9d66e
2229,1749,1,76561197960690195,2,FalleN,Molotov,grenade,01JM6F0ZVX2D5422CX0WR6X9QS,0,6a0a0abd5ac9d66e
2245,1762,1,76561198068422762,3,frozen,Flashbang,grenade,01JM6F0ZVWW56M5BE4T6473M7T,0,6a0a0abd5ac9d66e
2252,1767,1,76561198164970560,2,yuurih,Kevlar Vest,equipment,01JM6F0ZVX2D5422CX10PEQRT4,0,6a0a0abd5ac9d66e
10097,8339,2,76561198068422762,3,frozen,MP9,smg,01JM6F106AVD1S4MZTEXPA72PY,0,6a0a0abd5ac9d66e
10117,8357,2,76561197991272318,3,ropz,Kevlar + Helmet,equipment,01JM6F106BT5M0ZNQG5F1G1G3R,0,6a0a0abd5ac9d66e
10120,8358,2,76561198068422762,3,frozen,Kevlar + Helmet,equipment,01JM6F106BT5M0ZNQG5G87WTYD,0,6a0a0abd5ac9d66e
10171,8391,2,76561197989430253,3," karrigan",Kevlar + Helmet,equipment,01JM6F106CYPA66QH3TJCMMDF2,0,6a0a0abd5ac9d66e
10220,8423,2,76561198068422762,3,frozen,Incendiary Grenade,grenade,01JM6F106CYPA66QH3TN99KM2P,0,6a0a0abd5ac9d66e
10234,8434,2,76561198068422762,3,frozen,HE Grenade,grenade,01JM6F106DQ5KZ7JB6QV816QHE,0,6a0a0abd5ac9d66e
10245,8444,2,76561198068422762,3,frozen,Smoke Grenade,grenade,01JM6F106DQ5KZ7JB6QVSQK38F,0,6a0a0abd5ac9d66e
10266,8455,2,76561197989430253,3," karrigan",FAMAS,rifle,01JM6F106DQ5KZ7JB6QX2A08HV,0,6a0a0abd5ac9d66e
10303,8475,2,76561197989430253,3," karrigan",Smoke Grenade,grenade,01JM6F106ED4KTYR6EXEE2FHVM,1,6a0a0abd5ac9d66e
10340,8495,2,76561197991272318,3,ropz,M4A4,rifle,01JM6F106F7EF6DWJX7TWFEVCW,0,6a0a0abd5ac9d66e
10453,8584,2,76561197991272318,3,ropz,Smoke Grenade,grenade,01JM6F106H79SNKWZKPZ1SGWZE,0,6a0a0abd5ac9d66e
10459,8590,2,76561197989430253,3," karrigan",HE Grenade,grenade,01JM6F106H79SNKWZKPZH9QAQS,0,6a0a0abd5ac9d66e
10500,8618,2,76561197989430253,3," karrigan",Smoke Grenade,grenade,01JM6F106H79SNKWZKQ3TQBWDT,0,6a0a0abd5ac9d66e
10628,8721,2,76561198118646644,2,skullz,Kevlar + Helmet,equipment,01JM6F106K6AGST87ZNFYREHWP,0,6a0a0abd5ac9d66e
10637,8726,2,76561198067763828,2,chelo,Tec-9,pistol,01JM6F106K6AGST87ZNH04S5Q3,0,6a0a0abd5ac9d66e
10651,8734,2,76561198058500492,2,KSCERATO,Kevlar + Helmet,equipment,01JM6F106MCQEDD95A59TP60S4,0,6a0a0abd5ac9d66e
10715,8782,2,76561198118646644,2,skullz,Tec-9,pistol,01JM6F106MCQEDD95A5ANC2G2Y,0,6a0a0abd5ac9d66e
10734,8798,2,76561198067763828,2,chelo,Kevlar + Helmet,equipment,01JM6F106N6RT1QVBYCS334AAK,0,6a0a0abd5ac9d66e
10749,8811,2,76561198118646644,2,skullz,Smoke Grenade,grenade,01JM6F106N6RT1QVBYD0E6ZJ73,0,6a0a0abd5ac9d66e
10753,8813,2,76561198067763828,2,chelo,Smoke Grenade,grenade,01JM6F106N6RT1QVBYD2PNF434,0,6a0a0abd5ac9d66e
10756,8814,2,76561198067763828,2,chelo,Flashbang,grenade,01JM6F106N6RT1QVBYD877Q36M,0,6a0a0abd5ac9d66e
10756,8814,2,76561198058500492,2,KSCERATO,Tec-9,pistol,01JM6F106N6RT1QVBYD7Q57D7D,0,6a0a0abd5ac9d66e
10761,8818,2,76561198164970560,2,yuurih,Kevlar + Helmet,equipment,01JM6F106N6RT1QVBYD8MWCHBB,0,6a0a0abd5ac9d66e
10768,8824,2,76561198118646644,2,skullz,Flashbang,grenade,01JM6F106N6RT1QVBYDB9X98R6,0,6a0a0abd5ac9d66e
10777,8831,2,76561197960690195,2,FalleN,Tec-9,pistol,01JM6F106P9XWSW8JR3CSRVDQG,0,6a0a0abd5ac9d66e
10827,8866,2,76561197960690195,2,FalleN,Kevlar + Helmet,equipment,01JM6F106P9XWSW8JR3GAF73CK,0,6a0a0abd5ac9d66e
10835,8873,2,76561198058500492,2,KSCERATO,Smoke Grenade,grenade,01JM6F106P9XWSW8JR3K131A2J,0,6a0a0abd5ac9d66e
