frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
15925,12933,1,4,2,0,76561198283989223,ultimate,0,1,f10e0880161eacf8
26230,21456,2,3,3,0,76561198164970560,yuurih,1,1,f10e0880161eacf8
36388,29854,3,3,3,0,76561198164970560,yuurih,1,0,f10e0880161eacf8
47195,38837,4,3,3,0,76561198118646644,skullz,0,0,f10e0880161eacf8
66789,54717,6,2,3,0,76561198067763828,chelo,0,0,f10e0880161eacf8
74443,60832,7,2,3,0,76561198164970560,yuurih,1,0,f10e0880161eacf8
86073,70375,8,3,2,0,76561198283989223,ultimate,0,0,f10e0880161eacf8
119376,97554,11,2,3,0,76561198164970560,yuurih,0,0,f10e0880161eacf8
125737,102611,12,3,2,0,76561198016255205,Twistzz,0,1,f10e0880161eacf8
135468,110852,13,3,3,0,76561197977105184,jks,0,1,f10e0880161eacf8
156127,127998,15,4,3,0,76561198016255205,Twistzz,0,0,f10e0880161eacf8
162799,133185,16,3,2,0,76561198164970560,yuurih,0,0,f10e0880161eacf8
172475,140966,17,4,3,0,76561198016255205,Twistzz,0,0,f10e0880161eacf8
182218,148970,18,5,3,0,76561197977105184,jks,0,0,f10e0880161eacf8
194587,158918,19,4,2,0,76561197960690195,FalleN,0,0,f10e0880161eacf8
205762,167966,20,2,2,0,76561198118646644,skullz,0,0,f10e0880161eacf8
215291,175673,21,4,2,0,76561198067763828,chelo,0,1,f10e0880161eacf8
222035,181042,22,5,2,0,76561198058500492,KSCERATO,0,2,f10e0880161eacf8
