name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
FalleN,76561197960690195,35,FURIA,11,7,12,4,36,0.916667,86.363640,46.772728,0.500000,0.545455,1.363636,2,-1,0,0,0,3,0,0,1029,70,30,1,5,8,6,3,0,0,0,0,0,1,5,8,6,3,0,3,3,5,0,2,7,2,0,0,0,1.014769,0.842232,CSGO-x9fLs-qNrwm-dUTGU-VudAL-FYkoE,3,0,f10e0880161eacf8
yuurih,76561198164970560,39,FURIA,16,6,11,8,50,1.454545,86.363640,69.409088,0.727273,0.500000,0.454545,1,-1,0,0,0,1,0,0,1527,246,10,5,9,12,10,7,0,0,0,0,0,5,9,12,10,7,0,2,4,2,0,1,8,2,0,1,0,1.303340,1.227492,CSGO-HBz8G-fnZTD-H3L3s-etmrY-AO6FP,0,0,f10e0880161eacf8
YEKINDAR,76561198134401925,38,Team Liquid,15,9,18,8,53,0.833333,72.727272,75.454544,0.681818,0.818182,3.681818,2,-1,0,0,0,0,0,0,1660,346,81,0,4,7,5,2,0,0,0,0,0,0,4,7,5,2,4,5,1,8,0,4,5,2,2,0,0,1.027878,0.929289,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,4,0,f10e0880161eacf8
" NAF-FLY",76561198001151695,43,Team Liquid,14,11,13,3,21,1.076923,77.272728,84.500000,0.636364,0.590909,6.772727,3,-1,0,0,0,1,0,0,1859,269,149,0,4,7,5,2,0,0,0,0,0,0,4,7,5,2,2,1,1,1,0,0,7,2,1,0,0,1.180887,0.998088,CSGO-J29Jc-WDCwx-VdLUG-szY5O-33LsE,0,0,f10e0880161eacf8
KSCERATO,76561198058500492,32,FURIA,13,9,15,6,46,0.866667,77.272728,81.818184,0.590909,0.681818,17.863636,2,-1,0,0,0,0,0,0,1800,398,393,1,5,8,6,3,0,0,0,0,0,1,5,8,6,3,4,1,1,2,0,0,8,1,1,0,0,1.075516,0.859394,CSGO-iXZ8X-WqbQJ-ACEtz-oBZVi-5Kk9Q,2,0,f10e0880161eacf8
chelo,76561198067763828,27,FURIA,12,5,17,9,75,0.705882,72.727272,78.045456,0.545455,0.772727,17.545454,0,-1,0,0,0,0,0,0,1717,436,386,2,6,9,7,4,0,0,0,0,0,2,6,9,7,4,3,4,2,6,0,2,6,3,0,0,0,0.924414,0.720700,CSGO-u6bMR-DB7Qo-Aa4WY-hGUN7-RhoUE,1,0,f10e0880161eacf8
skullz,76561198118646644,42,FURIA,19,1,16,16,84,1.187500,77.272728,80.818184,0.863636,0.727273,0.545455,4,-1,0,0,0,0,1,0,1778,274,12,2,6,9,7,4,0,0,0,0,0,2,6,9,7,4,4,1,6,1,0,0,7,4,0,1,0,1.247594,1.208281,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,4,0,f10e0880161eacf8
jks,76561197977105184,30,Team Liquid,10,4,13,7,70,0.769231,72.727272,51.727272,0.454545,0.590909,7.772727,0,-1,0,0,0,1,0,0,1138,269,171,2,6,9,7,4,0,0,0,0,0,2,6,9,7,4,1,2,2,2,0,0,8,1,0,0,0,0.853982,0.740713,CSGO-35MX9-meJQK-L92Hx-oEBN4-ObmbN,3,0,f10e0880161eacf8
Twistzz,76561198016255205,58,Team Liquid,15,8,14,8,53,1.071429,77.272728,78.090912,0.681818,0.636364,6.181818,6,-1,0,0,0,6,0,0,1718,380,136,3,7,10,8,5,0,0,0,0,0,3,7,10,8,5,2,1,3,3,0,1,9,3,0,0,0,1.161859,0.946157,CSGO-SuJrK-oszyK-c9huu-Bk4dD-mzxsP,1,0,f10e0880161eacf8
ultimate,76561198283989223,44,Team Liquid,17,4,13,6,35,1.307692,77.272728,75.772728,0.772727,0.590909,5.090909,2,-1,0,0,0,1,1,0,1667,163,112,2,6,9,7,4,0,0,0,0,0,2,6,9,7,4,2,2,8,3,0,1,10,2,1,0,0,1.239126,1.112019,CSGO-omus2-BZHdX-d2hB5-MEOKJ-edK5O,2,0,f10e0880161eacf8
