frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1858,1538,1,76561198118646644,3,skullz,Kevlar Vest,equipment,01JM6F27W1TFEGZ39TYB35E53V,0,f10e0880161eacf8
1998,1657,1,76561198118646644,3,skullz,Dual Berettas,pistol,01JM6F27W3MKTTSWKRQHK5R2GJ,0,f10e0880161eacf8
2028,1680,1,76561198067763828,3,chelo,Kevlar Vest,equipment,01JM6F27W4YWGP5EBKBNQK02R9,0,f10e0880161eacf8
2039,1689,1,76561198118646644,3,skullz,Dual Berettas,pistol,01JM6F27W4YWGP5EBKBK8MAVE6,0,f10e0880161eacf8
2062,1703,1,76561197960690195,3,FalleN,Flashbang,grenade,01JM6F27W5N6KNN1VEWTSJ5SBW,0,f10e0880161eacf8
2223,1831,1,76561198058500492,3,KSCERATO,Kevlar Vest,equipment,01JM6F27W7VHV9S0ZCRD6E60B9,0,f10e0880161eacf8
2312,1903,1,76561198164970560,3,yuurih,Kevlar Vest,equipment,01JM6F27W9HFQQQDAR9DSQV66V,0,f10e0880161eacf8
2356,1929,1,76561198067763828,3,chelo,Dual Berettas,pistol,01JM6F27W9HFQQQDAR9EW8EP8T,0,f10e0880161eacf8
2515,2058,1,76561198067763828,3,chelo,Smoke Grenade,grenade,01JM6F27WCVDDRPYRCPVZ4X1E9,0,f10e0880161eacf8
2533,2072,1,76561198067763828,3,chelo,Flashbang,grenade,01JM6F27WDSZ7AMWGWT8KXCB1K,0,f10e0880161eacf8
19748,16317,2,76561198067763828,3,chelo,Kevlar + Helmet,equipment,01JM6F28BGDAAH69S3R69HQJGD,0,f10e0880161eacf8
19761,16327,2,76561198067763828,3,chelo,Nova,shotgun,01JM6F28BHQYYDPG8MQNHQHTC7,1,f10e0880161eacf8
19842,16382,2,76561198118646644,3,skullz,Kevlar + Helmet,equipment,01JM6F28BJBHWXRGJZ5VEY8XH9,0,f10e0880161eacf8
19886,16414,2,76561198058500492,3,KSCERATO,Kevlar + Helmet,equipment,01JM6F28BKVBENAGZ3FNRP5CB4,0,f10e0880161eacf8
20045,16520,2,76561197960690195,3,FalleN,Kevlar + Helmet,equipment,01JM6F28BPJHXRGAC3N8HK9XCP,0,f10e0880161eacf8
20084,16543,2,76561197960690195,3,FalleN,MP9,smg,01JM6F28BQG0Y6KYJTPQTZ64QM,0,f10e0880161eacf8
20103,16560,2,76561197960690195,3,FalleN,Smoke Grenade,grenade,01JM6F28BQG0Y6KYJTPR7RV7Q1,0,f10e0880161eacf8
20120,16573,2,76561197960690195,3,FalleN,Incendiary Grenade,grenade,01JM6F28BQG0Y6KYJTPSBCMR2D,0,f10e0880161eacf8
20139,16590,2,76561197960690195,3,FalleN,Flashbang,grenade,01JM6F28BQG0Y6KYJTPVB6Q135,0,f10e0880161eacf8
20174,16618,2,76561198058500492,3,KSCERATO,MP9,smg,01JM6F28BRKZ0X7QY66T1P7NV6,0,f10e0880161eacf8
20202,16641,2,76561198058500492,3,KSCERATO,Smoke Grenade,grenade,01JM6F28BSZWVA6FH16WX06CQ7,0,f10e0880161eacf8
20219,16652,2,76561198058500492,3,KSCERATO,HE Grenade,grenade,01JM6F28BSZWVA6FH16ZKD1KQG,0,f10e0880161eacf8
20234,16663,2,76561198058500492,3,KSCERATO,Incendiary Grenade,grenade,01JM6F28BSZWVA6FH171ZT97HD,0,f10e0880161eacf8
20252,16677,2,76561198058500492,3,KSCERATO,Flashbang,grenade,01JM6F28BTDNVTXWXDKZ9D0B14,0,f10e0880161eacf8
20278,16693,2,76561198067763828,3,chelo,MP7,smg,01JM6F28BTDNVTXWXDKZYHTJJN,1,f10e0880161eacf8
20429,16800,2,76561198001151695,2," NAF-FLY",Tec-9,pistol,01JM6F28BWG5FE8XRFV028HZHZ,0,f10e0880161eacf8
20442,16808,2,76561198067763828,3,chelo,MP9,smg,01JM6F28BX6EMDDR72QBAVCJH1,0,f10e0880161eacf8
20507,16851,2,76561198134401925,2,YEKINDAR,Tec-9,pistol,01JM6F28BYKWJ9CSYE9DCW91KX,0,f10e0880161eacf8
20551,16879,2,76561198067763828,3,chelo,Smoke Grenade,grenade,01JM6F28BZDWQ81YWXWHFRQZC1,0,f10e0880161eacf8
20552,16880,2,76561198067763828,3,chelo,Incendiary Grenade,grenade,01JM6F28BZDWQ81YWXWPS4PXZG,0,f10e0880161eacf8
