number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1277,9215,11630,15832,19166,16280,19693,FURIA,Team Liquid,1,0,3,2,4000,4000,3950,4850,3550,3550,pistol,pistol,228056,8,FURIA,3,0,f10e0880161eacf8
2,16280,19693,17560,21471,23224,28272,23672,28806,FURIA,Team Liquid,1,1,3,2,18200,10550,19800,10150,17850,9750,semi,force-buy,109368,1,Team Liquid,2,0,f10e0880161eacf8
3,23672,28806,24952,30510,30898,37561,31346,38079,FURIA,Team Liquid,1,2,3,2,8550,20100,12500,19850,7600,15250,force-buy,semi,111612,1,Team Liquid,2,0,f10e0880161eacf8
4,31346,38079,32626,39797,38959,47328,39407,47880,FURIA,Team Liquid,1,3,3,2,11350,24750,5900,22850,800,12300,semi,full,117910,9,Team Liquid,2,0,f10e0880161eacf8
5,39407,47880,40687,49650,48047,58425,48495,58968,FURIA,Team Liquid,2,3,3,2,23150,30500,23600,23750,22400,11650,full,full,134432,12,FURIA,3,0,f10e0880161eacf8
6,48495,58968,49775,60772,55551,67730,55999,68263,FURIA,Team Liquid,2,4,3,2,18200,23350,27250,25300,11350,16600,full,full,111701,9,Team Liquid,2,0,f10e0880161eacf8
7,55999,68263,57279,70048,63044,77001,63492,77529,FURIA,Team Liquid,2,5,3,2,17250,24800,4550,25400,4550,16400,eco,full,111395,1,Team Liquid,2,0,f10e0880161eacf8
8,63492,77529,64772,79332,71344,87155,71792,87687,FURIA,Team Liquid,3,5,3,2,25600,27400,27700,25400,23200,16700,full,full,122716,8,FURIA,3,0,f10e0880161eacf8
9,71792,87687,73072,89493,77875,95197,78323,95750,FURIA,Team Liquid,3,6,3,2,20150,18300,29000,18300,12800,17700,full,force-buy,95740,1,Team Liquid,2,0,f10e0880161eacf8
10,80529,98624,81809,100301,88209,107926,88657,108454,FURIA,Team Liquid,3,7,3,2,17750,19100,26400,27650,14150,15300,full,full,118585,1,Team Liquid,2,0,f10e0880161eacf8
11,88657,108454,89937,110185,97599,119423,98047,119959,FURIA,Team Liquid,3,8,3,2,16200,22500,23900,27650,12700,12700,full,full,139837,9,Team Liquid,2,0,f10e0880161eacf8
12,98047,119959,99327,121722,103709,126983,107197,130898,FURIA,Team Liquid,4,8,3,2,18700,27850,19350,28850,18350,18800,force-buy,full,89544,7,FURIA,3,0,f10e0880161eacf8
13,107197,130898,108893,133140,112451,137263,112899,137823,FURIA,Team Liquid,5,8,2,3,4000,4000,5150,4000,3450,3400,pistol,pistol,81143,9,FURIA,2,0,f10e0880161eacf8
14,112899,137823,114179,139687,122339,149125,122787,149671,FURIA,Team Liquid,6,8,2,3,18600,11000,19400,10800,18100,9700,semi,force-buy,144082,1,FURIA,2,0,f10e0880161eacf8
15,122787,149671,124067,151402,128100,156240,128548,156791,FURIA,Team Liquid,7,8,2,3,19500,13600,22050,7600,9100,1850,full,semi,83744,9,FURIA,2,0,f10e0880161eacf8
16,128548,156791,129828,158613,133218,162838,133666,163385,FURIA,Team Liquid,7,9,2,3,28750,26550,23400,26250,9200,24750,full,full,77089,8,Team Liquid,3,0,f10e0880161eacf8
17,133666,163385,134946,165200,141959,173624,142407,174162,FURIA,Team Liquid,8,9,2,3,27150,18950,25100,29450,24100,13300,full,full,130531,9,FURIA,2,0,f10e0880161eacf8
18,142407,174162,143687,175922,149189,182461,149637,183023,FURIA,Team Liquid,9,9,2,3,21000,17950,27350,6450,9400,6450,full,semi,105799,9,FURIA,2,0,f10e0880161eacf8
19,151621,185534,152901,187230,159012,194698,159460,195247,FURIA,Team Liquid,9,10,2,3,29150,26000,28250,26550,6250,25550,full,full,116826,8,Team Liquid,3,0,f10e0880161eacf8
20,159460,195247,160740,197068,168790,206709,169238,207242,FURIA,Team Liquid,9,11,2,3,30000,18200,26950,28100,26050,10300,full,full,146122,7,Team Liquid,3,0,f10e0880161eacf8
21,171468,210075,172748,211742,176494,216220,176942,216746,FURIA,Team Liquid,9,12,2,3,17450,27200,17400,25250,16800,16000,force-buy,full,78339,8,Team Liquid,3,0,f10e0880161eacf8
22,176942,216746,178222,218555,182216,223429,182216,223429,FURIA,Team Liquid,9,13,2,3,15550,29550,13800,30200,12800,17750,force-buy,full,85197,8,Team Liquid,3,0,f10e0880161eacf8
