frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8820,7447,1,4,2,0,76561198058500492,KSCERATO,0,1,668f0048bae3a840
17541,15249,2,4,2,0,76561198058500492,KSCERATO,0,0,668f0048bae3a840
26071,22192,3,3,2,1,76561198118646644,skullz,1,3,668f0048bae3a840
26436,22505,3,1,3,0,76561198074017668," lux",0,0,668f0048bae3a840
35213,29766,4,2,2,1,76561198164970560,yuurih,1,2,668f0048bae3a840
35289,29833,4,1,3,0,76561198385657675,kauez,0,0,668f0048bae3a840
43522,36678,5,5,3,0,76561198074017668," lux",0,0,668f0048bae3a840
53937,45272,6,3,2,0,76561198067763828,chelo,0,0,668f0048bae3a840
60194,50316,7,3,2,0,76561197960690195,FalleN,0,1,668f0048bae3a840
70500,58953,8,4,2,0,76561198164970560,yuurih,0,0,668f0048bae3a840
77864,64836,9,3,3,0,76561198385657675,kauez,0,2,668f0048bae3a840
81183,67793,9,1,2,1,76561197960690195,FalleN,1,1,668f0048bae3a840
96085,80016,10,4,2,0,76561197960690195,FalleN,0,0,668f0048bae3a840
101864,84656,11,5,2,0,76561198058500492,KSCERATO,0,0,668f0048bae3a840
108318,89697,12,2,2,0,76561198058500492,KSCERATO,0,0,668f0048bae3a840
119100,98763,13,4,2,0,76561198015308884,biguzera,0,0,668f0048bae3a840
130632,108490,14,4,2,0,76561198377335846,snow,0,0,668f0048bae3a840
139983,116212,15,3,2,0,76561198350342505,nqz,1,1,668f0048bae3a840
155894,129411,16,3,2,0,76561198350342505,nqz,0,0,668f0048bae3a840
179679,148998,18,5,2,0,76561198350342505,nqz,0,0,668f0048bae3a840
185495,153622,19,5,2,0,76561198350342505,nqz,0,0,668f0048bae3a840
198338,164014,20,5,2,0,76561198350342505,nqz,0,0,668f0048bae3a840
208707,172515,21,3,2,0,76561198385657675,kauez,0,2,668f0048bae3a840
208875,172663,21,1,3,1,76561198058500492,KSCERATO,1,1,668f0048bae3a840
220951,182715,22,4,2,0,76561198377335846,snow,0,0,668f0048bae3a840
