frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8198,6728,1,3,3,0,76561198080703143,malbsMd,0,0,e1cc574fa1fb85cf
18262,14993,2,3,3,0,76561198080703143,malbsMd,0,1,e1cc574fa1fb85cf
27744,22713,3,4,3,0,76561198012872053,huNter,0,0,e1cc574fa1fb85cf
35165,28650,4,4,3,0,76561198012872053,huNter,1,1,e1cc574fa1fb85cf
47208,38376,5,4,3,0,76561198074762801,m0NESY,0,0,e1cc574fa1fb85cf
58525,47150,6,2,3,0,76561198074762801,m0NESY,0,0,e1cc574fa1fb85cf
68004,54762,7,3,3,0,76561198074762801,m0NESY,1,0,e1cc574fa1fb85cf
78017,62844,8,2,3,0,76561198012872053,huNter,0,0,e1cc574fa1fb85cf
91221,73781,9,4,2,0,76561197991272318,ropz,0,0,e1cc574fa1fb85cf
102819,83108,10,4,3,0,76561197982141573,Snax,1,0,e1cc574fa1fb85cf
119637,96843,11,4,2,0,76561197991272318,ropz,0,1,e1cc574fa1fb85cf
129584,104837,12,2,2,1,76561197991272318,ropz,1,1,e1cc574fa1fb85cf
129699,104943,12,1,3,0,76561198074762801,m0NESY,0,0,e1cc574fa1fb85cf
139526,113139,13,2,3,0,76561197991272318,ropz,0,1,e1cc574fa1fb85cf
140344,113870,13,1,2,1,76561198012872053,huNter,1,1,e1cc574fa1fb85cf
145237,117630,14,4,3,0,76561197991272318,ropz,0,0,e1cc574fa1fb85cf
167412,135263,16,3,3,0,76561197991272318,ropz,0,0,e1cc574fa1fb85cf
178370,144057,17,3,2,0,76561198074762801,m0NESY,0,0,e1cc574fa1fb85cf
186835,150869,18,2,2,0,76561198080703143,malbsMd,0,0,e1cc574fa1fb85cf
200485,161697,19,2,2,0,76561198012872053,huNter,0,1,e1cc574fa1fb85cf
200562,161768,19,1,3,1,76561198201620490,broky,1,1,e1cc574fa1fb85cf
