frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
5662,4510,1,5,2,0,76561198160709585,sjuush,0,0,a1b3c609bf8137ee
10613,8319,2,5,2,0,76561198799340122," degster",0,0,a1b3c609bf8137ee
18350,14402,3,3,2,0,76561198160709585,sjuush,0,0,a1b3c609bf8137ee
28806,23005,4,3,3,0,76561198074762801,m0NESY,0,2,a1b3c609bf8137ee
29488,23606,4,1,2,1,76561198057282432,kyxsan,1,1,a1b3c609bf8137ee
45384,36361,6,4,2,0,76561198057282432,kyxsan,0,1,a1b3c609bf8137ee
52544,41912,7,2,2,1,76561197996678278,TeSeS,0,1,a1b3c609bf8137ee
52756,42102,7,1,3,0,76561198074762801,m0NESY,0,0,a1b3c609bf8137ee
61521,49277,8,3,3,0,76561198074762801,m0NESY,1,3,a1b3c609bf8137ee
64551,51938,8,1,2,1,76561198799340122," degster",0,0,a1b3c609bf8137ee
71823,57652,9,4,3,0,76561198041683378,NiKo,0,0,a1b3c609bf8137ee
78344,62837,10,2,3,0,76561198041683378,NiKo,0,0,a1b3c609bf8137ee
90143,72251,11,2,2,0,76561197996678278,TeSeS,0,0,a1b3c609bf8137ee
95524,76448,12,3,3,0,76561198080703143,malbsMd,0,0,a1b3c609bf8137ee
106133,85562,13,5,2,0,76561198074762801,m0NESY,0,1,a1b3c609bf8137ee
116721,94159,14,2,2,0,76561198012872053,huNter,0,1,a1b3c609bf8137ee
116893,94310,14,1,3,1,76561198799340122," degster",1,1,a1b3c609bf8137ee
130946,106004,15,3,2,0,76561198080703143,malbsMd,1,2,a1b3c609bf8137ee
131887,106839,15,1,3,0,76561198799340122," degster",1,0,a1b3c609bf8137ee
141772,114972,16,3,2,0,76561198041683378,NiKo,1,1,a1b3c609bf8137ee
155077,125661,17,2,2,0,76561198074762801,m0NESY,1,0,a1b3c609bf8137ee
162892,131733,18,3,3,0,76561198799340122," degster",1,0,a1b3c609bf8137ee
176072,142405,19,2,2,0,76561197982141573,Snax,0,0,a1b3c609bf8137ee
