frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1801,1485,1,76561198041683378,3,NiKo,Kevlar Vest,equipment,01JM6F4TWVTVTVQ615GY6K3E18,0,a1b3c609bf8137ee
1847,1516,1,76561198074762801,3,m0NESY,Kevlar Vest,equipment,01JM6F4TWVTVTVQ615GZTE2K68,0,a1b3c609bf8137ee
1851,1519,1,76561197982141573,3,Snax,Kevlar Vest,equipment,01JM6F4TWVTVTVQ615H1CWB0SR,0,a1b3c609bf8137ee
1890,1549,1,76561198799340122,2," degster",Kevlar Vest,equipment,01JM6F4TWWFZRS61T3GA0NQABR,0,a1b3c609bf8137ee
1922,1579,1,76561198080703143,3,malbsMd,Kevlar Vest,equipment,01JM6F4TWWFZRS61T3GD92Y1CE,0,a1b3c609bf8137ee
2053,1674,1,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM6F4TWZ9DDVWM2714BTQNNN,0,a1b3c609bf8137ee
2068,1684,1,76561198012872053,3,huNter,HE Grenade,grenade,01JM6F4TWZ9DDVWM271ASY56CV,0,a1b3c609bf8137ee
2090,1702,1,76561198012872053,3,huNter,Flashbang,grenade,01JM6F4TX02KTGGSMEM804W43Z,0,a1b3c609bf8137ee
2100,1705,1,76561198057282432,2,kyxsan,HE Grenade,grenade,01JM6F4TX02KTGGSMEMBMMRYVR,0,a1b3c609bf8137ee
2121,1720,1,76561198057282432,2,kyxsan,Smoke Grenade,grenade,01JM6F4TX02KTGGSMEMG006VHD,0,a1b3c609bf8137ee
2136,1732,1,76561198160709585,2,sjuush,Smoke Grenade,grenade,01JM6F4TX02KTGGSMEMKKEEXH9,0,a1b3c609bf8137ee
2137,1733,1,76561198057282432,2,kyxsan,Flashbang,grenade,01JM6F4TX1E61FKCGDEY5G1B3A,0,a1b3c609bf8137ee
2161,1751,1,76561197996678278,2,TeSeS,Kevlar Vest,equipment,01JM6F4TX1E61FKCGDF0RFBNXM,0,a1b3c609bf8137ee
2174,1757,1,76561198160709585,2,sjuush,HE Grenade,grenade,01JM6F4TX1E61FKCGDF22RF28T,0,a1b3c609bf8137ee
2215,1782,1,76561198160709585,2,sjuush,Flashbang,grenade,01JM6F4TX2Q58THE0XN60Z2C0X,0,a1b3c609bf8137ee
7516,6076,2,76561198074762801,3,m0NESY,Kevlar + Helmet,equipment,01JM6F4V3F0KZ06T1TR29KZZ6Q,0,a1b3c609bf8137ee
7524,6084,2,76561198041683378,3,NiKo,Kevlar + Helmet,equipment,01JM6F4V3F0KZ06T1TR45YWMAK,0,a1b3c609bf8137ee
7526,6086,2,76561198012872053,3,huNter,Kevlar + Helmet,equipment,01JM6F4V3F0KZ06T1TR6DV2BA0,0,a1b3c609bf8137ee
7531,6089,2,76561198074762801,3,m0NESY,M4A1,rifle,01JM6F4V3F0KZ06T1TRBK9YP55,0,a1b3c609bf8137ee
7558,6109,2,76561197982141573,3,Snax,Kevlar + Helmet,equipment,01JM6F4V3F0KZ06T1TRCDFFC8V,0,a1b3c609bf8137ee
7592,6128,2,76561198074762801,3,m0NESY,Smoke Grenade,grenade,01JM6F4V3G45CMH18D1H5QGBEA,0,a1b3c609bf8137ee
7786,6248,2,76561198012872053,3,huNter,MP9,smg,01JM6F4V3KZQ5JZG40V66QWK8M,0,a1b3c609bf8137ee
7820,6269,2,76561198012872053,3,huNter,Smoke Grenade,grenade,01JM6F4V3MV8VEQ9XZD41HJB38,0,a1b3c609bf8137ee
7847,6284,2,76561198012872053,3,huNter,Incendiary Grenade,grenade,01JM6F4V3MV8VEQ9XZD7QJ72JH,0,a1b3c609bf8137ee
7860,6294,2,76561198012872053,3,huNter,HE Grenade,grenade,01JM6F4V3NX75ZM61YCNAEHB88,0,a1b3c609bf8137ee
7891,6311,2,76561198012872053,3,huNter,Flashbang,grenade,01JM6F4V3NX75ZM61YCRCM0VHH,0,a1b3c609bf8137ee
8099,6456,2,76561198799340122,2," degster",Kevlar + Helmet,equipment,01JM6F4V3RES09TMZCMH4Q8ZZ4,0,a1b3c609bf8137ee
8110,6465,2,76561198080703143,3,malbsMd,Kevlar + Helmet,equipment,01JM6F4V3S0XQWHV94J3H7D0CA,0,a1b3c609bf8137ee
8126,6476,2,76561198053126645,2,NertZ,Kevlar + Helmet,equipment,01JM6F4V3S0XQWHV94J4FT3RE5,0,a1b3c609bf8137ee
8133,6481,2,76561198080703143,3,malbsMd,MP9,smg,01JM6F4V3S0XQWHV94J80BQY6G,0,a1b3c609bf8137ee
8139,6486,2,76561197996678278,2,TeSeS,Kevlar + Helmet,equipment,01JM6F4V3S0XQWHV94J8XENJMZ,0,a1b3c609bf8137ee
8165,6505,2,76561198080703143,3,malbsMd,Incendiary Grenade,grenade,01JM6F4V3TTMYSRD7H2B40Q7RN,0,a1b3c609bf8137ee
8174,6510,2,76561197996678278,2,TeSeS,Tec-9,pistol,01JM6F4V3TTMYSRD7H2BHYPMVD,0,a1b3c609bf8137ee
8184,6515,2,76561198080703143,3,malbsMd,HE Grenade,grenade,01JM6F4V3TTMYSRD7H2EH80QEM,0,a1b3c609bf8137ee
8198,6524,2,76561198080703143,3,malbsMd,Smoke Grenade,grenade,01JM6F4V3TTMYSRD7H2H6MJ6YA,0,a1b3c609bf8137ee
8208,6533,2,76561198080703143,3,malbsMd,Flashbang,grenade,01JM6F4V3TTMYSRD7H2N4PTFNG,0,a1b3c609bf8137ee
8223,6545,2,76561198160709585,2,sjuush,Kevlar + Helmet,equipment,01JM6F4V3VGMKG1E56WXJN7VRK,0,a1b3c609bf8137ee
8247,6559,2,76561198053126645,2,NertZ,Tec-9,pistol,01JM6F4V3VGMKG1E56WYMD3WH2,0,a1b3c609bf8137ee
8270,6579,2,76561198080703143,3,malbsMd,Defuse Kit,equipment,01JM6F4V3W53BAC1PJ0M67ZG05,0,a1b3c609bf8137ee
8278,6584,2,76561197996678278,2,TeSeS,Smoke Grenade,grenade,01JM6F4V3W53BAC1PJ0S23S7MB,0,a1b3c609bf8137ee
8313,6607,2,76561198799340122,2," degster",Tec-9,pistol,01JM6F4V3XK7HKGDW73AX6THVE,0,a1b3c609bf8137ee
8341,6629,2,76561198057282432,2,kyxsan,Tec-9,pistol,01JM6F4V3XK7HKGDW73B5EXT4A,0,a1b3c609bf8137ee
8359,6645,2,76561197996678278,2,TeSeS,Flashbang,grenade,01JM6F4V3XK7HKGDW73BSQRS5Q,0,a1b3c609bf8137ee
8361,6647,2,76561198057282432,2,kyxsan,Kevlar + Helmet,equipment,01JM6F4V3YDRKT5KF9GPAX7Y6N,0,a1b3c609bf8137ee
8367,6651,2,76561198053126645,2,NertZ,Smoke Grenade,grenade,01JM6F4V3YDRKT5KF9GPFP1B5R,0,a1b3c609bf8137ee
8381,6665,2,76561198053126645,2,NertZ,Flashbang,grenade,01JM6F4V3YDRKT5KF9GQKXPXQH,0,a1b3c609bf8137ee
8519,6762,2,76561198041683378,3,NiKo,M4A4,rifle,01JM6F4V41GQVRC97MBP31M0VB,0,a1b3c609bf8137ee
8557,6785,2,76561198799340122,2," degster",Smoke Grenade,grenade,01JM6F4V42GQ3XA89J0MDHX5BV,0,a1b3c609bf8137ee
8577,6799,2,76561198799340122,2," degster",Flashbang,grenade,01JM6F4V42GQ3XA89J0QBW903H,0,a1b3c609bf8137ee
8662,6857,2,76561198160709585,2,sjuush,Tec-9,pistol,01JM6F4V43DYZY0K5RPN7DA3JJ,0,a1b3c609bf8137ee
8814,6953,2,76561198057282432,2,kyxsan,Flashbang,grenade,01JM6F4V465YTS8925JQXTHRKJ,0,a1b3c609bf8137ee
8823,6959,2,76561198160709585,2,sjuush,Smoke Grenade,grenade,01JM6F4V465YTS8925JTCDYG80,0,a1b3c609bf8137ee
8893,7012,2,76561197982141573,3,Snax,M4A4,rifle,01JM6F4V472CVAER0TJG95HY6N,0,a1b3c609bf8137ee
8906,7025,2,76561197982141573,3,Snax,Smoke Grenade,grenade,01JM6F4V4804WJE2ZYESZP2X8F,0,a1b3c609bf8137ee
