number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1017,1349,2712,3559,7347,8861,7795,9396,HEROIC,G2 Esports,1,0,3,2,4000,4000,4200,4650,3400,3450,pistol,pistol,95749,8,HEROIC,3,0,78951c54d5b89f43
2,7795,9396,9075,11197,13097,15876,13545,16430,HEROIC,G2 Esports,2,0,3,2,18350,10350,20050,1000,17450,0,semi,eco,82595,8,HEROIC,3,0,78951c54d5b89f43
3,13545,16430,14825,18307,20644,25060,21092,25582,HEROIC,G2 Esports,2,1,3,2,18950,22350,24050,23400,4800,22000,full,full,109999,9,G2 Esports,2,0,78951c54d5b89f43
4,21092,25582,22372,27460,29732,36152,30180,36702,HEROIC,G2 Esports,3,1,3,2,22650,18100,23400,20950,22200,15550,full,full,134726,12,HEROIC,3,0,78951c54d5b89f43
5,30180,36702,31460,38393,38839,46958,39287,47488,HEROIC,G2 Esports,4,1,3,2,17900,10150,29300,6500,8000,1500,full,semi,130724,7,HEROIC,3,0,78951c54d5b89f43
6,39287,47488,40567,49327,47130,57319,47578,57853,HEROIC,G2 Esports,4,2,3,2,29200,24850,29600,24300,17550,23300,full,full,125307,9,G2 Esports,2,0,78951c54d5b89f43
7,49978,60927,51258,62614,56438,68737,56886,69264,HEROIC,G2 Esports,5,2,3,2,19550,19600,20300,26850,19200,15600,force-buy,full,99547,8,HEROIC,3,0,78951c54d5b89f43
8,56886,69264,58166,71080,62883,76573,63331,77111,HEROIC,G2 Esports,6,2,3,2,19300,13900,28300,4650,14950,4050,full,eco,93161,8,HEROIC,3,0,78951c54d5b89f43
9,63331,77111,64611,78934,70996,86487,71444,87014,HEROIC,G2 Esports,6,3,3,2,22100,22150,29400,22600,8800,21600,full,full,119507,1,G2 Esports,2,0,78951c54d5b89f43
10,74026,90325,75306,92088,77753,95106,78201,95654,HEROIC,G2 Esports,6,4,3,2,20900,19550,24750,25300,18950,12500,full,full,60939,9,G2 Esports,2,0,78951c54d5b89f43
11,78201,95654,79481,97379,81681,100051,82129,100582,HEROIC,G2 Esports,7,4,3,2,12050,25100,1400,25300,600,12100,eco,full,56044,8,HEROIC,3,0,78951c54d5b89f43
12,82129,100582,83409,102403,91631,112257,95119,116161,HEROIC,G2 Esports,7,5,3,2,29200,20600,31050,20750,23050,20350,full,full,148811,9,G2 Esports,2,0,78951c54d5b89f43
13,95119,116161,96815,118307,103705,126192,104153,126720,HEROIC,G2 Esports,8,5,2,3,4000,4000,4150,4200,3550,3400,pistol,pistol,127856,1,HEROIC,2,0,78951c54d5b89f43
14,104153,126720,105433,128507,110966,135062,111414,135592,HEROIC,G2 Esports,8,6,2,3,19150,10700,18150,11800,17050,9800,semi,force-buy,106328,8,G2 Esports,3,0,78951c54d5b89f43
15,111414,135592,112694,137390,114924,140175,115372,140703,HEROIC,G2 Esports,8,7,2,3,9700,18950,9550,22350,9350,13600,force-buy,semi,58415,8,G2 Esports,3,0,78951c54d5b89f43
16,115372,140703,116652,142444,119818,146178,120266,146734,HEROIC,G2 Esports,8,8,2,3,10450,23700,1500,24700,700,8400,eco,full,69785,8,G2 Esports,3,0,78951c54d5b89f43
17,120266,146734,121546,148622,124936,152864,125384,153392,HEROIC,G2 Esports,8,9,2,3,21750,33350,20750,24700,19750,3700,full,full,78133,8,G2 Esports,3,0,78951c54d5b89f43
18,125384,153392,126664,155102,129750,158865,130198,159418,HEROIC,G2 Esports,8,10,2,3,17700,47400,10550,28300,10250,17800,semi,full,69759,8,G2 Esports,3,0,78951c54d5b89f43
19,132230,162080,133510,163860,140282,171901,140730,172440,HEROIC,G2 Esports,8,11,2,3,24450,48550,24400,29000,23400,3700,full,full,125179,7,G2 Esports,3,0,78951c54d5b89f43
20,140730,172440,142010,174354,147566,180926,148014,181460,HEROIC,G2 Esports,9,11,2,3,22250,63050,23000,31050,21800,21050,full,full,108163,9,HEROIC,2,0,78951c54d5b89f43
21,148014,181460,149294,183245,154905,190014,155353,190547,HEROIC,G2 Esports,9,12,2,3,18200,49900,18450,30850,17450,29850,semi,full,109030,8,G2 Esports,3,0,78951c54d5b89f43
22,155353,190547,156633,192332,161459,198095,161459,198095,HEROIC,G2 Esports,9,13,2,3,13100,45600,15800,31850,15000,11300,force-buy,full,96207,7,G2 Esports,3,0,78951c54d5b89f43
