frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6326,5181,1,5,3,0,76561197982141573,Snax,0,0,741ea759430310d5
23427,19229,3,4,2,0,76561198057282432,kyxsan,0,1,741ea759430310d5
33908,27824,4,5,3,0,76561198074762801,m0NESY,0,0,741ea759430310d5
46754,38591,5,4,3,0,76561198012872053,huNter,1,0,741ea759430310d5
70056,57585,7,4,2,0,76561198799340122," degster",1,0,741ea759430310d5
77124,63270,8,5,2,0,76561198799340122," degster",0,0,741ea759430310d5
85930,70484,9,4,2,0,76561198799340122," degster",0,0,741ea759430310d5
96996,79533,10,3,2,1,76561198799340122," degster",1,3,741ea759430310d5
98349,80727,10,1,3,0,76561198012872053,huNter,0,0,741ea759430310d5
106576,87441,11,3,3,0,76561197982141573,Snax,1,0,741ea759430310d5
120356,98888,12,4,2,0,76561198160709585,sjuush,0,1,741ea759430310d5
128907,106232,13,5,2,0,76561197982141573,Snax,0,2,741ea759430310d5
140115,115767,14,4,2,0,76561198074762801,m0NESY,0,1,741ea759430310d5
151175,124848,15,3,2,0,76561198012872053,huNter,0,0,741ea759430310d5
158478,130643,16,2,2,1,76561198080703143,malbsMd,1,2,741ea759430310d5
158550,130706,16,1,3,0,76561198799340122," degster",0,0,741ea759430310d5
171472,141048,17,4,3,0,76561198057282432,kyxsan,0,0,741ea759430310d5
176620,145252,18,5,3,0,76561198799340122," degster",0,1,741ea759430310d5
181288,148868,19,3,2,0,76561198041683378,NiKo,0,1,741ea759430310d5
192218,157778,20,2,3,1,76561198799340122," degster",1,2,741ea759430310d5
193601,158984,20,1,2,0,76561198080703143,malbsMd,0,0,741ea759430310d5
204942,168061,21,2,2,1,76561197982141573,Snax,0,2,741ea759430310d5
204987,168101,21,1,3,0,76561198053126645,NertZ,0,0,741ea759430310d5
216132,177154,22,2,3,0,76561198057282432,kyxsan,0,0,741ea759430310d5
223997,183627,23,4,3,0,76561198053126645,NertZ,0,1,741ea759430310d5
230107,188366,24,2,2,0,76561198074762801,m0NESY,0,0,741ea759430310d5
245474,201328,25,5,2,0,76561198074762801,m0NESY,0,0,741ea759430310d5
255174,209077,26,3,2,1,76561198080703143,malbsMd,1,3,741ea759430310d5
256268,210049,26,1,3,0,76561198160709585,sjuush,0,0,741ea759430310d5
264573,216676,27,4,3,0,76561198799340122," degster",0,2,741ea759430310d5
280265,229915,28,5,2,0,76561198799340122," degster",0,0,741ea759430310d5
289222,237019,29,4,2,0,76561198799340122," degster",0,0,741ea759430310d5
