frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
10118,8378,1,2,2,0,76561198920720017,Senzu,0,1,be7592a0ed336b74
10178,8431,1,1,3,1,76561198041683378,NiKo,1,1,be7592a0ed336b74
17822,14358,2,2,3,0,76561198041683378,NiKo,0,0,be7592a0ed336b74
37267,29900,4,4,3,0,76561197982141573,Snax,1,0,be7592a0ed336b74
51188,41104,5,2,3,0,76561197982141573,Snax,1,0,be7592a0ed336b74
66816,53608,6,4,2,0,76561198920720017,Senzu,0,0,be7592a0ed336b74
74844,59814,7,3,2,0,76561199203563345,910,0,0,be7592a0ed336b74
92172,73325,9,4,3,0,76561198012872053,huNter,1,2,be7592a0ed336b74
107568,85649,10,3,3,0,76561198080703143,malbsMd,0,1,be7592a0ed336b74
122524,97723,11,4,2,0,76561198959824088,bLitz,0,1,be7592a0ed336b74
128065,101860,12,4,3,0,76561198041683378,NiKo,0,0,be7592a0ed336b74
140997,112681,13,4,2,0,76561197982141573,Snax,0,0,be7592a0ed336b74
147609,117609,14,2,3,0,76561198838822582,Mzinho,0,0,be7592a0ed336b74
170238,135847,16,3,2,1,76561197982141573,Snax,1,3,be7592a0ed336b74
170333,135926,16,1,3,0,76561198920720017,Senzu,0,0,be7592a0ed336b74
180532,144138,17,4,2,0,76561198074762801,m0NESY,0,2,be7592a0ed336b74
192081,153411,18,4,2,0,76561198012872053,huNter,0,0,be7592a0ed336b74
199693,159272,19,5,2,0,76561198080703143,malbsMd,0,2,be7592a0ed336b74
208638,165840,20,5,3,0,76561198920720017,Senzu,0,0,be7592a0ed336b74
225038,178629,21,3,3,0,76561198959824088,bLitz,1,0,be7592a0ed336b74
251485,200141,23,2,2,0,76561198012872053,huNter,0,0,be7592a0ed336b74
