frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1858,1505,1,76561198014259134,2,FL4MUS,Kevlar Vest,equipment,01JM6F81RTAXA36VKN65DXA37W,0,35caae1cd19b2165
1877,1518,1,76561198134401925,3,YEKINDAR,Kevlar Vest,equipment,01JM6F81RVABV1TDR17J7WS5WG,0,35caae1cd19b2165
1927,1546,1,76561198098071693,2,sl3nd,P250,pistol,01JM6F81RWZMRWASDQKA9TB4QD,0,35caae1cd19b2165
1944,1555,1,76561198316706174,2,Tauson,Kevlar Vest,equipment,01JM6F81RWZMRWASDQKAQV7ZF7,0,35caae1cd19b2165
1945,1556,1,76561198155754447,2,volt,Kevlar Vest,equipment,01JM6F81RWZMRWASDQKCCKWM51,0,35caae1cd19b2165
1962,1566,1,76561198283989223,3,ultimate,Kevlar Vest,equipment,01JM6F81RWZMRWASDQKGCH5R9T,0,35caae1cd19b2165
1970,1571,1,76561198098071693,2,sl3nd,Flashbang,grenade,01JM6F81RXSTVKZ1QQM61R46N8,0,35caae1cd19b2165
1977,1573,1,76561198016255205,3,Twistzz,Dual Berettas,pistol,01JM6F81RXSTVKZ1QQM6Z3BP39,0,35caae1cd19b2165
1997,1583,1,76561198001151695,3," NAF-FLY",Kevlar Vest,equipment,01JM6F81RXSTVKZ1QQMAJDFYKN,0,35caae1cd19b2165
1997,1583,1,76561197977105184,3,jks,Kevlar Vest,equipment,01JM6F81RXSTVKZ1QQMCEJTP26,0,35caae1cd19b2165
2017,1597,1,76561198098071693,2,sl3nd,Smoke Grenade,grenade,01JM6F81RYQRCTMQVV961EZCTY,0,35caae1cd19b2165
2128,1674,1,76561198316706174,2,Tauson,Decoy Grenade,grenade,01JM6F81S1VNWBCNF5P945WRGY,0,35caae1cd19b2165
2158,1695,1,76561198016255205,3,Twistzz,Dual Berettas,pistol,01JM6F81S2R79XY0Y423JSVMX4,0,35caae1cd19b2165
2308,1819,1,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6F81S43414JXV21F6XA6WZ,0,35caae1cd19b2165
2486,1961,1,76561199009468655,2,ztr,Smoke Grenade,grenade,01JM6F81S7NTXM499ARNRA1XZG,0,35caae1cd19b2165
2489,1964,1,76561199009468655,2,ztr,Molotov,grenade,01JM6F81S7NTXM499ARPX29T6V,0,35caae1cd19b2165
8720,7202,2,76561198001151695,3," NAF-FLY",Kevlar + Helmet,equipment,01JM6F821Q7K3HB4R3ZHT979Q8,0,35caae1cd19b2165
8771,7229,2,76561199009468655,2,ztr,Tec-9,pistol,01JM6F821RDY4J251AQD2BS6QX,0,35caae1cd19b2165
8833,7276,2,76561198155754447,2,volt,Kevlar + Helmet,equipment,01JM6F821S925DVWMZ9Q9ST55Y,0,35caae1cd19b2165
8842,7284,2,76561199009468655,2,ztr,Kevlar Vest,equipment,01JM6F821S925DVWMZ9V0MVZT5,0,35caae1cd19b2165
8860,7298,2,76561199009468655,2,ztr,Smoke Grenade,grenade,01JM6F821S925DVWMZ9WYKRSRS,0,35caae1cd19b2165
8869,7303,2,76561198001151695,3," NAF-FLY",MP9,smg,01JM6F821T6ZZ8CVSD9JBM1ZFW,0,35caae1cd19b2165
8878,7311,2,76561199009468655,2,ztr,Flashbang,grenade,01JM6F821T6ZZ8CVSD9NNRGJY4,0,35caae1cd19b2165
8888,7320,2,76561198001151695,3," NAF-FLY",Incendiary Grenade,grenade,01JM6F821T6ZZ8CVSD9PP6F03P,0,35caae1cd19b2165
8895,7326,2,76561198283989223,3,ultimate,Kevlar + Helmet,equipment,01JM6F821T6ZZ8CVSD9SE720C3,0,35caae1cd19b2165
8908,7333,2,76561198155754447,2,volt,Tec-9,pistol,01JM6F821T6ZZ8CVSD9T3S1JB2,0,35caae1cd19b2165
8909,7334,2,76561198001151695,3," NAF-FLY",HE Grenade,grenade,01JM6F821T6ZZ8CVSD9WPJEVP7,0,35caae1cd19b2165
8918,7343,2,76561198001151695,3," NAF-FLY",Smoke Grenade,grenade,01JM6F821VY7PTSH1TSCAJDR87,0,35caae1cd19b2165
8929,7349,2,76561198134401925,3,YEKINDAR,Kevlar + Helmet,equipment,01JM6F821VY7PTSH1TSERSVZXF,0,35caae1cd19b2165
8933,7351,2,76561198001151695,3," NAF-FLY",Flashbang,grenade,01JM6F821VY7PTSH1TSF0RRQ2E,0,35caae1cd19b2165
8958,7370,2,76561198155754447,2,volt,Smoke Grenade,grenade,01JM6F821VY7PTSH1TSFNBB1D3,0,35caae1cd19b2165
8970,7379,2,76561197977105184,3,jks,Kevlar + Helmet,equipment,01JM6F821W6BBQMCMYJNADW8WQ,0,35caae1cd19b2165
8980,7384,2,76561198134401925,3,YEKINDAR,MP9,smg,01JM6F821W6BBQMCMYJQN43GMX,0,35caae1cd19b2165
8994,7396,2,76561198155754447,2,volt,Flashbang,grenade,01JM6F821W6BBQMCMYJT563APF,0,35caae1cd19b2165
9025,7418,2,76561198014259134,2,FL4MUS,Tec-9,pistol,01JM6F821W6BBQMCMYJW49K248,0,35caae1cd19b2165
9057,7438,2,76561198014259134,2,FL4MUS,Kevlar + Helmet,equipment,01JM6F821W6BBQMCMYJWRVQ1XQ,0,35caae1cd19b2165
9063,7443,2,76561198016255205,3,Twistzz,Kevlar + Helmet,equipment,01JM6F821W6BBQMCMYJX1KMQQW,0,35caae1cd19b2165
9104,7473,2,76561198283989223,3,ultimate,M4A1,rifle,01JM6F821XN70Z4ADZ8M0X6H3P,0,35caae1cd19b2165
9185,7527,2,76561198014259134,2,FL4MUS,Smoke Grenade,grenade,01JM6F821Y202FR10QRYBHTJ4M,0,35caae1cd19b2165
9266,7592,2,76561198016255205,3,Twistzz,MP9,smg,01JM6F8220TTBE9BZ06BRAM675,0,35caae1cd19b2165
9287,7610,2,76561198316706174,2,Tauson,Tec-9,pistol,01JM6F8220TTBE9BZ06HY4917F,0,35caae1cd19b2165
9307,7629,2,76561198316706174,2,Tauson,Kevlar + Helmet,equipment,01JM6F8221QRCS7DBVZA6VJWXH,0,35caae1cd19b2165
9352,7663,2,76561198098071693,2,sl3nd,MAC-10,smg,01JM6F8221QRCS7DBVZAPSJSM8,0,35caae1cd19b2165
9363,7673,2,76561198316706174,2,Tauson,Smoke Grenade,grenade,01JM6F822253QMZ392QF6VXXXY,0,35caae1cd19b2165
9364,7674,2,76561198098071693,2,sl3nd,Kevlar + Helmet,equipment,01JM6F822253QMZ392QJAKYRHA,0,35caae1cd19b2165
9399,7702,2,76561198016255205,3,Twistzz,Smoke Grenade,grenade,01JM6F822253QMZ392QP9HMRB1,0,35caae1cd19b2165
9416,7714,2,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6F82239A5AYBPM9B87ES1V,0,35caae1cd19b2165
9513,7788,2,76561198016255205,3,Twistzz,Incendiary Grenade,grenade,01JM6F82262HSS3ZN3HEEC7TCP,0,35caae1cd19b2165
9639,7889,2,76561198134401925,3,YEKINDAR,Smoke Grenade,grenade,01JM6F822875G7KA3HZ8B09DJT,0,35caae1cd19b2165
9658,7905,2,76561198134401925,3,YEKINDAR,HE Grenade,grenade,01JM6F822875G7KA3HZBH700A1,0,35caae1cd19b2165
9670,7917,2,76561198134401925,3,YEKINDAR,Incendiary Grenade,grenade,01JM6F822875G7KA3HZCQVQP7Q,0,35caae1cd19b2165
10086,8235,2,76561198316706174,2,Tauson,Flashbang,grenade,01JM6F822DNX5TKBJS4CEXFDTW,0,35caae1cd19b2165
10279,8376,2,76561197977105184,3,jks,M4A1,rifle,01JM6F822HTZT3JEQQHT29Z7J3,0,35caae1cd19b2165
10305,8396,2,76561197977105184,3,jks,Smoke Grenade,grenade,01JM6F822HTZT3JEQQHVKM3A5M,0,35caae1cd19b2165
16217,13287,3,76561198283989223,3,ultimate,Incendiary Grenade,grenade,01JM6F82BJWEM7GPTN11YCJE10,0,35caae1cd19b2165
16234,13297,3,76561198283989223,3,ultimate,HE Grenade,grenade,01JM6F82BJWEM7GPTN1214VD03,0,35caae1cd19b2165
16248,13306,3,76561198016255205,3,Twistzz,HE Grenade,grenade,01JM6F82BKJPPAJ190AKE816YF,0,35caae1cd19b2165
16287,13333,3,76561198134401925,3,YEKINDAR,MP9,smg,01JM6F82BKJPPAJ190ARFHSX4W,0,35caae1cd19b2165
16287,13333,3,76561198283989223,3,ultimate,Defuse Kit,equipment,01JM6F82BMY9EJ3JRC7ZSFBW44,0,35caae1cd19b2165
