frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1955,1516,1,76561198134401925,3,YEKINDAR,Flashbang,grenade,01JM6F8KP5BHH0CS19HB02E1JN,0,550b985a66c74143
1988,1541,1,76561198283989223,3,ultimate,Kevlar Vest,equipment,01JM6F8KP5BHH0CS19HBTVZAQ7,0,550b985a66c74143
1999,1549,1,76561197985565685,2," saffee",Kevlar Vest,equipment,01JM6F8KP6AJRNA0T07427X5Y0,0,550b985a66c74143
2034,1567,1,76561198001151695,3," NAF-FLY",Smoke Grenade,grenade,01JM6F8KP6AJRNA0T0781CT0GR,0,550b985a66c74143
2067,1594,1,76561198001151695,3," NAF-FLY",Defuse Kit,equipment,01JM6F8KP7YM8E4YNWKYPSJW71,0,550b985a66c74143
2071,1598,1,76561198010496342,2,exit,Kevlar Vest,equipment,01JM6F8KP7YM8E4YNWM2JX42NE,0,550b985a66c74143
2073,1600,1,76561197977105184,3,jks,Kevlar Vest,equipment,01JM6F8KP7YM8E4YNWM2XC2AQG,0,550b985a66c74143
2086,1611,1,76561198061423730,2,insani,Kevlar Vest,equipment,01JM6F8KP7YM8E4YNWM5R56Q38,0,550b985a66c74143
2089,1614,1,76561198016255205,3,Twistzz,Kevlar Vest,equipment,01JM6F8KP7YM8E4YNWM7DT21D5,0,550b985a66c74143
2128,1637,1,76561198157388473,2,Lucaozy,Kevlar Vest,equipment,01JM6F8KP8KC8JPX5DAY13GWFY,0,550b985a66c74143
2263,1729,1,76561198134401925,3,YEKINDAR,Dual Berettas,pistol,01JM6F8KPA5A12BZJAHZYBFVR2,0,550b985a66c74143
9707,7991,2,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6F8KYZ96JKZYWZ68X80HGH,0,550b985a66c74143
9752,8018,2,76561198010496342,2,exit,AK-47,rifle,01JM6F8KYZ96JKZYWZ69TW247Q,0,550b985a66c74143
9791,8040,2,76561197985565685,2," saffee",Kevlar + Helmet,equipment,01JM6F8KZ0343MP4PDR8KASZNF,0,550b985a66c74143
9827,8060,2,76561197985565685,2," saffee",AK-47,rifle,01JM6F8KZ1DA6A7HKBMY5RBWYM,0,550b985a66c74143
9853,8074,2,76561198388056582,2,drop,Kevlar + Helmet,equipment,01JM6F8KZ1DA6A7HKBN0AN4PS2,0,550b985a66c74143
9859,8077,2,76561197985565685,2," saffee",Smoke Grenade,grenade,01JM6F8KZ1DA6A7HKBN274GYAD,0,550b985a66c74143
9868,8084,2,76561198001151695,3," NAF-FLY",MP9,smg,01JM6F8KZ2VWW5Q40K8QX1GG2F,0,550b985a66c74143
9899,8102,2,76561198001151695,3," NAF-FLY",Kevlar + Helmet,equipment,01JM6F8KZ2VWW5Q40K8VR9J6DR,0,550b985a66c74143
9917,8115,2,76561197985565685,2," saffee",Flashbang,grenade,01JM6F8KZ2VWW5Q40K8Y7YME94,1,550b985a66c74143
10054,8224,2,76561198061423730,2,insani,Kevlar + Helmet,equipment,01JM6F8KZ4QFSJ8QVR7TV7T5H5,0,550b985a66c74143
10068,8234,2,76561198061423730,2,insani,AK-47,rifle,01JM6F8KZ4QFSJ8QVR7YDX240B,1,550b985a66c74143
10128,8276,2,76561198016255205,3,Twistzz,Kevlar + Helmet,equipment,01JM6F8KZ572G0S5KWK9QSRMB5,0,550b985a66c74143
10142,8284,2,76561198061423730,2,insani,Smoke Grenade,grenade,01JM6F8KZ572G0S5KWKC0ME99S,0,550b985a66c74143
10267,8372,2,76561197977105184,3,jks,MP9,smg,01JM6F8KZ7RXSEX2D3F7VZVZG3,1,550b985a66c74143
10303,8400,2,76561197977105184,3,jks,Kevlar Vest,equipment,01JM6F8KZ8JVYXVT6AH65798KN,0,550b985a66c74143
10338,8427,2,76561198061423730,2,insani,Galil AR,rifle,01JM6F8KZ9XMMPNGDQB7VCAQ2V,0,550b985a66c74143
10353,8437,2,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6F8KZ9XMMPNGDQBA6MYVBH,0,550b985a66c74143
10389,8465,2,76561198157388473,2,Lucaozy,Kevlar Vest,equipment,01JM6F8KZ9XMMPNGDQBCYXCSZ7,0,550b985a66c74143
10402,8474,2,76561198157388473,2,Lucaozy,Kevlar + Helmet,equipment,01JM6F8KZAV7N9M8WHM9DW2NNW,0,550b985a66c74143
10402,8474,2,76561198061423730,2,insani,HE Grenade,grenade,01JM6F8KZAV7N9M8WHM9AGK1FV,0,550b985a66c74143
10407,8479,2,76561198010496342,2,exit,Flashbang,grenade,01JM6F8KZAV7N9M8WHMD9YSGHR,0,550b985a66c74143
10458,8511,2,76561198157388473,2,Lucaozy,Galil AR,rifle,01JM6F8KZAV7N9M8WHMEMF00PM,0,550b985a66c74143
10484,8529,2,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6F8KZB3S8FS2P13SGSZ2K1,0,550b985a66c74143
10506,8551,2,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6F8KZB3S8FS2P13TAC9448,0,550b985a66c74143
10526,8570,2,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6F8KZB3S8FS2P13Y4SY7H0,0,550b985a66c74143
10578,8608,2,76561198010496342,2,exit,HE Grenade,grenade,01JM6F8KZC7RERP08G5Q4K4BJ3,0,550b985a66c74143
10591,8617,2,76561198061423730,2,insani,Flashbang,grenade,01JM6F8KZC7RERP08G5TQ4058X,0,550b985a66c74143
10631,8640,2,76561198283989223,3,ultimate,Five-SeveN,pistol,01JM6F8KZDQ2HBN6PEB7K5JC3V,0,550b985a66c74143
10664,8659,2,76561198283989223,3,ultimate,Kevlar Vest,equipment,01JM6F8KZE7WVJ47T2FVJ6HRB5,0,550b985a66c74143
10804,8771,2,76561197985565685,2," saffee",Flashbang,grenade,01JM6F8KZGBMRE60Z80CSE53H5,0,550b985a66c74143
10824,8785,2,76561197977105184,3,jks,Kevlar + Helmet,equipment,01JM6F8KZGBMRE60Z80DE9DPNZ,0,550b985a66c74143
10930,8857,2,76561197977105184,3,jks,Five-SeveN,pistol,01JM6F8KZH9Y85EN80K6KJ543D,0,550b985a66c74143
10966,8887,2,76561197977105184,3,jks,Smoke Grenade,grenade,01JM6F8KZJNNTWCGEVB8Z66TR3,0,550b985a66c74143
10994,8906,2,76561197977105184,3,jks,Flashbang,grenade,01JM6F8KZJNNTWCGEVBBVNAFZH,0,550b985a66c74143
11082,8967,2,76561198134401925,3,YEKINDAR,Kevlar Vest,equipment,01JM6F8KZMZXHPG16VYW4A687T,0,550b985a66c74143
11117,8993,2,76561198134401925,3,YEKINDAR,MP9,smg,01JM6F8KZMZXHPG16VYY6NQB8Y,0,550b985a66c74143
11210,9059,2,76561198016255205,3,Twistzz,Kevlar Vest,equipment,01JM6F8KZPVKNM44R96CR55GX6,0,550b985a66c74143
11243,9084,2,76561198016255205,3,Twistzz,Desert Eagle,pistol,01JM6F8KZPVKNM44R96ED87G1M,0,550b985a66c74143
11271,9109,2,76561198016255205,3,Twistzz,Smoke Grenade,grenade,01JM6F8KZPVKNM44R96J35KQRW,0,550b985a66c74143
11290,9125,2,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6F8KZQ2YBWRF7Y7GB6C3FH,0,550b985a66c74143
11355,9177,2,76561198388056582,2,drop,MAC-10,smg,01JM6F8KZRPDN6AM3PP8W8RMKD,0,550b985a66c74143
19040,15744,3,76561198016255205,3,Twistzz,Desert Eagle,pistol,01JM6F8M99W8AWV8KYXE4XXFEN,0,550b985a66c74143
19071,15764,3,76561198010496342,2,exit,HE Grenade,grenade,01JM6F8KMWSTJJTHTQ7AMKPTGZ,0,550b985a66c74143
19090,15776,3,76561198157388473,2,Lucaozy,Kevlar Vest,equipment,01JM6F8M9A95ZB8BRT96BK582V,0,550b985a66c74143
19090,15776,3,76561198157388473,2,Lucaozy,Kevlar + Helmet,equipment,01JM6F8M9A95ZB8BRT9781N2Y4,0,550b985a66c74143
19091,15777,3,76561198010496342,2,exit,Molotov,grenade,01JM6F8KM5GQBXQJ5EX3FAX1X3,0,550b985a66c74143
19098,15782,3,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6F8KM5GQBXQJ5EX31NG646,0,550b985a66c74143
19104,15788,3,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6F8KM5GQBXQJ5EX2A2106A,0,550b985a66c74143
19104,15788,3,76561198157388473,2,Lucaozy,HE Grenade,grenade,01JM6F8KM5GQBXQJ5EX1XGMVVF,0,550b985a66c74143
19104,15788,3,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6F8KM5GQBXQJ5EX11P8TMF,0,550b985a66c74143
19122,15800,3,76561198010496342,2,exit,Flashbang,grenade,01JM6F8KM5GQBXQJ5EX0CH61QR,0,550b985a66c74143
19161,15821,3,76561197985565685,2," saffee",Molotov,grenade,01JM6F8KM5GQBXQJ5EWXYMY56X,0,550b985a66c74143
19245,15873,3,76561198061423730,2,insani,AK-47,rifle,01JM6F8KM5GQBXQJ5EWVDRY7WM,0,550b985a66c74143
19260,15884,3,76561198061423730,2,insani,Molotov,grenade,01JM6F8KM4KES6C0NJY4A3SH0Q,0,550b985a66c74143
19278,15893,3,76561198061423730,2,insani,HE Grenade,grenade,01JM6F8KM4KES6C0NJY21ZW66W,0,550b985a66c74143
19290,15902,3,76561198061423730,2,insani,Smoke Grenade,grenade,01JM6F8KM4KES6C0NJXZKXFVJ5,0,550b985a66c74143
19297,15908,3,76561197985565685,2," saffee",Flashbang,grenade,01JM6F8KM4KES6C0NJXW1RG3P6,0,550b985a66c74143
19317,15919,3,76561198001151695,3," NAF-FLY",P250,pistol,01JM6F8KM4KES6C0NJXM4GQ7YC,0,550b985a66c74143
19356,15945,3,76561198388056582,2,drop,Kevlar + Helmet,equipment,01JM6F8M9F52WM93H6ZN77YBHN,0,550b985a66c74143
19375,15957,3,76561198283989223,3,ultimate,Desert Eagle,pistol,01JM6F8KM26Q5V24F1BZ2VSAM5,0,550b985a66c74143
19430,15998,3,76561198388056582,2,drop,HE Grenade,grenade,01JM6F8KM4KES6C0NJXDNX2C0S,0,550b985a66c74143
19445,16013,3,76561198388056582,2,drop,Molotov,grenade,01JM6F8KM1T5M80F6683G6K1AQ,0,550b985a66c74143
19461,16027,3,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6F8KM6QJBWTXS2RHG3K3XZ,0,550b985a66c74143
19472,16038,3,76561198388056582,2,drop,Flashbang,grenade,01JM6F8KM4KES6C0NJXGAZVWRY,0,550b985a66c74143
19564,16105,3,76561198010496342,2,exit,AK-47,rifle,01JM6F8KM4KES6C0NJX4NMNFS7,0,550b985a66c74143
20196,16556,3,76561197985565685,2," saffee",SSG 08,sniper,01JM6F8M9W3RPB7AGC2ZF4B5AN,1,550b985a66c74143
28343,23493,4,76561198388056582,2,drop,Molotov,grenade,01JM6F8KYW23RJXS1YGQBAB62A,0,550b985a66c74143
28346,23494,4,76561198001151695,3," NAF-FLY",M4A1,rifle,01JM6F8MKF0SP3TMY5N2QZJ4ZH,0,550b985a66c74143
28373,23508,4,76561198388056582,2,drop,HE Grenade,grenade,01JM6F8KYTTX41BQKBGN5DSTXN,0,550b985a66c74143
28417,23539,4,76561198134401925,3,YEKINDAR,Kevlar + Helmet,equipment,01JM6F8MKGHZCHSA2A8Q9RV5VJ,0,550b985a66c74143
28466,23568,4,76561198134401925,3,YEKINDAR,M4A1,rifle,01JM6F8MKHQ7V092TA0W961GW2,0,550b985a66c74143
28500,23583,4,76561198134401925,3,YEKINDAR,Smoke Grenade,grenade,01JM6F8KZ0343MP4PDR8J6C5FB,0,550b985a66c74143
28506,23585,4,76561198283989223,3,ultimate,AWP,sniper,01JM6F8KZ2VWW5Q40K8VFHWH3T,0,550b985a66c74143
28513,23590,4,76561198001151695,3," NAF-FLY",Kevlar + Helmet,equipment,01JM6F8MKJVRZ794S8XT1Z9A4B,0,550b985a66c74143
28520,23595,4,76561198134401925,3,YEKINDAR,Flashbang,grenade,01JM6F8KYW23RJXS1YGXKYP0B1,0,550b985a66c74143
28551,23610,4,76561198134401925,3,YEKINDAR,HE Grenade,grenade,01JM6F8KYW23RJXS1YGSPPZH8V,0,550b985a66c74143
28553,23612,4,76561198283989223,3,ultimate,Kevlar + Helmet,equipment,01JM6F8MKJVRZ794S8XVYKPXAE,0,550b985a66c74143
28558,23614,4,76561198016255205,3,Twistzz,Kevlar Vest,equipment,01JM6F8MKJVRZ794S8XXCE2AQ4,0,550b985a66c74143
28565,23618,4,76561197977105184,3,jks,M4A1,rifle,01JM6F8MKKNMYK91PYRB5FXA90,0,550b985a66c74143
28569,23621,4,76561198134401925,3,YEKINDAR,Incendiary Grenade,grenade,01JM6F8MKKNMYK91PYRCSTH1CQ,0,550b985a66c74143
28607,23645,4,76561197985565685,2," saffee",Smoke Grenade,grenade,01JM6F8MKKNMYK91PYRGGCR9VC,0,550b985a66c74143
28611,23647,4,76561198001151695,3," NAF-FLY",Incendiary Grenade,grenade,01JM6F8KNW59W9W3PY3GCGQ5XY,0,550b985a66c74143
28628,23662,4,76561197985565685,2," saffee",Molotov,grenade,01JM6F8KZMZXHPG16VZ1ZETVYC,0,550b985a66c74143
28631,23663,4,76561198001151695,3," NAF-FLY",Smoke Grenade,grenade,01JM6F8MKMZXSBGN1GYVVNBDRJ,0,550b985a66c74143
28644,23673,4,76561198001151695,3," NAF-FLY",Flashbang,grenade,01JM6F8MKMZXSBGN1GYWGRT47H,0,550b985a66c74143
28666,23685,4,76561198016255205,3,Twistzz,M4A1,rifle,01JM6F8MKMZXSBGN1GYZ4MXDJE,0,550b985a66c74143
28697,23706,4,76561198061423730,2,insani,Flashbang,grenade,01JM6F8MKMZXSBGN1GZ3X9Q7DT,0,550b985a66c74143
28796,23767,4,76561198016255205,3,Twistzz,Incendiary Grenade,grenade,01JM6F8MKPX5AS0YNMR0P4HMG2,0,550b985a66c74143
28825,23786,4,76561198016255205,3,Twistzz,HE Grenade,grenade,01JM6F8MKPX5AS0YNMR43380KY,0,550b985a66c74143
28844,23798,4,76561198016255205,3,Twistzz,Smoke Grenade,grenade,01JM6F8MKQA3FX8FAN0QC05SV7,0,550b985a66c74143
28861,23811,4,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6F8MKQA3FX8FAN0TC7EF17,0,550b985a66c74143
28864,23813,4,76561197977105184,3,jks,Kevlar + Helmet,equipment,01JM6F8MKQA3FX8FAN0X0B22V4,0,550b985a66c74143
28908,23845,4,76561197977105184,3,jks,Smoke Grenade,grenade,01JM6F8MKRMPJ3F3KHDP6EN4WC,0,550b985a66c74143
28923,23856,4,76561197977105184,3,jks,HE Grenade,grenade,01JM6F8MKRMPJ3F3KHDPYBZFYK,0,550b985a66c74143
28932,23865,4,76561197977105184,3,jks,Incendiary Grenade,grenade,01JM6F8MKRMPJ3F3KHDR439MXA,0,550b985a66c74143
28953,23881,4,76561197977105184,3,jks,Flashbang,grenade,01JM6F8MKRMPJ3F3KHDS0EJE27,0,550b985a66c74143
28986,23894,4,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6F8M0M2J9WWGZ34N37YHV7,0,550b985a66c74143
28992,23896,4,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6F8MKS3YB5467BX8QKWCQ5,0,550b985a66c74143
28992,23896,4,76561198157388473,2,Lucaozy,HE Grenade,grenade,01JM6F8MB84FP7MXCZ7RRCT16H,0,550b985a66c74143
29525,24266,4,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6F8MM1P1QBJVMYZ1SP8JVA,0,550b985a66c74143
29557,24290,4,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6F8KYW23RJXS1YH829WTM2,0,550b985a66c74143
29571,24303,4,76561198010496342,2,exit,Flashbang,grenade,01JM6F8MM1P1QBJVMYZ2A7YY6Y,0,550b985a66c74143
29589,24319,4,76561198010496342,2,exit,HE Grenade,grenade,01JM6F8MM2M8XGH1MNPEH9HYJ3,0,550b985a66c74143
29607,24333,4,76561198010496342,2,exit,Molotov,grenade,01JM6F8MM2M8XGH1MNPH52V89M,0,550b985a66c74143
29690,24386,4,76561198388056582,2,drop,AK-47,rifle,01JM6F8MM3V3C028YKJWPW50AT,0,550b985a66c74143
40455,33374,5,76561198001151695,3," NAF-FLY",Incendiary Grenade,grenade,01JM6F8KZDQ2HBN6PEB7K5JC3V,0,550b985a66c74143
40460,33378,5,76561198134401925,3,YEKINDAR,Smoke Grenade,grenade,01JM6F8KZB3S8FS2P13TAC9448,0,550b985a66c74143
40468,33384,5,76561198001151695,3," NAF-FLY",HE Grenade,grenade,01JM6F8KZAV7N9M8WHMEMF00PM,0,550b985a66c74143
40495,33400,5,76561198157388473,2,Lucaozy,Kevlar Vest,equipment,01JM6F8N2KH4A1M34TCJBWSJSH,0,550b985a66c74143
40498,33401,5,76561198134401925,3,YEKINDAR,HE Grenade,grenade,01JM6F8KYW23RJXS1YGM8DDZ23,0,550b985a66c74143
40518,33413,5,76561198134401925,3,YEKINDAR,Incendiary Grenade,grenade,01JM6F8KYVMYXWM2Q10KTC05D9,0,550b985a66c74143
40565,33446,5,76561198010496342,2,exit,Kevlar Vest,equipment,01JM6F8N2NJZVBV0HM88ZG1R9Z,0,550b985a66c74143
40595,33464,5,76561198061423730,2,insani,Molotov,grenade,01JM6F8N2NJZVBV0HM8CNR4EV0,0,550b985a66c74143
40605,33472,5,76561198010496342,2,exit,Smoke Grenade,grenade,01JM6F8N2NJZVBV0HM8D1W7JVB,0,550b985a66c74143
40606,33473,5,76561198061423730,2,insani,HE Grenade,grenade,01JM6F8N2NJZVBV0HM8G7YKW0Y,0,550b985a66c74143
40618,33482,5,76561198061423730,2,insani,Smoke Grenade,grenade,01JM6F8N2PVZED0NPHFBB2G7EE,0,550b985a66c74143
40619,33483,5,76561198010496342,2,exit,HE Grenade,grenade,01JM6F8KP5BHH0CS19H9X85P78,0,550b985a66c74143
40629,33491,5,76561198061423730,2,insani,Flashbang,grenade,01JM6F8N2PVZED0NPHFGFS1DP9,0,550b985a66c74143
40634,33494,5,76561198010496342,2,exit,Molotov,grenade,01JM6F8N2PVZED0NPHFGZ2R91B,0,550b985a66c74143
40652,33508,5,76561198010496342,2,exit,Flashbang,grenade,01JM6F8N2PVZED0NPHFH151ZS4,0,550b985a66c74143
40746,33573,5,76561198001151695,3," NAF-FLY",Defuse Kit,equipment,01JM6F8N2RWDDWYPMXAN0RP4WM,0,550b985a66c74143
40760,33582,5,76561198016255205,3,Twistzz,Incendiary Grenade,grenade,01JM6F8N2RWDDWYPMXAR9YYA1K,0,550b985a66c74143
40778,33596,5,76561198016255205,3,Twistzz,HE Grenade,grenade,01JM6F8N2RWDDWYPMXAVDWC27T,0,550b985a66c74143
40791,33607,5,76561198016255205,3,Twistzz,Smoke Grenade,grenade,01JM6F8N2RWDDWYPMXAZAT370C,0,550b985a66c74143
40803,33618,5,76561198016255205,3,Twistzz,Flashbang,grenade,01JM6F8N2RWDDWYPMXB15638B4,0,550b985a66c74143
40863,33674,5,76561198283989223,3,ultimate,HE Grenade,grenade,01JM6F8N2S219XVHFNN8PZFM0M,0,550b985a66c74143
40876,33685,5,76561198283989223,3,ultimate,Incendiary Grenade,grenade,01JM6F8N2TR59V8PVKCA3RWEVK,0,550b985a66c74143
40890,33698,5,76561198283989223,3,ultimate,Smoke Grenade,grenade,01JM6F8N2TR59V8PVKCAQ2FE36,0,550b985a66c74143
40904,33709,5,76561198283989223,3,ultimate,Flashbang,grenade,01JM6F8N2TR59V8PVKCAWXBKKP,0,550b985a66c74143
40927,33730,5,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6F8N2TR59V8PVKCC33NJ7R,0,550b985a66c74143
40946,33747,5,76561198157388473,2,Lucaozy,Molotov,grenade,01JM6F8N2VA95HBX1KJMJ3DA3Y,0,550b985a66c74143
40958,33757,5,76561198283989223,3,ultimate,Defuse Kit,equipment,01JM6F8N2VA95HBX1KJQB95TD6,0,550b985a66c74143
41198,33953,5,76561198016255205,3,Twistzz,Defuse Kit,equipment,01JM6F8N2XTFFM5GHKZMY4PP0B,0,550b985a66c74143
41895,34536,5,76561198388056582,2,drop,HE Grenade,grenade,01JM6F8N35S4FE0X38DT1Y27JY,0,550b985a66c74143
41906,34546,5,76561198388056582,2,drop,Molotov,grenade,01JM6F8N36NT4QP2BGW68QQNRM,0,550b985a66c74143
41922,34557,5,76561198388056582,2,drop,Smoke Grenade,grenade,01JM6F8N36NT4QP2BGW6HTXMP7,0,550b985a66c74143
42883,35363,5,76561197985565685,2," saffee",Molotov,grenade,01JM6F8N3KX67W5SAAGQ15DM2H,0,550b985a66c74143
43359,35729,5,76561197977105184,3,jks,Smoke Grenade,grenade,01JM6F8KZRPDN6AM3PP8W8RMKD,0,550b985a66c74143
43376,35741,5,76561197977105184,3,jks,HE Grenade,grenade,01JM6F8KZ2VWW5Q40K8QX1GG2F,0,550b985a66c74143
43526,35852,5,76561198016255205,3,Twistzz,Kevlar + Helmet,equipment,01JM6F8N3WE84VETRMWGB0CTJ0,0,550b985a66c74143
55194,45512,6,76561198157388473,2,Lucaozy,HE Grenade,grenade,01JM6F8NH1G6WEFESK73Z6MNBY,0,550b985a66c74143
55196,45514,6,76561198061423730,2,insani,Kevlar + Helmet,equipment,01JM6F8NH1G6WEFESK74C7HGMB,0,550b985a66c74143
55204,45521,6,76561198157388473,2,Lucaozy,Smoke Grenade,grenade,01JM6F8NH1G6WEFESK761S8PD0,0,550b985a66c74143
55208,45522,6,76561198283989223,3,ultimate,Smoke Grenade,grenade,01JM6F8NH2N9AX9AF4AFJZ16T1,0,550b985a66c74143
55213,45525,6,76561198061423730,2,insani,AK-47,rifle,01JM6F8NH2N9AX9AF4AP4T1HV7,0,550b985a66c74143
55222,45531,6,76561198157388473,2,Lucaozy,Flashbang,grenade,01JM6F8NH2N9AX9AF4ARM0FBQ1,0,550b985a66c74143
55225,45534,6,76561198283989223,3,ultimate,Incendiary Grenade,grenade,01JM6F8NH2N9AX9AF4AVXPQN62,0,550b985a66c74143
55229,45536,6,76561198134401925,3,YEKINDAR,M4A1,rifle,01JM6F8NH35C8VK0579K7RE00W,0,550b985a66c74143
55232,45539,6,76561198061423730,2,insani,Smoke Grenade,grenade,01JM6F8NH35C8VK0579M566F29,0,550b985a66c74143
55248,45549,6,76561198283989223,3,ultimate,Flashbang,grenade,01JM6F8NH35C8VK0579SXTD3E5,0,550b985a66c74143
55248,45549,6,76561198061423730,2,insani,HE Grenade,grenade,01JM6F8NH35C8VK0579Q5ZTTG4,0,550b985a66c74143
55272,45567,6,76561198134401925,3,YEKINDAR,Kevlar Vest,equipment,01JM6F8NH4BB7ZXJV2NE8FKAGN,0,550b985a66c74143
55292,45579,6,76561197985565685,2," saffee",Kevlar + Helmet,equipment,01JM6F8NH4BB7ZXJV2NHBGYWEM,0,550b985a66c74143
55310,45591,6,76561198134401925,3,YEKINDAR,Smoke Grenade,grenade,01JM6F8NH53JB4E8KWWHTBD12N,0,550b985a66c74143
55323,45600,6,76561197985565685,2," saffee",AK-47,rifle,01JM6F8NH53JB4E8KWWQQYNG90,0,550b985a66c74143
55326,45603,6,76561198134401925,3,YEKINDAR,HE Grenade,grenade,01JM6F8NH53JB4E8KWWSEWS60W,0,550b985a66c74143
55334,45611,6,76561197985565685,2," saffee",Smoke Grenade,grenade,01JM6F8NH53JB4E8KWWTKQ38FN,0,550b985a66c74143
55336,45613,6,76561198134401925,3,YEKINDAR,Incendiary Grenade,grenade,01JM6F8NH53JB4E8KWWYP77Q80,0,550b985a66c74143
55354,45626,6,76561197985565685,2," saffee",Molotov,grenade,01JM6F8NH53JB4E8KWX1WG5SB3,0,550b985a66c74143
55357,45629,6,76561198134401925,3,YEKINDAR,Flashbang,grenade,01JM6F8NH6W118YN0NA94YXQ6W,0,550b985a66c74143
55371,45642,6,76561197985565685,2," saffee",Flashbang,grenade,01JM6F8NH6W118YN0NAB89HG9J,0,550b985a66c74143
55560,45763,6,76561198010496342,2,exit,Kevlar + Helmet,equipment,01JM6F8NH9ZXW7S8QFW5KMW70R,0,550b985a66c74143
