frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4628,3505,1,siuhy,76561198150673360,3,MOUZ," lux",76561198074017668,2,paiN Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,1062.544800,-350.094727,-127.968750,0,1,440.745056,-1354.929077,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,30.926565,ee67dce02c26b312
6624,5240,1,Jimpphat,76561198855375325,3,MOUZ,kauez,76561198385657675,2,paiN Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,434.040894,-12.107239,-639.968750,0,0,618.384888,-484.376221,-734.354187,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.035365,ee67dce02c26b312
6626,5242,1,snow,76561198377335846,2,paiN Gaming,Brollan,76561198138828475,3,MOUZ,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1330.025879,-709.172058,-643.410461,0,0,404.197540,-232.106384,-639.968750,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,26.459297,ee67dce02c26b312
6676,5290,1,xertioN,76561198193174134,3,MOUZ,biguzera,76561198015308884,2,paiN Gaming,siuhy,76561198150673360,3,MOUZ,USP-S,pistol,0,0,0,0,0,0,1194.270874,-1409.937500,-639.968750,0,0,1110.727539,-1319.472656,-634.468750,0,0,0,721.176758,302.902496,-572.224426,0,0,0,0,3.096812,ee67dce02c26b312
6951,5535,1,xertioN,76561198193174134,3,MOUZ,snow,76561198377335846,2,paiN Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,1071.783081,-1143.910889,-725.355164,0,0,1281.594971,-933.747192,-767.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,7.637632,ee67dce02c26b312
7665,6167,1,siuhy,76561198150673360,3,MOUZ,nqz,76561198350342505,2,paiN Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,1346.542603,-978.018127,-767.968750,0,0,1071.050781,-1028.819702,-767.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.115341,ee67dce02c26b312
11687,9378,2,siuhy,76561198150673360,3,MOUZ," lux",76561198074017668,2,paiN Gaming,,0,0,,M4A1,rifle,1,0,0,0,0,0,920.443909,-300.837402,-127.968750,0,0,230.639648,-1077.898193,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.390604,ee67dce02c26b312
12014,9707,2,Brollan,76561198138828475,3,MOUZ,nqz,76561198350342505,2,paiN Gaming,,0,0,,MP9,smg,1,0,0,0,0,0,653.165833,-1493.222290,-415.468750,0,0,885.634521,-1676.180908,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.553062,ee67dce02c26b312
12158,9857,2,xertioN,76561198193174134,3,MOUZ,snow,76561198377335846,2,paiN Gaming,,0,0,,M4A1,rifle,1,0,0,0,0,0,1962.322632,-1812.531982,-415.968750,0,0,583.869507,-2054.834473,-367.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,35.580444,ee67dce02c26b312
12428,10134,2,Brollan,76561198138828475,3,MOUZ,kauez,76561198385657675,2,paiN Gaming,torzsi,76561198355739212,3,MOUZ,HE Grenade,grenade,0,0,0,0,0,0,887.558044,-1738.216431,-415.968750,0,0,499.455200,-2318.618896,-415.968750,0,0,0,1803.213013,-1336.947632,-415.968750,0,0,0,0,17.673098,ee67dce02c26b312
12600,10289,2,torzsi,76561198355739212,3,MOUZ,biguzera,76561198015308884,2,paiN Gaming,Brollan,76561198138828475,3,MOUZ,SSG 08,sniper,0,0,0,0,0,0,1890.649292,-1793.694580,-415.968750,0,0,91.783478,-1949.649902,-415.968750,0,1,0,838.218201,-2150.225342,-415.968750,0,0,0,0,45.959473,ee67dce02c26b312
17109,13967,3,nqz,76561198350342505,2,paiN Gaming,xertioN,76561198193174134,3,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,-5.371155,-1970.008423,-339.968750,0,0,1911.154053,-1824.497437,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,48.843052,ee67dce02c26b312
17313,14147,3,Brollan,76561198138828475,3,MOUZ,biguzera,76561198015308884,2,paiN Gaming,xertioN,76561198193174134,3,MOUZ,MP9,smg,1,0,0,0,0,0,580.624756,-1658.852905,-415.968750,0,0,979.055176,-1666.739746,-415.968750,0,0,0,1911.117554,-1823.444092,-415.968750,0,1,0,0,10.123901,ee67dce02c26b312
17415,14244,3," lux",76561198074017668,2,paiN Gaming,Brollan,76561198138828475,3,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,972.194031,-1716.093506,-415.968750,0,0,606.224426,-1647.872925,-415.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,9.470164,ee67dce02c26b312
17854,14657,3,kauez,76561198385657675,2,paiN Gaming,siuhy,76561198150673360,3,MOUZ,,0,0,,AK-47,rifle,1,0,0,0,0,0,193.513840,-1239.218018,-415.968750,0,0,423.227570,-1298.147827,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.024819,ee67dce02c26b312
32408,27375,4,siuhy,76561198150673360,3,MOUZ,biguzera,76561198015308884,2,paiN Gaming,,0,0,,AK-47,rifle,1,0,0,0,0,0,1327.863525,-391.917236,-127.968750,0,0,868.277405,-2391.171631,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,52.617264,ee67dce02c26b312
32896,27801,4,Brollan,76561198138828475,3,MOUZ,nqz,76561198350342505,2,paiN Gaming,,0,0,,M4A1,rifle,0,0,0,0,0,0,793.406738,-1354.947754,-415.968750,0,0,-155.318115,-1222.684204,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,24.330648,ee67dce02c26b312
32958,27853,4,Brollan,76561198138828475,3,MOUZ,kauez,76561198385657675,2,paiN Gaming,xertioN,76561198193174134,3,MOUZ,M4A1,rifle,1,0,0,0,0,0,790.610291,-1368.935303,-415.968750,0,0,187.031647,-1235.957520,-415.968750,0,0,0,1921.666382,-777.648315,-351.968750,0,1,0,0,15.699115,ee67dce02c26b312
32985,27875,4,snow,76561198377335846,2,paiN Gaming,Brollan,76561198138828475,3,MOUZ,kauez,76561198385657675,2,paiN Gaming,AK-47,rifle,0,0,0,0,0,0,-60.787354,-1206.776123,-415.968750,0,0,790.513916,-1369.506592,-415.968750,0,0,0,187.031647,-1235.957520,-415.968750,1,0,0,0,22.015612,ee67dce02c26b312
33752,28527,4,Jimpphat,76561198855375325,3,MOUZ,snow,76561198377335846,2,paiN Gaming,Brollan,76561198138828475,3,MOUZ,M4A1,rifle,0,0,0,0,0,0,933.656128,-627.554382,-639.968750,0,0,313.691589,-1321.114990,-767.468750,0,0,0,790.492371,-1369.633911,-415.968750,0,0,0,0,23.808954,ee67dce02c26b312
39277,32991,5,Jimpphat,76561198855375325,3,MOUZ,kauez,76561198385657675,2,paiN Gaming,,0,0,,AK-47,rifle,1,0,0,0,0,0,603.277100,212.375626,-414.968750,0,0,186.452499,-23.495422,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,12.171130,ee67dce02c26b312
