frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1890,1518,1,76561198015308884,2,biguzera,Smoke Grenade,grenade,01JM6FAQ9DGP73A6NMZPX31RT3,0,ee67dce02c26b312
1925,1538,1,76561198193174134,3,xertioN,Kevlar Vest,equipment,01JM6FAQ9E2P59YEX484MT7Z3Z,0,ee67dce02c26b312
1944,1548,1,76561198015308884,2,biguzera,HE Grenade,grenade,01JM6FAQ9F0P6V8THGG2MMNC6A,0,ee67dce02c26b312
1977,1570,1,76561198015308884,2,biguzera,Flashbang,grenade,01JM6FAQ9GRXXMGS886BM3BJPY,0,ee67dce02c26b312
2012,1593,1,76561198350342505,2,nqz,Smoke Grenade,grenade,01JM6FAQ9H7RK8838R5HSRM76W,0,ee67dce02c26b312
2039,1616,1,76561198855375325,3,Jimpphat,Kevlar Vest,equipment,01JM6FAQ9JV7M3KBWK1JPGQTSW,0,ee67dce02c26b312
2058,1625,1,76561198355739212,3,torzsi,Kevlar Vest,equipment,01JM6FAQ9KZE1AXSNGBYBDENEE,0,ee67dce02c26b312
2063,1628,1,76561198385657675,2,kauez,Kevlar Vest,equipment,01JM6FAQ9KZE1AXSNGC18T79DH,0,ee67dce02c26b312
2114,1662,1,76561198350342505,2,nqz,Molotov,grenade,01JM6FAQ9MN8F6PR25RGN7B4MM,0,ee67dce02c26b312
2173,1698,1,76561198150673360,3,siuhy,HE Grenade,grenade,01JM6FAQ9NMSM0Z48AB1XF4542,0,ee67dce02c26b312
2200,1714,1,76561198150673360,3,siuhy,Flashbang,grenade,01JM6FAQ9PMT0FWHS0GG6EN711,0,ee67dce02c26b312
2253,1751,1,76561198074017668,2," lux",Kevlar Vest,equipment,01JM6FAQ9PMT0FWHS0GK2AZNQ6,0,ee67dce02c26b312
2260,1757,1,76561198377335846,2,snow,Kevlar Vest,equipment,01JM6FAQ9Q74F4SEW7VFZYYFK0,0,ee67dce02c26b312
2274,1767,1,76561198138828475,3,Brollan,Kevlar Vest,equipment,01JM6FAQ9Q74F4SEW7VJJJS4S8,0,ee67dce02c26b312
2428,1874,1,76561198138828475,3,Brollan,Dual Berettas,pistol,01JM6FAQ9KZE1AXSNGBV36Z754,0,ee67dce02c26b312
3038,2288,1,76561198855375325,3,Jimpphat,Decoy Grenade,grenade,01JM6FAQA3EB0VY6MQGV9YB1SP,0,ee67dce02c26b312
8978,7207,2,76561198150673360,3,siuhy,Kevlar + Helmet,equipment,01JM6FAQHA0YXPBRCQ1J57EGK0,0,ee67dce02c26b312
9022,7239,2,76561198385657675,2,kauez,Desert Eagle,pistol,01JM6FAQHBP449KV078P4A7SBT,0,ee67dce02c26b312
9274,7402,2,76561198138828475,3,Brollan,MP9,smg,01JM6FAQHF1EWXH71JDXGS92N8,0,ee67dce02c26b312
9303,7420,2,76561198350342505,2,nqz,Zeus x27,melee,01JM6FAQHF1EWXH71JDYSSDRQS,0,ee67dce02c26b312
9303,7420,2,76561198138828475,3,Brollan,Kevlar + Helmet,equipment,01JM6FAQHF1EWXH71JE25F9G9H,0,ee67dce02c26b312
9368,7468,2,76561198193174134,3,xertioN,M4A1,rifle,01JM6FAQHGMCRBDHFM1Y835P5Q,0,ee67dce02c26b312
9369,7469,2,76561198193174134,3,xertioN,Kevlar + Helmet,equipment,01JM6FAQHGMCRBDHFM1YMDBX4Y,0,ee67dce02c26b312
9389,7481,2,76561198138828475,3,Brollan,Smoke Grenade,grenade,01JM6FAQHHYFB7PQ6AZSR2WZYR,0,ee67dce02c26b312
9403,7492,2,76561198138828475,3,Brollan,HE Grenade,grenade,01JM6FAQHHYFB7PQ6AZV6YH4CM,0,ee67dce02c26b312
9415,7502,2,76561198138828475,3,Brollan,Incendiary Grenade,grenade,01JM6FAQHHYFB7PQ6AZXNG046H,0,ee67dce02c26b312
9434,7516,2,76561198138828475,3,Brollan,Flashbang,grenade,01JM6FAQHHYFB7PQ6B00VM96GP,0,ee67dce02c26b312
9440,7519,2,76561198193174134,3,xertioN,Smoke Grenade,grenade,01JM6FAQHHYFB7PQ6B0363PCC1,0,ee67dce02c26b312
9444,7521,2,76561198193174134,3,xertioN,HE Grenade,grenade,01JM6FAQHHYFB7PQ6B05BV230B,0,ee67dce02c26b312
9512,7567,2,76561198074017668,2," lux",Tec-9,pistol,01JM6FAQHJS8WBJH41HAA4C1NH,0,ee67dce02c26b312
9542,7584,2,76561198355739212,3,torzsi,SSG 08,sniper,01JM6FAQHMNN6M78V34FHVXJEM,0,ee67dce02c26b312
9567,7608,2,76561198355739212,3,torzsi,Kevlar + Helmet,equipment,01JM6FAQHMNN6M78V34JDBK0HJ,0,ee67dce02c26b312
9612,7644,2,76561198355739212,3,torzsi,Smoke Grenade,grenade,01JM6FAQHNDRYS6BKS1EX7FM2G,0,ee67dce02c26b312
9626,7656,2,76561198355739212,3,torzsi,HE Grenade,grenade,01JM6FAQHNDRYS6BKS1FM8XXZD,0,ee67dce02c26b312
9676,7689,2,76561198355739212,3,torzsi,Flashbang,grenade,01JM6FAQHNDRYS6BKS1HN6HPD7,0,ee67dce02c26b312
9760,7758,2,76561198377335846,2,snow,Desert Eagle,pistol,01JM6FAQHP8GF4S79NMQ7XM632,1,ee67dce02c26b312
9798,7790,2,76561198855375325,3,Jimpphat,M4A1,rifle,01JM6FAQHQ9P5ZXDJF8D1FJKRS,0,ee67dce02c26b312
9830,7813,2,76561198150673360,3,siuhy,M4A1,rifle,01JM6FAQHQ9P5ZXDJF8JAB4KAT,0,ee67dce02c26b312
9850,7825,2,76561198855375325,3,Jimpphat,Kevlar + Helmet,equipment,01JM6FAQHR5J5PS9JADED8ZCD6,0,ee67dce02c26b312
9913,7871,2,76561198377335846,2,snow,P250,pistol,01JM6FAQHSQW9NNTCC3RQ0WKDB,1,ee67dce02c26b312
9997,7937,2,76561198150673360,3,siuhy,Flashbang,grenade,01JM6FAQHTYCG534Z90RNXNMNQ,0,ee67dce02c26b312
10443,8268,2,76561198377335846,2,snow,Desert Eagle,pistol,01JM6FAQJ33MQDWW378QHPXPVB,0,ee67dce02c26b312
10455,8275,2,76561198015308884,2,biguzera,Flashbang,grenade,01JM6FAQJ33MQDWW378X37XTEN,0,ee67dce02c26b312
13209,10742,3,76561198193174134,3,xertioN,Smoke Grenade,grenade,01JM6FAQP1ZK8FMH6EBB5YV10R,0,ee67dce02c26b312
13209,10742,3,76561198193174134,3,xertioN,Flashbang,grenade,01JM6FAQP1ZK8FMH6EB8WFGFEG,0,ee67dce02c26b312
13213,10743,3,76561198193174134,3,xertioN,Incendiary Grenade,grenade,01JM6FAQP1ZK8FMH6EBE00TZHT,0,ee67dce02c26b312
13264,10775,3,76561198150673360,3,siuhy,Incendiary Grenade,grenade,01JM6FAQP2GT2CG0WFRYEKV990,0,ee67dce02c26b312
13278,10786,3,76561198150673360,3,siuhy,HE Grenade,grenade,01JM6FAQP2GT2CG0WFS0MW4V2H,0,ee67dce02c26b312
13289,10796,3,76561198855375325,3,Jimpphat,Incendiary Grenade,grenade,01JM6FAQ7W0S6EGP87YGVP4WFN,0,ee67dce02c26b312
13289,10796,3,76561198150673360,3,siuhy,Smoke Grenade,grenade,01JM6FAQ7W0S6EGP87YDYTQGH2,0,ee67dce02c26b312
13297,10803,3,76561198385657675,2,kauez,AK-47,rifle,01JM6FAQ7W0S6EGP87YARG3P2C,0,ee67dce02c26b312
13300,10806,3,76561198150673360,3,siuhy,Flashbang,grenade,01JM6FAQ7W0S6EGP87Y9TBYPZN,0,ee67dce02c26b312
13301,10807,3,76561198855375325,3,Jimpphat,HE Grenade,grenade,01JM6FAQ7W0S6EGP87Y83DQ451,0,ee67dce02c26b312
13318,10818,3,76561198855375325,3,Jimpphat,Smoke Grenade,grenade,01JM6FAQ7W0S6EGP87Y70F8B4F,0,ee67dce02c26b312
13318,10818,3,76561198074017668,2," lux",Kevlar + Helmet,equipment,01JM6FAQP38F20CRCQM0MAX656,0,ee67dce02c26b312
