frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1872,1508,1,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6FAZTG8BCMB18ABKWBZFFG,0,1ec3d3f6cf6f10be
1902,1530,1,76561198081484775,3,sh1ro,Kevlar Vest,equipment,01JM6FAZTHBW2EHM9GKCR38F1H,0,1ec3d3f6cf6f10be
1927,1544,1,76561198855375325,2,Jimpphat,Smoke Grenade,grenade,01JM6FAZTHBW2EHM9GKECDDNJF,0,1ec3d3f6cf6f10be
1954,1560,1,76561198855375325,2,Jimpphat,HE Grenade,grenade,01JM6FAZTHBW2EHM9GKFF09K8A,0,1ec3d3f6cf6f10be
1958,1563,1,76561198193174134,2,xertioN,Kevlar Vest,equipment,01JM6FAZTJR7MVVG271DYYKSMD,0,1ec3d3f6cf6f10be
1964,1569,1,76561198138828475,2,Brollan,Kevlar Vest,equipment,01JM6FAZTJR7MVVG271G814Q36,0,1ec3d3f6cf6f10be
1978,1579,1,76561198855375325,2,Jimpphat,Flashbang,grenade,01JM6FAZTJR7MVVG271GD9Y6DE,0,1ec3d3f6cf6f10be
2004,1597,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6FAZTJR7MVVG271HG6RWEQ,0,1ec3d3f6cf6f10be
2128,1678,1,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM6FAZTMRY88Y7BHF6BZBN5X,0,1ec3d3f6cf6f10be
2202,1724,1,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6FAZTN1T9YBQ504FPFM5GM,0,1ec3d3f6cf6f10be
2323,1802,1,76561198150673360,2,siuhy,Flashbang,grenade,01JM6FAZTQKVW2P8R149KFX8FS,0,1ec3d3f6cf6f10be
2387,1848,1,76561199063238565,3,magixx,Dual Berettas,pistol,01JM6FAZTSFFB45MM1VKAB3RKR,0,1ec3d3f6cf6f10be
2442,1888,1,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6FAZTT6474M6YPKKWZPF7Y,0,1ec3d3f6cf6f10be
2475,1904,1,76561198045898864,3,chopper,Flashbang,grenade,01JM6FAZTVRF95XDJ7K60ZFEP8,0,1ec3d3f6cf6f10be
2515,1923,1,76561198193174134,2,xertioN,Smoke Grenade,grenade,01JM6FAZTW5Y44CYJ1JG9TY1HH,0,1ec3d3f6cf6f10be
10020,8061,2,76561199063238565,3,magixx,Kevlar + Helmet,equipment,01JM6FB03P8Y8CKN15NWQV5Z7Z,0,1ec3d3f6cf6f10be
10033,8071,2,76561199063238565,3,magixx,MP9,smg,01JM6FB03P8Y8CKN15NY3J2TP6,0,1ec3d3f6cf6f10be
10078,8102,2,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FB03QQE9KY53CANP32AC0,0,1ec3d3f6cf6f10be
10092,8112,2,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FB03QQE9KY53CARJ796H6,0,1ec3d3f6cf6f10be
10104,8120,2,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6FB03QQE9KY53CAV9JAJZ3,0,1ec3d3f6cf6f10be
10114,8128,2,76561199063238565,3,magixx,Flashbang,grenade,01JM6FB03R4MQAS69W32R9JX63,0,1ec3d3f6cf6f10be
10160,8159,2,76561198995880877,3,zont1x,MP9,smg,01JM6FB03R4MQAS69W369ZJ9ST,0,1ec3d3f6cf6f10be
10188,8175,2,76561198995880877,3,zont1x,Kevlar + Helmet,equipment,01JM6FB03SFS34BHST4PNDK927,0,1ec3d3f6cf6f10be
