frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
10181,8354,1,4,2,0,76561198959824088,bLitz,0,0,d6edbce1ba18ad0a
16934,13740,2,5,2,0,76561198920720017,Senzu,0,0,d6edbce1ba18ad0a
27284,21860,3,2,2,0,76561198838822582,Mzinho,0,1,d6edbce1ba18ad0a
27318,21889,3,1,3,1,76561198193174134,xertioN,1,1,d6edbce1ba18ad0a
33953,26961,4,3,2,0,76561198838822582,Mzinho,0,0,d6edbce1ba18ad0a
42786,33511,5,3,3,0,76561198138828475,Brollan,0,0,d6edbce1ba18ad0a
52859,41254,6,4,3,0,76561198138828475,Brollan,1,0,d6edbce1ba18ad0a
66203,51986,7,5,3,0,76561198355739212,torzsi,0,0,d6edbce1ba18ad0a
76482,60114,8,2,2,0,76561198959824088,bLitz,0,0,d6edbce1ba18ad0a
86218,67601,9,3,3,0,76561198355739212,torzsi,1,0,d6edbce1ba18ad0a
98978,77211,10,4,3,0,76561198150673360,siuhy,0,0,d6edbce1ba18ad0a
108079,84485,11,4,3,0,76561198855375325,Jimpphat,1,2,d6edbce1ba18ad0a
119562,93635,12,4,3,0,76561198193174134,xertioN,0,1,d6edbce1ba18ad0a
130418,102743,13,2,2,0,76561198355739212,torzsi,0,0,d6edbce1ba18ad0a
139827,110119,14,4,2,0,76561198855375325,Jimpphat,0,0,d6edbce1ba18ad0a
147418,116084,15,3,2,0,76561198355739212,torzsi,0,1,d6edbce1ba18ad0a
160373,126128,16,3,3,0,76561198966340160,Techno4K,1,0,d6edbce1ba18ad0a
173572,136861,17,4,3,0,76561198959824088,bLitz,1,0,d6edbce1ba18ad0a
187821,147857,19,4,3,0,76561198966340160,Techno4K,1,0,d6edbce1ba18ad0a
199059,156898,20,4,3,0,76561198920720017,Senzu,0,1,d6edbce1ba18ad0a
214909,169380,21,2,3,0,76561198838822582,Mzinho,0,0,d6edbce1ba18ad0a
229613,180473,22,2,3,0,76561198959824088,bLitz,0,0,d6edbce1ba18ad0a
242577,190327,23,2,3,1,76561198966340160,Techno4K,1,2,d6edbce1ba18ad0a
242850,190569,23,1,2,0,76561198355739212,torzsi,0,0,d6edbce1ba18ad0a
253053,198705,24,3,2,0,76561198855375325,Jimpphat,0,0,d6edbce1ba18ad0a
264973,208305,25,4,2,0,76561198355739212,torzsi,0,0,d6edbce1ba18ad0a
273091,214486,26,5,2,0,76561198855375325,Jimpphat,0,1,d6edbce1ba18ad0a
285788,224017,27,4,2,0,76561198193174134,xertioN,0,1,d6edbce1ba18ad0a
299115,234807,28,5,2,0,76561199203563345,910,0,0,d6edbce1ba18ad0a
307465,241234,29,5,3,0,76561198138828475,Brollan,0,0,d6edbce1ba18ad0a
