name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
bLitz,76561198959824088,52,The MongolZ,21,6,20,11,52,1.050000,58.620689,83.758621,0.724138,0.689655,3.517241,2,-1,0,0,0,2,0,0,2429,373,102,6,10,10,15,9,1,1,0,0,0,5,9,10,15,9,4,5,2,3,0,0,8,5,1,0,0,1.036400,1.018848,CSGO-Z8hfX-KGGwD-ceNtt-nAcw4-8bBAA,0,0,d6edbce1ba18ad0a
torzsi,76561198355739212,62,MOUZ,24,6,17,8,33,1.411765,68.965515,80.000000,0.827586,0.586207,0.000000,2,-1,0,0,0,3,0,0,2320,108,0,8,12,12,17,11,1,1,0,0,0,7,11,12,17,11,1,1,7,1,0,0,10,4,2,0,0,1.244431,1.229889,CSGO-iopEq-o7dEz-ue8Bc-Kxzf9-F6FyB,4,0,d6edbce1ba18ad0a
siuhy,76561198150673360,46,MOUZ,17,4,23,9,52,0.739130,55.172413,63.034481,0.586207,0.793103,1.206897,4,-1,0,0,0,2,0,0,1828,286,35,3,7,7,12,6,1,1,0,0,0,2,6,7,12,6,6,2,2,3,0,0,8,3,1,0,0,0.763693,0.778998,CSGO-Jhfkc-4UpR6-DJftC-VfGek-pL3ED,0,0,d6edbce1ba18ad0a
910,76561199203563345,61,The MongolZ,28,2,18,7,25,1.555556,65.517242,101.206894,0.965517,0.620690,1.551724,5,-1,0,0,0,0,0,0,2935,139,45,3,7,7,12,6,1,1,0,0,0,2,6,7,12,6,5,2,3,1,0,0,8,7,2,0,0,1.374222,1.376934,CSGO-M2rA2-pdMmu-ZW93R-XO5cv-hif4D,2,0,d6edbce1ba18ad0a
Brollan,76561198138828475,26,MOUZ,9,6,21,6,66,0.428571,65.517242,42.689655,0.310345,0.724138,2.103448,0,-1,0,0,0,0,0,0,1238,186,61,5,9,9,14,8,1,1,0,0,0,4,8,9,14,8,2,6,2,3,0,1,7,1,0,0,0,0.579292,0.504909,CSGO-QOS5y-kyeKF-7ExW2-ZH3K8-dv6KQ,3,0,d6edbce1ba18ad0a
xertioN,76561198193174134,54,MOUZ,22,7,20,13,59,1.100000,68.965515,85.793106,0.758621,0.689655,12.379311,4,-1,0,0,0,0,1,0,2488,445,359,5,9,9,14,8,2,2,1,1,1,3,7,8,13,7,2,7,1,3,0,1,9,2,3,0,0,1.151667,1.107665,CSGO-NN5WD-xrPuZ-H2zGG-6NTfb-LYqhH,1,0,d6edbce1ba18ad0a
Mzinho,76561198838822582,47,The MongolZ,19,3,19,13,68,1.000000,62.068962,70.482758,0.655172,0.655172,4.482759,2,-1,0,0,0,2,1,0,2044,342,130,5,9,9,14,8,1,1,0,0,0,4,8,9,14,8,2,1,3,3,0,0,8,4,1,0,0,0.967550,0.969427,CSGO-pTnp4-jooAC-X4DMi-xjuiY-k8aYO,1,0,d6edbce1ba18ad0a
Jimpphat,76561198855375325,44,MOUZ,14,7,19,8,57,0.736842,72.413788,64.000000,0.482759,0.655172,2.551724,3,-1,0,0,0,3,0,0,1856,266,74,6,10,10,15,9,1,1,0,0,0,5,9,10,15,9,0,2,2,4,0,1,6,2,0,1,0,0.887040,0.845378,CSGO-Oxmmy-Rc2QS-vvena-tzcnq-n92YP,2,0,d6edbce1ba18ad0a
Senzu,76561198920720017,49,The MongolZ,18,6,17,11,61,1.058824,75.862068,72.896553,0.620690,0.586207,1.655172,2,-1,0,0,0,1,0,0,2114,180,48,4,8,8,13,7,1,1,0,0,0,3,7,8,13,7,6,1,2,4,0,0,12,2,1,0,0,1.093217,0.967017,CSGO-NdDqx-Pkozw-uUi2V-nQfW8-nCyXD,3,0,d6edbce1ba18ad0a
Techno4K,76561198966340160,41,The MongolZ,13,3,13,6,46,1.000000,72.413788,42.724136,0.448276,0.448276,0.413793,5,-1,0,0,0,3,1,0,1239,199,12,5,9,9,14,8,2,2,1,1,1,3,7,8,13,7,1,2,3,2,0,1,5,4,0,0,0,0.885667,0.905770,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,d6edbce1ba18ad0a
