number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1333,2712,3644,9219,11164,9667,11690,MOUZ,The MongolZ,1,0,3,2,4000,4000,4550,4200,3350,3400,pistol,pistol,120583,8,MOUZ,3,0,d6edbce1ba18ad0a
2,9667,11690,10947,13572,13836,17045,14284,17632,MOUZ,The MongolZ,2,0,3,2,18400,10400,20150,1000,18100,0,semi,eco,65682,8,MOUZ,3,0,d6edbce1ba18ad0a
3,14284,17632,15564,19792,23344,28990,23792,29531,MOUZ,The MongolZ,3,0,3,2,18050,22100,24150,23100,6300,21700,full,full,139312,7,MOUZ,3,0,d6edbce1ba18ad0a
4,23792,29531,25072,31615,27106,34132,27554,34694,MOUZ,The MongolZ,4,0,3,2,31050,19400,29900,21000,24500,19000,full,full,56433,8,MOUZ,3,0,d6edbce1ba18ad0a
5,29867,37973,31147,39823,33648,42948,34096,43516,MOUZ,The MongolZ,4,1,3,2,23700,18000,30050,18800,12700,17600,full,force-buy,61021,9,The MongolZ,2,0,d6edbce1ba18ad0a
6,34096,43516,35376,45743,44200,56381,44648,56904,MOUZ,The MongolZ,4,2,3,2,18400,18450,19350,26950,18050,12850,force-buy,full,157796,1,The MongolZ,2,0,d6edbce1ba18ad0a
7,44648,56904,45928,58885,52244,66508,52692,67087,MOUZ,The MongolZ,4,3,3,2,10150,24400,3800,27350,300,9000,eco,full,117798,9,The MongolZ,2,0,d6edbce1ba18ad0a
8,52692,67087,53972,69085,60384,76777,60832,77314,MOUZ,The MongolZ,5,3,3,2,21850,33450,23150,27550,21750,5400,full,full,118853,8,MOUZ,3,0,d6edbce1ba18ad0a
9,60832,77314,62112,79384,67549,86153,67997,86708,MOUZ,The MongolZ,5,4,3,2,17850,38450,27150,27450,17000,26950,full,full,108415,1,The MongolZ,2,0,d6edbce1ba18ad0a
10,70224,90038,71504,92120,77397,99191,77845,99745,MOUZ,The MongolZ,5,5,3,2,10950,30300,8150,27150,1100,12100,semi,full,112266,9,The MongolZ,2,0,d6edbce1ba18ad0a
11,77845,99745,79126,101659,87601,111625,88049,112168,MOUZ,The MongolZ,5,6,3,2,21950,36050,22750,27150,21550,8300,full,full,145715,1,The MongolZ,2,0,d6edbce1ba18ad0a
12,88049,112168,89329,114274,93793,119742,97281,123650,MOUZ,The MongolZ,5,7,3,2,15800,46350,19700,29150,15050,20150,force-buy,full,92899,9,The MongolZ,2,0,d6edbce1ba18ad0a
13,97281,123650,98977,126150,104831,132800,105279,133337,MOUZ,The MongolZ,5,8,2,3,4000,4000,4300,4000,3300,3400,pistol,pistol,112230,7,The MongolZ,3,0,d6edbce1ba18ad0a
14,105279,133337,106559,135628,110185,139905,110633,140484,MOUZ,The MongolZ,5,9,2,3,14400,19900,15250,21950,14250,19600,force-buy,semi,80560,8,The MongolZ,3,0,d6edbce1ba18ad0a
15,110633,140484,111913,142510,118370,149971,118818,150503,MOUZ,The MongolZ,5,10,2,3,12450,18350,3500,27700,3500,9400,eco,full,116363,8,The MongolZ,3,0,d6edbce1ba18ad0a
16,120835,153397,122115,155443,129086,163784,129534,164390,MOUZ,The MongolZ,6,10,2,3,24350,26700,25400,30650,24100,20150,full,full,127402,1,MOUZ,2,0,d6edbce1ba18ad0a
17,129534,164390,130814,166427,137113,173855,137561,174416,MOUZ,The MongolZ,7,10,2,3,19250,14150,27250,6600,11900,900,full,semi,116093,1,MOUZ,2,0,d6edbce1ba18ad0a
18,137561,174416,138841,176384,143814,182425,144262,182960,MOUZ,The MongolZ,8,10,2,3,26150,23050,27250,24900,9000,22700,full,full,98235,1,MOUZ,2,0,d6edbce1ba18ad0a
19,144262,182960,145542,184946,151180,191595,151628,192126,MOUZ,The MongolZ,9,10,2,3,35150,12450,27650,12650,9000,1700,full,semi,105913,1,MOUZ,2,0,d6edbce1ba18ad0a
20,151628,192126,152908,194149,159052,201506,159500,202050,MOUZ,The MongolZ,10,10,2,3,45150,25550,27250,26700,9200,22550,full,full,115051,9,MOUZ,2,0,d6edbce1ba18ad0a
21,161555,205080,162835,207138,169516,215060,169964,215611,MOUZ,The MongolZ,11,10,2,3,53800,20400,27350,15100,12200,14300,full,semi,122410,9,MOUZ,2,0,d6edbce1ba18ad0a
22,172680,219852,173960,221830,180957,230158,181405,230691,MOUZ,The MongolZ,12,10,2,3,59450,23400,28450,24150,18200,22850,full,full,126409,9,MOUZ,2,0,d6edbce1ba18ad0a
23,183921,234424,185201,236446,191846,244310,192294,244841,MOUZ,The MongolZ,12,11,2,3,58750,18450,27750,19400,16400,18400,full,force-buy,121257,7,The MongolZ,3,0,d6edbce1ba18ad0a
