name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
iM,76561198050250233,49,Natus Vincere,19,6,15,12,63,1.266667,70.833328,72.125000,0.791667,0.625000,3.833333,3,-1,0,0,0,1,0,0,1731,321,92,2,7,6,3,3,1,2,0,0,0,1,5,6,3,3,2,1,2,2,0,0,6,4,0,0,1,1.185441,1.306499,CSGO-rsDHb-QDmGE-VikD2-dApWC-kJCEB,3,0,993a3866aec86821
exit,76561198010496342,35,MIBR,12,4,20,7,58,0.600000,62.500000,54.375000,0.500000,0.833333,1.083333,0,-1,0,0,0,1,0,0,1305,244,26,3,8,7,4,4,1,2,0,0,0,2,6,7,4,4,2,1,2,3,0,0,6,3,0,0,0,0.696387,0.626565,CSGO-niyeb-yLFrz-dNQCR-vmkVv-4jTiA,2,0,993a3866aec86821
drop,76561198388056582,29,MIBR,8,9,14,3,37,0.571429,83.333328,61.333332,0.333333,0.583333,15.833333,1,-1,0,0,0,1,0,0,1472,369,380,5,10,9,6,6,1,2,0,0,0,4,8,9,6,6,2,2,2,5,0,1,6,1,0,0,0,0.880661,0.643440,CSGO-peqCj-cRKwS-joxsM-L2p4W-JK5mA,1,0,993a3866aec86821
b1t,76561198246607476,38,Natus Vincere,15,5,16,13,86,0.937500,70.833328,57.791668,0.625000,0.666667,3.958333,0,-1,0,0,0,0,0,0,1387,263,95,5,10,9,6,6,1,2,0,0,0,4,8,9,6,6,1,4,4,3,0,3,5,2,2,0,0,0.969163,0.988157,CSGO-RsToC-ZCzq2-V8e8K-7Zcvu-VY2UO,0,0,993a3866aec86821
w0nderful,76561199063068840,40,Natus Vincere,14,2,16,7,50,0.875000,87.500000,59.833332,0.583333,0.666667,3.791667,2,-1,0,0,0,3,0,0,1436,170,91,4,9,8,5,5,1,2,0,0,0,3,7,8,5,5,3,2,2,4,0,0,13,1,0,0,0,1.048896,0.796244,CSGO-QKB9N-pqqyO-OX8bw-n78wK-5tbJD,4,0,993a3866aec86821
Aleksib,76561198013243326,60,Natus Vincere,18,5,15,11,61,1.200000,75.000000,93.791664,0.750000,0.625000,11.125000,6,-1,0,0,0,5,0,0,2251,357,267,6,11,10,7,7,2,3,1,1,1,4,8,9,6,6,3,0,2,2,0,0,3,3,3,0,0,1.245026,1.223348,CSGO-SkoGm-N5yir-M8p3V-QyOxC-z2urD,1,0,993a3866aec86821
jL,76561198176878303,27,Natus Vincere,7,7,14,2,28,0.500000,70.833328,60.083332,0.291667,0.583333,13.875000,0,-1,0,0,0,1,0,0,1442,334,333,4,9,8,5,5,1,2,0,0,0,3,7,8,5,5,2,6,1,2,0,0,7,0,0,0,0,0.741095,0.584458,CSGO-E2jHY-A7dDz-bsKcc-wpxKi-ChaAB,2,0,993a3866aec86821
" saffee",76561197985565685,51,MIBR,19,11,11,5,26,1.727273,83.333328,79.958336,0.791667,0.458333,1.250000,3,-1,0,0,0,1,1,0,1919,252,30,5,10,9,6,6,2,3,1,1,1,3,7,8,5,5,1,0,4,4,0,0,6,3,1,1,0,1.411329,1.394469,CSGO-niyeb-yLFrz-dNQCR-vmkVv-4jTiA,3,0,993a3866aec86821
insani,76561198061423730,69,MIBR,24,5,15,14,58,1.600000,75.000000,98.583336,1.000000,0.625000,5.041667,6,-1,0,0,0,3,1,0,2366,316,121,4,9,8,5,5,2,3,1,1,1,2,6,7,4,4,7,6,5,4,0,2,8,0,4,1,0,1.476443,1.577238,CSGO-GsnzG-rBZDa-ry2xe-zrqZs-qKwLA,0,0,993a3866aec86821
Lucaozy,76561198157388473,44,MIBR,12,6,14,3,25,0.857143,66.666672,64.541664,0.500000,0.583333,6.125000,3,-1,0,0,0,3,1,0,1549,296,147,3,8,7,4,4,1,2,0,0,0,2,6,7,4,4,1,2,3,1,0,0,4,4,0,0,0,0.900864,0.855197,CSGO-EvvTA-D6U88-mXTHk-acm3G-bkMHA,4,0,993a3866aec86821
