frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1887,1496,1,76561198386265483,2,donk,Kevlar Vest,equipment,01JM6FDFBYK7YXM4C20485HHMZ,0,614394a2c0c3e48
1892,1498,1,76561198081484775,2,sh1ro,Kevlar Vest,equipment,01JM6FDFBYK7YXM4C207Q5N4P8,0,614394a2c0c3e48
1961,1546,1,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM6FDFBZAKAFEZ0TJ073G4X7,0,614394a2c0c3e48
1964,1548,1,76561198995880877,2,zont1x,Kevlar Vest,equipment,01JM6FDFBZAKAFEZ0TJ0G7FFA9,0,614394a2c0c3e48
1973,1553,1,76561199063068840,3,w0nderful,Kevlar Vest,equipment,01JM6FDFBZAKAFEZ0TJ4CGXJYM,0,614394a2c0c3e48
1975,1555,1,76561199063238565,2,magixx,Molotov,grenade,01JM6FDFBZAKAFEZ0TJ7QFAB97,0,614394a2c0c3e48
1998,1571,1,76561198013243326,3,Aleksib,HE Grenade,grenade,01JM6FDFBZAKAFEZ0TJAHZGADF,0,614394a2c0c3e48
2014,1578,1,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM6FDFC0PDDTWFS7JDQVCV0Q,0,614394a2c0c3e48
2024,1583,1,76561198013243326,3,Aleksib,Flashbang,grenade,01JM6FDFC0PDDTWFS7JG0ADMPW,0,614394a2c0c3e48
2055,1607,1,76561198013243326,3,Aleksib,Smoke Grenade,grenade,01JM6FDFC19Q49VDHJCQRY00XQ,0,614394a2c0c3e48
2207,1702,1,76561198176878303,3,jL,Kevlar Vest,equipment,01JM6FDFC3V0PVR27APYKJ71H6,0,614394a2c0c3e48
2218,1705,1,76561198045898864,2,chopper,Flashbang,grenade,01JM6FDFC3V0PVR27APZ5Y8J0J,0,614394a2c0c3e48
2600,1983,1,76561198246607476,3,b1t,Kevlar Vest,equipment,01JM6FDFC84BX9TCRJE62R6EJ8,0,614394a2c0c3e48
2713,2047,1,76561198050250233,3,iM,HE Grenade,grenade,01JM6FDFCCTG8JQ96P30AWYXWH,0,614394a2c0c3e48
2735,2059,1,76561198050250233,3,iM,Flashbang,grenade,01JM6FDFCCTG8JQ96P318KNMDW,0,614394a2c0c3e48
2883,2164,1,76561198246607476,3,b1t,Dual Berettas,pistol,01JM6FDFCE6EYGSYKKATYZ82T5,0,614394a2c0c3e48
9749,7778,2,76561198386265483,2,donk,Kevlar + Helmet,equipment,01JM6FDFMXGCTVYE9FEFBAF3TB,0,614394a2c0c3e48
9754,7783,2,76561199063238565,2,magixx,Kevlar + Helmet,equipment,01JM6FDFMXGCTVYE9FEGQVN76V,0,614394a2c0c3e48
9761,7788,2,76561198386265483,2,donk,AK-47,rifle,01JM6FDFMXGCTVYE9FEJZHVXS6,1,614394a2c0c3e48
9770,7794,2,76561198995880877,2,zont1x,MAC-10,smg,01JM6FDFMXGCTVYE9FETTTQKKQ,1,614394a2c0c3e48
9774,7795,2,76561199063238565,2,magixx,AK-47,rifle,01JM6FDFMXGCTVYE9FEXC8AEMS,1,614394a2c0c3e48
9781,7802,2,76561198386265483,2,donk,Molotov,grenade,01JM6FDFAB2BQSABV4N9Y948QX,0,614394a2c0c3e48
9783,7804,2,76561198386265483,2,donk,Smoke Grenade,grenade,01JM6FDFAB2BQSABV4N66R2862,0,614394a2c0c3e48
9784,7805,2,76561198386265483,2,donk,Flashbang,grenade,01JM6FDFAB2BQSABV4N3P203E8,0,614394a2c0c3e48
9791,7810,2,76561198995880877,2,zont1x,Kevlar + Helmet,equipment,01JM6FDFMY0SVMAR858V64VC9G,0,614394a2c0c3e48
9829,7837,2,76561198995880877,2,zont1x,HE Grenade,grenade,01JM6FDFAB2BQSABV4N00BSZTP,1,614394a2c0c3e48
9848,7846,2,76561198995880877,2,zont1x,Molotov,grenade,01JM6FDFAB2BQSABV4MZBG4RXQ,0,614394a2c0c3e48
9875,7858,2,76561198995880877,2,zont1x,Smoke Grenade,grenade,01JM6FDFAB2BQSABV4MVPDDJHH,0,614394a2c0c3e48
9891,7867,2,76561198995880877,2,zont1x,Flashbang,grenade,01JM6FDFAB2BQSABV4MT19JMPE,1,614394a2c0c3e48
10089,8002,2,76561198081484775,2,sh1ro,Kevlar + Helmet,equipment,01JM6FDFN3RA0806A0D8KFDQB7,0,614394a2c0c3e48
10321,8130,2,76561199063238565,2,magixx,Galil AR,rifle,01JM6FDFAB2BQSABV4MDYRQKYS,0,614394a2c0c3e48
10352,8142,2,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM6FDFACY2BDFPAWVZHA161X,0,614394a2c0c3e48
10365,8151,2,76561199063238565,2,magixx,Molotov,grenade,01JM6FDFAB2BQSABV4MGJM7T9Y,0,614394a2c0c3e48
10384,8165,2,76561199063238565,2,magixx,Flashbang,grenade,01JM6FDFACY2BDFPAWW2Z39ZAT,0,614394a2c0c3e48
10529,8245,2,76561198176878303,3,jL,Desert Eagle,pistol,01JM6FDFAB2BQSABV4MMGX768F,0,614394a2c0c3e48
10785,8407,2,76561198081484775,2,sh1ro,MAC-10,smg,01JM6FDFA98X2PD4KBZKFV34J1,1,614394a2c0c3e48
10957,8500,2,76561198045898864,2,chopper,MAC-10,smg,01JM6FDFA98X2PD4KBZHVCZR97,0,614394a2c0c3e48
10989,8524,2,76561198045898864,2,chopper,Kevlar + Helmet,equipment,01JM6FDFNJ4CRP5SZHNJ47563P,0,614394a2c0c3e48
11026,8542,2,76561198081484775,2,sh1ro,Smoke Grenade,grenade,01JM6FDFA98X2PD4KBZ7MH5QTZ,0,614394a2c0c3e48
11037,8551,2,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM6FDFNK6S5S3VZSA7AFZG84,0,614394a2c0c3e48
11046,8559,2,76561198081484775,2,sh1ro,Flashbang,grenade,01JM6FDFNK6S5S3VZSA8MKE56D,0,614394a2c0c3e48
11061,8568,2,76561198045898864,2,chopper,Molotov,grenade,01JM6FDFA98X2PD4KBYZ2VG77A,0,614394a2c0c3e48
11075,8578,2,76561198386265483,2,donk,MAC-10,smg,01JM6FDFNK6S5S3VZSAB03PWJR,0,614394a2c0c3e48
11090,8588,2,76561198045898864,2,chopper,Flashbang,grenade,01JM6FDFNM36JBWDQ9C1B48M17,0,614394a2c0c3e48
11156,8626,2,76561198386265483,2,donk,HE Grenade,grenade,01JM6FDFNNN17YM93A3ZMFSQ68,0,614394a2c0c3e48
11680,8997,2,76561198081484775,2,sh1ro,Galil AR,rifle,01JM6FDFNYATACX077KQSS269R,0,614394a2c0c3e48
14830,11501,3,76561198386265483,2,donk,Smoke Grenade,grenade,01JM6FDFTG71FM00JBSVHJS24Z,0,614394a2c0c3e48
14883,11522,3,76561198176878303,3,jL,M4A1,rifle,01JM6FDFA8XZPW2FZ5YM9Q7PQT,0,614394a2c0c3e48
