frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1870,1488,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6FDQ63GHAWHGRYBCPQBC1E,0,25f8330ee031d4c5
1881,1494,1,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM6FDQ63GHAWHGRYBF3DD004,0,25f8330ee031d4c5
1889,1501,1,76561198081484775,3,sh1ro,Kevlar Vest,equipment,01JM6FDQ63GHAWHGRYBG42P2EA,0,25f8330ee031d4c5
1970,1561,1,76561197997351207,2,rain,P250,pistol,01JM6FDQ64C37V4TJVS2SC23KZ,0,25f8330ee031d4c5
1975,1564,1,76561198201620490,2,broky,Kevlar Vest,equipment,01JM6FDQ64C37V4TJVS3CDGZ82,0,25f8330ee031d4c5
2002,1583,1,76561197997351207,2,rain,Smoke Grenade,grenade,01JM6FDQ64C37V4TJVS4AG8GEA,0,25f8330ee031d4c5
2019,1594,1,76561197997351207,2,rain,Flashbang,grenade,01JM6FDQ65QXX31ARBJ88SSHEM,0,25f8330ee031d4c5
2172,1695,1,76561197991272318,2,ropz,Kevlar Vest,equipment,01JM6FDQ69FVWNHP8N8S5V8HCF,0,25f8330ee031d4c5
2180,1700,1,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6FDQ69FVWNHP8N8VSV3NTW,0,25f8330ee031d4c5
2241,1740,1,76561197989430253,2," karrigan",Flashbang,grenade,01JM6FDQ6AS2WC5NHR7B14CBEZ,0,25f8330ee031d4c5
2291,1777,1,76561197989430253,2," karrigan",Molotov,grenade,01JM6FDQ6B8YK7PF5TPKXTEX79,0,25f8330ee031d4c5
2400,1853,1,76561198995880877,3,zont1x,Dual Berettas,pistol,01JM6FDQ6DEZ1J84KRB3XV14TK,0,25f8330ee031d4c5
2524,1926,1,76561198045898864,3,chopper,HE Grenade,grenade,01JM6FDQ6GCCJ98AX8NMSVD1QS,0,25f8330ee031d4c5
2556,1944,1,76561198045898864,3,chopper,Flashbang,grenade,01JM6FDQ6HHAYHA4D8Q5NNXAE0,0,25f8330ee031d4c5
2585,1961,1,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6FDQ6HHAYHA4D8Q6EKMP3W,0,25f8330ee031d4c5
11028,8873,2,76561198201620490,2,broky,AK-47,rifle,01JM6FDQFV1G043ETMXWHYA6SV,0,25f8330ee031d4c5
11054,8889,2,76561198201620490,2,broky,Kevlar + Helmet,equipment,01JM6FDQFV1G043ETMXZR5VXG8,0,25f8330ee031d4c5
11077,8906,2,76561198201620490,2,broky,Smoke Grenade,grenade,01JM6FDQFWE9XS4YM8K99BA27Z,0,25f8330ee031d4c5
11101,8919,2,76561198201620490,2,broky,Molotov,grenade,01JM6FDQFWE9XS4YM8KCER1F0K,0,25f8330ee031d4c5
11114,8931,2,76561198201620490,2,broky,Flashbang,grenade,01JM6FDQFX4ZQ3AD769Z81A6M1,0,25f8330ee031d4c5
11180,8973,2,76561198068422762,2,frozen,Kevlar + Helmet,equipment,01JM6FDQFY9JNGMKJMV5F96DH9,0,25f8330ee031d4c5
11236,8998,2,76561198068422762,2,frozen,Galil AR,rifle,01JM6FDQFZQDHDX8WST9TGXPKX,0,25f8330ee031d4c5
11268,9016,2,76561198068422762,2,frozen,Smoke Grenade,grenade,01JM6FDQFZQDHDX8WSTAG4AE03,0,25f8330ee031d4c5
11281,9027,2,76561198068422762,2,frozen,HE Grenade,grenade,01JM6FDQFZQDHDX8WSTEECZ4N9,0,25f8330ee031d4c5
11295,9039,2,76561198068422762,2,frozen,Molotov,grenade,01JM6FDQG055V09SW862TMYPT1,0,25f8330ee031d4c5
11615,9260,2,76561197989430253,2," karrigan",Kevlar + Helmet,equipment,01JM6FDQG5CK6BZPAKC0PSSGMP,0,25f8330ee031d4c5
11663,9295,2,76561197989430253,2," karrigan",MAC-10,smg,01JM6FDQG6TFWSGMYAXKVT5CBV,0,25f8330ee031d4c5
11755,9374,2,76561197989430253,2," karrigan",Flashbang,grenade,01JM6FDQG7PWJTJ5S111B8MPKT,0,25f8330ee031d4c5
11789,9403,2,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6FDQG7PWJTJ5S112WQ8TYP,0,25f8330ee031d4c5
11884,9482,2,76561197989430253,2," karrigan",Molotov,grenade,01JM6FDQG8527490JK44SQQMVF,0,25f8330ee031d4c5
12475,9986,2,76561197991272318,2,ropz,Kevlar + Helmet,equipment,01JM6FDQGFRFEGZ0D2ZD40Q76F,0,25f8330ee031d4c5
12524,10025,2,76561197991272318,2,ropz,AK-47,rifle,01JM6FDQGGE2M7947QMJDS079J,0,25f8330ee031d4c5
12602,10094,2,76561197991272318,2,ropz,HE Grenade,grenade,01JM6FDQGHK9HVM2438E7G187Y,0,25f8330ee031d4c5
12618,10108,2,76561197991272318,2,ropz,Smoke Grenade,grenade,01JM6FDQGHK9HVM2438F2SNKSW,0,25f8330ee031d4c5
26080,20498,3,76561197989430253,2," karrigan",Kevlar Vest,equipment,01JM6FDQVR33232AEN6DF0K1N4,0,25f8330ee031d4c5
26100,20514,3,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM6FDQVR33232AEN6FQ28SRJ,0,25f8330ee031d4c5
26115,20521,3,76561198201620490,2,broky,Desert Eagle,pistol,01JM6FDQVR33232AEN6JG17R4P,1,25f8330ee031d4c5
26122,20524,3,76561198386265483,3,donk,M4A1,rifle,01JM6FDQVR33232AEN6N1S8HCN,0,25f8330ee031d4c5
26131,20528,3,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM6FDQVS97MV5C44WF56S93W,0,25f8330ee031d4c5
26131,20528,3,76561199063238565,3,magixx,Kevlar + Helmet,equipment,01JM6FDQVS97MV5C44WGEZBBXB,0,25f8330ee031d4c5
26141,20537,3,76561198201620490,2,broky,Kevlar Vest,equipment,01JM6FDQVS97MV5C44WJKN9795,0,25f8330ee031d4c5
26144,20540,3,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FDQVS97MV5C44WMMJYVRB,0,25f8330ee031d4c5
26145,20541,3,76561198386265483,3,donk,Incendiary Grenade,grenade,01JM6FDQVS97MV5C44WQJB1NJW,0,25f8330ee031d4c5
26149,20543,3,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FDQVS97MV5C44WR8STDC8,0,25f8330ee031d4c5
26150,20544,3,76561198386265483,3,donk,Flashbang,grenade,01JM6FDQVS97MV5C44WTZSZ84V,0,25f8330ee031d4c5
26151,20545,3,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6FDQVS97MV5C44WVSN5W0T,0,25f8330ee031d4c5
26157,20550,3,76561198995880877,3,zont1x,Flashbang,grenade,01JM6FDQVS97MV5C44WZYV77X2,0,25f8330ee031d4c5
26157,20550,3,76561198386265483,3,donk,HE Grenade,grenade,01JM6FDQVS97MV5C44WWSM5TX8,0,25f8330ee031d4c5
26168,20560,3,76561198386265483,3,donk,Defuse Kit,equipment,01JM6FDQVS97MV5C44X3H0JQDS,0,25f8330ee031d4c5
26173,20564,3,76561199063238565,3,magixx,Flashbang,grenade,01JM6FDQVT6HXXNY54VXZ7556M,0,25f8330ee031d4c5
26182,20572,3,76561198995880877,3,zont1x,Kevlar + Helmet,equipment,01JM6FDQVT6HXXNY54VY6R4RKN,0,25f8330ee031d4c5
26193,20581,3,76561198995880877,3,zont1x,Defuse Kit,equipment,01JM6FDQVT6HXXNY54VY98YQ10,0,25f8330ee031d4c5
26198,20583,3,76561197989430253,2," karrigan",Desert Eagle,pistol,01JM6FDQVT6HXXNY54VZQ8KMJ5,1,25f8330ee031d4c5
26213,20592,3,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FDQ4HARCSHA4GHPX97A9N,0,25f8330ee031d4c5
26237,20612,3,76561198045898864,3,chopper,Kevlar + Helmet,equipment,01JM6FDQVVHT7RNF0ZQQSMR4T9,0,25f8330ee031d4c5
26276,20641,3,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6FDQ4HARCSHA4GHHQT7Q1P,0,25f8330ee031d4c5
26293,20653,3,76561198045898864,3,chopper,HE Grenade,grenade,01JM6FDQ4HARCSHA4GHFTEPZAF,0,25f8330ee031d4c5
26316,20666,3,76561198045898864,3,chopper,Incendiary Grenade,grenade,01JM6FDQ4HARCSHA4GHCVV1P0J,0,25f8330ee031d4c5
26343,20685,3,76561198045898864,3,chopper,Flashbang,grenade,01JM6FDQ4HARCSHA4GHCK827GC,0,25f8330ee031d4c5
26493,20783,3,76561198081484775,3,sh1ro,Kevlar + Helmet,equipment,01JM6FDQW0AFWA123AXSB14MJY,0,25f8330ee031d4c5
26584,20856,3,76561198081484775,3,sh1ro,HE Grenade,grenade,01JM6FDQ4HARCSHA4GH9QTD91K,0,25f8330ee031d4c5
26600,20870,3,76561198081484775,3,sh1ro,Smoke Grenade,grenade,01JM6FDQ4HARCSHA4GH5TKJDMY,0,25f8330ee031d4c5
26660,20917,3,76561197989430253,2," karrigan",P250,pistol,01JM6FDQ4HARCSHA4GGPENAGAZ,0,25f8330ee031d4c5
26694,20935,3,76561198081484775,3,sh1ro,Flashbang,grenade,01JM6FDQ4HARCSHA4GGN2SMZZY,0,25f8330ee031d4c5
26705,20943,3,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6FDQ4GFGBANGRN896PHX12,0,25f8330ee031d4c5
26747,20970,3,76561197989430253,2," karrigan",Flashbang,grenade,01JM6FDQ4ETXFF375D9CE6GRCY,0,25f8330ee031d4c5
26977,21122,3,76561198068422762,2,frozen,Tec-9,pistol,01JM6FDQ5TK6BRNQN6HH4GKNQM,0,25f8330ee031d4c5
27001,21140,3,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM6FDQW7FHCYQ2J2FN9T9ZD9,0,25f8330ee031d4c5
27128,21215,3,76561197991272318,2,ropz,Tec-9,pistol,01JM6FDQ6AS2WC5NHR783ZYASH,0,25f8330ee031d4c5
27133,21216,3,76561198068422762,2,frozen,Smoke Grenade,grenade,01JM6FDQ5TK6BRNQN6H5MZEN8V,0,25f8330ee031d4c5
27146,21229,3,76561197991272318,2,ropz,Kevlar + Helmet,equipment,01JM6FDQW91SG894GTN7Y52A7T,0,25f8330ee031d4c5
27287,21311,3,76561197997351207,2,rain,Desert Eagle,pistol,01JM6FDQWC20SK0Q5SVQBEM48X,0,25f8330ee031d4c5
27345,21353,3,76561197997351207,2,rain,Kevlar Vest,equipment,01JM6FDQWDSN5NCS2QX230KD1H,0,25f8330ee031d4c5
36177,28617,4,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6FDQFTB4HVYPYY6HTCJSDR,0,25f8330ee031d4c5
36197,28629,4,76561198386265483,3,donk,Flashbang,grenade,01JM6FDR73RVKYTAPHQYQ0CT1V,0,25f8330ee031d4c5
36224,28644,4,76561198081484775,3,sh1ro,Incendiary Grenade,grenade,01JM6FDQ4GFGBANGRN85XT29QS,0,25f8330ee031d4c5
36238,28656,4,76561198081484775,3,sh1ro,HE Grenade,grenade,01JM6FDQ4GFGBANGRN8FB33NHD,0,25f8330ee031d4c5
36256,28668,4,76561198081484775,3,sh1ro,Flashbang,grenade,01JM6FDQ4J5ZAHBE1TYQGKE3K9,0,25f8330ee031d4c5
36456,28803,4,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FDQ4GFGBANGRN8C0ZX60Y,0,25f8330ee031d4c5
36468,28813,4,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FDR78F2Q0R2V3RGXKY077,0,25f8330ee031d4c5
36478,28822,4,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6FDQ4HARCSHA4GGZ6AWYZV,0,25f8330ee031d4c5
36505,28846,4,76561198995880877,3,zont1x,HE Grenade,grenade,01JM6FDQ4HARCSHA4GGS6ZCT1W,0,25f8330ee031d4c5
36522,28855,4,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM6FDR79B5XAJ4AVRMN73V5S,0,25f8330ee031d4c5
36542,28866,4,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FDQ4HARCSHA4GGW59Q2WJ,0,25f8330ee031d4c5
36567,28877,4,76561198995880877,3,zont1x,Flashbang,grenade,01JM6FDQ4FYXS6VQDHY7SHNVH2,0,25f8330ee031d4c5
36599,28895,4,76561198995880877,3,zont1x,Kevlar + Helmet,equipment,01JM6FDR7AK910XXXBTZNVGYS5,0,25f8330ee031d4c5
36610,28904,4,76561198995880877,3,zont1x,Defuse Kit,equipment,01JM6FDR7B3FB2651P0XB7R4WD,0,25f8330ee031d4c5
36657,28939,4,76561198045898864,3,chopper,HE Grenade,grenade,01JM6FDR7B3FB2651P0YNE2X57,0,25f8330ee031d4c5
36741,28991,4,76561198995880877,3,zont1x,M4A1,rifle,01JM6FDR7CMBBGM0T1HA0CRHM9,0,25f8330ee031d4c5
37736,29702,4,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6FDR7T5AAH0K42ZFA94EFT,1,25f8330ee031d4c5
37934,29844,4,76561197991272318,2,ropz,Smoke Grenade,grenade,01JM6FDR7YCS3RC7JSW4PFDYPQ,0,25f8330ee031d4c5
41240,32421,5,76561197997351207,2,rain,Kevlar + Helmet,equipment,01JM6FDRCAW41Q85PSM3MPEDE6,0,25f8330ee031d4c5
41240,32421,5,76561197997351207,2,rain,AK-47,rifle,01JM6FDRCAW41Q85PSM0E18NY7,0,25f8330ee031d4c5
41243,32422,5,76561198081484775,3,sh1ro,Incendiary Grenade,grenade,01JM6FDRCAW41Q85PSM6Q0JJVC,0,25f8330ee031d4c5
41266,32438,5,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FDRCAW41Q85PSM8XG9SD3,0,25f8330ee031d4c5
41266,32438,5,76561198201620490,2,broky,Kevlar + Helmet,equipment,01JM6FDRCBBBP4KVT6AZ4T3BDP,0,25f8330ee031d4c5
41284,32450,5,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM6FDRCBBBP4KVT6B2VGJY77,0,25f8330ee031d4c5
41296,32457,5,76561197997351207,2,rain,Smoke Grenade,grenade,01JM6FDRCBBBP4KVT6B7BGW4KJ,0,25f8330ee031d4c5
41302,32460,5,76561198201620490,2,broky,AK-47,rifle,01JM6FDRCBBBP4KVT6B838Q5VV,0,25f8330ee031d4c5
41316,32469,5,76561197997351207,2,rain,Flashbang,grenade,01JM6FDRCCXZN0T9VV7JWAV3G9,0,25f8330ee031d4c5
41321,32473,5,76561198201620490,2,broky,Smoke Grenade,grenade,01JM6FDQFR68CW7KBD0MVDV0QZ,0,25f8330ee031d4c5
41336,32486,5,76561198201620490,2,broky,Flashbang,grenade,01JM6FDQKT6CXP6SXWYEDCAB2Q,0,25f8330ee031d4c5
41382,32515,5,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FDRCDWFGK1Z5GANE5PR2W,0,25f8330ee031d4c5
41394,32523,5,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FDRCDWFGK1Z5GARB4YS7Y,0,25f8330ee031d4c5
41613,32656,5,76561198068422762,2,frozen,Kevlar + Helmet,equipment,01JM6FDRCGRDNF7P7MQTJBR0TS,0,25f8330ee031d4c5
41613,32656,5,76561198068422762,2,frozen,AK-47,rifle,01JM6FDRCGRDNF7P7MQRV1T46E,0,25f8330ee031d4c5
41620,32660,5,76561197989430253,2," karrigan",AK-47,rifle,01JM6FDRCHJVFHCAERJ47P585S,0,25f8330ee031d4c5
41652,32687,5,76561197989430253,2," karrigan",Kevlar + Helmet,equipment,01JM6FDRCHJVFHCAERJ6QBD2GJ,0,25f8330ee031d4c5
41676,32710,5,76561197989430253,2," karrigan",Smoke Grenade,grenade,01JM6FDRCHJVFHCAERJ83S42PH,0,25f8330ee031d4c5
41684,32714,5,76561198068422762,2,frozen,Molotov,grenade,01JM6FDQFR68CW7KBD0M123STR,0,25f8330ee031d4c5
41707,32729,5,76561198068422762,2,frozen,Smoke Grenade,grenade,01JM6FDQFV1G043ETMXRJKA64S,0,25f8330ee031d4c5
41983,32900,5,76561197989430253,2," karrigan",Flashbang,grenade,01JM6FDRCP444FZFNPGJ0F0Y0V,0,25f8330ee031d4c5
42447,33248,5,76561197991272318,2,ropz,Galil AR,rifle,01JM6FDQVR33232AEN6QPF5ACR,1,25f8330ee031d4c5
42496,33292,5,76561197991272318,2,ropz,AK-47,rifle,01JM6FDRCX91B3T8B03M0ARFKN,0,25f8330ee031d4c5
42522,33314,5,76561197991272318,2,ropz,Kevlar Vest,equipment,01JM6FDRCX91B3T8B03TXNAPZ5,0,25f8330ee031d4c5
42649,33397,5,76561197991272318,2,ropz,HE Grenade,grenade,01JM6FDRCZTE65WJNXDF4417ZR,0,25f8330ee031d4c5
42669,33410,5,76561197991272318,2,ropz,Smoke Grenade,grenade,01JM6FDRCZTE65WJNXDFQ9YD4V,0,25f8330ee031d4c5
50717,39960,6,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FDQVJRY97Z4YDD8Y12N8F,0,25f8330ee031d4c5
50724,39964,6,76561198081484775,3,sh1ro,Smoke Grenade,grenade,01JM6FDQVM889CVTS7D159AN63,0,25f8330ee031d4c5
50730,39965,6,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FDQVM889CVTS7CXMPF8MY,0,25f8330ee031d4c5
50739,39970,6,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FDRR0J0HMQFDA9VG0H8FJ,0,25f8330ee031d4c5
50744,39975,6,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM6FDQNR44K8YVW72ENF100B,0,25f8330ee031d4c5
50745,39976,6,76561198081484775,3,sh1ro,HE Grenade,grenade,01JM6FDRR0J0HMQFDA9Y46TTKV,0,25f8330ee031d4c5
50761,39988,6,76561198995880877,3,zont1x,Flashbang,grenade,01JM6FDQNVN4M3RKTZEJ6NT7C6,0,25f8330ee031d4c5
50761,39988,6,76561199063238565,3,magixx,Flashbang,grenade,01JM6FDRR141X6EQEJR90NRCCH,0,25f8330ee031d4c5
50761,39988,6,76561198081484775,3,sh1ro,Incendiary Grenade,grenade,01JM6FDRR141X6EQEJR1PST2RV,0,25f8330ee031d4c5
50780,40003,6,76561198081484775,3,sh1ro,Flashbang,grenade,01JM6FDRR141X6EQEJRA519ZT5,0,25f8330ee031d4c5
50797,40014,6,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6FDRR141X6EQEJRBTNNTKX,0,25f8330ee031d4c5
50872,40070,6,76561198386265483,3,donk,Incendiary Grenade,grenade,01JM6FDRR38N6FJKGVS1167QEJ,0,25f8330ee031d4c5
50872,40070,6,76561198068422762,2,frozen,Desert Eagle,pistol,01JM6FDR3P5J50KA3DWRAMTTB5,1,25f8330ee031d4c5
50877,40073,6,76561198386265483,3,donk,Flashbang,grenade,01JM6FDRR38N6FJKGVS2GMT6Q1,0,25f8330ee031d4c5
50882,40076,6,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6FDRR38N6FJKGVS4Q2CA82,0,25f8330ee031d4c5
50886,40080,6,76561198386265483,3,donk,HE Grenade,grenade,01JM6FDRR38N6FJKGVS690DGXF,0,25f8330ee031d4c5
50909,40100,6,76561198068422762,2,frozen,Kevlar Vest,equipment,01JM6FDRR38N6FJKGVS7A6DBY6,0,25f8330ee031d4c5
51690,40775,6,76561197991272318,2,ropz,Tec-9,pistol,01JM6FDRRDBCTY0V3G8SWAJ14G,0,25f8330ee031d4c5
