frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
7586,6208,1,donk,76561198386265483,3,Team Spirit,rain,76561197997351207,2,FaZe Clan,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,582.993896,2355.821045,67.031250,0,0,289.721985,2216.997803,98.564316,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.262753,7ae9740a4a1599be
7730,6338,1,magixx,76561199063238565,3,Team Spirit,broky,76561198201620490,2,FaZe Clan,sh1ro,76561198081484775,3,Team Spirit,USP-S,pistol,1,0,0,0,0,0,1204.410156,2106.189697,0.853084,0,0,297.422699,2206.591553,98.376228,0,0,0,1185.060791,2744.689941,99.004074,0,0,1,0,23.264069,7ae9740a4a1599be
7734,6341,1,donk,76561198386265483,3,Team Spirit,ropz,76561197991272318,2,FaZe Clan,sh1ro,76561198081484775,3,Team Spirit,Dual Berettas,pistol,1,0,0,0,0,0,572.158752,2369.492676,67.031250,0,0,335.048462,2228.324219,97.445274,0,0,0,1182.658325,2748.962158,101.706917,0,0,0,0,7.169805,7ae9740a4a1599be
8189,6743,1,donk,76561198386265483,3,Team Spirit," karrigan",76561197989430253,2,FaZe Clan,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,1190.088379,2311.680420,127.069260,0,0,1466.427979,1236.115234,-11.195374,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.390524,7ae9740a4a1599be
8218,6768,1,sh1ro,76561198081484775,3,Team Spirit,frozen,76561198068422762,2,FaZe Clan,,0,0,,USP-S,pistol,1,0,0,0,0,0,1131.643066,2797.320557,127.031250,0,0,1393.999023,1188.926392,-9.685608,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,41.536510,7ae9740a4a1599be
11294,9104,2,donk,76561198386265483,3,Team Spirit,rain,76561197997351207,2,FaZe Clan,,0,0,,M4A1,rifle,1,0,0,0,0,0,-451.771851,1494.297241,-125.793396,0,0,-217.882874,383.029633,-1.776062,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.012558,7ae9740a4a1599be
12533,10157,2," karrigan",76561197989430253,2,FaZe Clan,chopper,76561198045898864,3,Team Spirit,,0,0,,SSG 08,sniper,1,0,0,0,0,0,-1130.910278,1374.742798,-111.792175,0,0,2.205824,1498.548950,0.164289,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.091461,7ae9740a4a1599be
15990,13204,2,magixx,76561199063238565,3,Team Spirit," karrigan",76561197989430253,2,FaZe Clan,,0,0,,MP9,smg,0,0,0,0,0,0,1047.635986,881.043030,-0.121643,0,0,629.186829,750.188782,0.884429,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.145838,7ae9740a4a1599be
16047,13255,2,donk,76561198386265483,3,Team Spirit,ropz,76561197991272318,2,FaZe Clan,,0,0,,M4A1,rifle,1,0,0,0,0,0,1545.585449,1424.915649,1.031252,0,0,620.615906,747.566895,0.932079,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.161453,7ae9740a4a1599be
16110,13311,2,donk,76561198386265483,3,Team Spirit,frozen,76561198068422762,2,FaZe Clan,magixx,76561199063238565,3,Team Spirit,M4A1,rifle,0,0,0,0,0,0,1539.880859,1406.755615,1.031252,0,0,624.998291,683.456787,0.943027,0,0,0,969.299683,1025.296997,0.265335,0,0,0,0,29.621748,7ae9740a4a1599be
16981,14077,2,sh1ro,76561198081484775,3,Team Spirit,broky,76561198201620490,2,FaZe Clan,,0,0,,MP9,smg,0,0,0,0,0,0,416.248199,205.367722,-1.576660,0,0,610.473328,281.366760,1.218843,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.282903,7ae9740a4a1599be
20517,16593,3," karrigan",76561197989430253,2,FaZe Clan,chopper,76561198045898864,3,Team Spirit,broky,76561198201620490,2,FaZe Clan,MAC-10,smg,0,0,1,0,0,0,842.570496,927.102295,0.208319,0,1,1041.497070,657.758118,6.870669,0,1,0,683.968750,-407.968628,18.953125,0,0,0,0,8.448236,7ae9740a4a1599be
21381,17297,3,zont1x,76561198995880877,3,Team Spirit,ropz,76561197991272318,2,FaZe Clan,,0,0,,MP9,smg,0,0,0,0,0,0,-426.887817,1620.758911,-125.942810,0,0,-342.107849,1601.018799,-126.814575,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,2.226270,7ae9740a4a1599be
22373,18150,3,zont1x,76561198995880877,3,Team Spirit," karrigan",76561197989430253,2,FaZe Clan,,0,0,,AK-47,rifle,0,0,0,0,0,0,-483.913330,442.495605,0.528426,0,0,565.318665,183.975067,-0.712708,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,27.447586,7ae9740a4a1599be
22426,18195,3,frozen,76561198068422762,2,FaZe Clan,zont1x,76561198995880877,3,Team Spirit,,0,0,,AK-47,rifle,0,0,0,0,0,0,611.175476,209.605133,-0.807251,0,0,-485.280029,455.851044,0.657331,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,28.546167,7ae9740a4a1599be
25426,20812,3,sh1ro,76561198081484775,3,Team Spirit,frozen,76561198068422762,2,FaZe Clan,,0,0,,AWP,sniper,0,0,0,0,0,0,1016.096924,2465.556885,170.031250,0,0,1270.811768,1978.473999,1.029011,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,14.682459,7ae9740a4a1599be
26794,21973,3,rain,76561197997351207,2,FaZe Clan,donk,76561198386265483,3,Team Spirit,,0,0,,AK-47,rifle,0,0,0,0,0,0,1756.827271,2052.269531,3.250886,0,1,647.161621,2343.919678,29.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.145353,7ae9740a4a1599be
27012,22155,3,broky,76561198201620490,2,FaZe Clan,magixx,76561199063238565,3,Team Spirit,,0,0,,AK-47,rifle,0,0,0,0,0,0,1274.086670,2533.566406,127.031250,0,0,544.588684,2677.448486,96.280739,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.920122,7ae9740a4a1599be
27898,22938,3,broky,76561198201620490,2,FaZe Clan,sh1ro,76561198081484775,3,Team Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,1374.042969,2400.965088,31.135319,0,0,1016.983276,2478.403809,170.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.048977,7ae9740a4a1599be
34500,27823,4,donk,76561198386265483,3,Team Spirit," karrigan",76561197989430253,2,FaZe Clan,,0,0,,M4A1,rifle,0,0,0,0,0,0,-188.945801,930.324707,1.234956,0,0,-145.162292,308.283539,2.160107,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.839470,7ae9740a4a1599be
34584,27890,4,donk,76561198386265483,3,Team Spirit,ropz,76561197991272318,2,FaZe Clan,,0,0,,M4A1,rifle,0,0,0,0,0,0,-185.393982,929.987244,1.185496,0,0,-113.947998,318.148163,1.080260,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.647080,7ae9740a4a1599be
38609,31316,4,donk,76561198386265483,3,Team Spirit,broky,76561198201620490,2,FaZe Clan,,0,0,,M4A1,rifle,0,0,0,0,0,0,504.995422,2685.685059,95.158363,0,0,1679.498535,1969.520508,60.031250,0,0,0,0.000000,0.000000,0.000000,0,1,1,0,34.953472,7ae9740a4a1599be
38666,31362,4,rain,76561197997351207,2,FaZe Clan,donk,76561198386265483,3,Team Spirit," karrigan",76561197989430253,2,FaZe Clan,AK-47,rifle,0,0,0,0,0,0,1343.901978,2560.025635,78.069382,0,0,486.757690,2643.231445,95.349846,0,0,0,-145.162292,308.283539,2.160107,1,1,0,0,21.879023,7ae9740a4a1599be
38740,31434,4,magixx,76561199063238565,3,Team Spirit,rain,76561197997351207,2,FaZe Clan,chopper,76561198045898864,3,Team Spirit,MP9,smg,0,0,0,0,0,0,974.853699,2532.784180,96.531250,0,0,1366.171509,2628.916016,85.234459,0,0,0,760.919373,2217.106445,-51.753418,1,0,0,0,10.184989,7ae9740a4a1599be
