frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1851,1516,1,76561198081484775,3,sh1ro,Kevlar Vest,equipment,01JM6FFAJ22XVPRC03TPME83KY,0,7251ef81f4d63579
1855,1519,1,76561198799340122,2," degster",Kevlar Vest,equipment,01JM6FFAJ22XVPRC03TR7WXDMM,0,7251ef81f4d63579
1855,1519,1,76561198053126645,2,NertZ,Kevlar Vest,equipment,01JM6FFAJ22XVPRC03TTPFHMJZ,0,7251ef81f4d63579
1858,1522,1,76561197996678278,2,TeSeS,Kevlar Vest,equipment,01JM6FFAJ22XVPRC03TWZ48CEF,0,7251ef81f4d63579
1956,1597,1,76561198057282432,2,kyxsan,P250,pistol,01JM6FFAJ3HB8K7V3ZNM16NZ5B,0,7251ef81f4d63579
1987,1625,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6FFAJ4ZAF3C2NBZZDRX7S3,0,7251ef81f4d63579
2058,1684,1,76561198160709585,2,sjuush,Kevlar Vest,equipment,01JM6FFAJ50C5AYWQJ7EHBDM4J,0,7251ef81f4d63579
2142,1738,1,76561198057282432,2,kyxsan,Smoke Grenade,grenade,01JM6FFAJ6PY0GJCYZGRB7W3G1,0,7251ef81f4d63579
2166,1754,1,76561198057282432,2,kyxsan,Flashbang,grenade,01JM6FFAJ6PY0GJCYZGW9F7KQ4,0,7251ef81f4d63579
2533,2019,1,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FFAJCB4444CJF2VNVPV1M,0,7251ef81f4d63579
2570,2049,1,76561198995880877,3,zont1x,Defuse Kit,equipment,01JM6FFAJDW1K48HG9TT4507YK,0,7251ef81f4d63579
2874,2270,1,76561199063238565,3,magixx,Dual Berettas,pistol,01JM6FFAJGPC80P0NTV94HT0QY,0,7251ef81f4d63579
2897,2282,1,76561199063238565,3,magixx,Flashbang,grenade,01JM6FFAJJHK0EP0T6G00GYENM,0,7251ef81f4d63579
2916,2294,1,76561199063238565,3,magixx,Dual Berettas,pistol,01JM6FFAJFE3TPR8MSHMJ106G5,0,7251ef81f4d63579
11745,9804,2,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM6FFAWSXWA4YG4M1DNY017R,0,7251ef81f4d63579
11749,9806,2,76561199063238565,3,magixx,M4A1,rifle,01JM6FFAWSXWA4YG4M1EAFHMWT,0,7251ef81f4d63579
11761,9813,2,76561198386265483,3,donk,M4A1,rifle,01JM6FFAWT5ZGNAYZF49JB3GTR,0,7251ef81f4d63579
11785,9825,2,76561198386265483,3,donk,Smoke Grenade,grenade,01JM6FFAWT5ZGNAYZF4AW5YJS9,0,7251ef81f4d63579
11790,9828,2,76561198995880877,3,zont1x,Kevlar + Helmet,equipment,01JM6FFAWT5ZGNAYZF4D8JQ38X,0,7251ef81f4d63579
11795,9829,2,76561198081484775,3,sh1ro,M4A1,rifle,01JM6FFAWT5ZGNAYZF4EVHAHRV,0,7251ef81f4d63579
11844,9857,2,76561198995880877,3,zont1x,MP9,smg,01JM6FFAWVRDF649HDTZVX9614,0,7251ef81f4d63579
11854,9864,2,76561198053126645,2,NertZ,Kevlar + Helmet,equipment,01JM6FFAWWPWAVKSH3ZJJE78FE,0,7251ef81f4d63579
11889,9893,2,76561198045898864,3,chopper,MP9,smg,01JM6FFAWWPWAVKSH3ZMHGACRA,0,7251ef81f4d63579
11922,9915,2,76561198045898864,3,chopper,Kevlar + Helmet,equipment,01JM6FFAWX7QPADW18BA15AV16,0,7251ef81f4d63579
11956,9939,2,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6FFAWX7QPADW18BDKF7660,0,7251ef81f4d63579
11986,9957,2,76561198045898864,3,chopper,Incendiary Grenade,grenade,01JM6FFAWYNGS4V4TXX3DWN7TN,0,7251ef81f4d63579
12013,9972,2,76561198045898864,3,chopper,HE Grenade,grenade,01JM6FFAGBD0P2S37C0H6S507S,0,7251ef81f4d63579
12077,10013,2,76561199063238565,3,magixx,Kevlar + Helmet,equipment,01JM6FFAWZ3BHRRGVH6MV10PGY,0,7251ef81f4d63579
12085,10019,2,76561198799340122,2," degster",Kevlar Vest,equipment,01JM6FFAX0EYD283RJJ8FG3B3T,0,7251ef81f4d63579
12095,10025,2,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6FFAGBD0P2S37C0C6FC7N6,0,7251ef81f4d63579
12098,10028,2,76561199063238565,3,magixx,Incendiary Grenade,grenade,01JM6FFAGBD0P2S37C08C5RZ0M,0,7251ef81f4d63579
12106,10034,2,76561198995880877,3,zont1x,HE Grenade,grenade,01JM6FFAGBD0P2S37C0227MNVF,0,7251ef81f4d63579
12108,10036,2,76561199063238565,3,magixx,HE Grenade,grenade,01JM6FFAGBD0P2S37C04HPFGFH,0,7251ef81f4d63579
12117,10043,2,76561198995880877,3,zont1x,Incendiary Grenade,grenade,01JM6FFAGAVJQVMV57HMH50FH5,0,7251ef81f4d63579
12128,10050,2,76561198160709585,2,sjuush,Kevlar Vest,equipment,01JM6FFAX0EYD283RJJ8PVE1P7,0,7251ef81f4d63579
12158,10074,2,76561198160709585,2,sjuush,Galil AR,rifle,01JM6FFAGAVJQVMV57HNVYWHZJ,1,7251ef81f4d63579
12174,10090,2,76561198081484775,3,sh1ro,Kevlar + Helmet,equipment,01JM6FFAX1QCW5RBN9S5SXQ5R8,0,7251ef81f4d63579
12206,10109,2,76561198081484775,3,sh1ro,Smoke Grenade,grenade,01JM6FFAGBD0P2S37BZQZKJ3G8,0,7251ef81f4d63579
12223,10115,2,76561198995880877,3,zont1x,Flashbang,grenade,01JM6FFAGBD0P2S37BZVAG08SF,0,7251ef81f4d63579
12280,10159,2,76561198053126645,2,NertZ,Smoke Grenade,grenade,01JM6FFAGBD0P2S37BZYE55V9E,0,7251ef81f4d63579
12293,10168,2,76561198799340122,2," degster",Smoke Grenade,grenade,01JM6FFAG8S5GT5V6KR8MEFM5M,0,7251ef81f4d63579
12324,10192,2,76561198799340122,2," degster",SSG 08,sniper,01JM6FFAG8S5GT5V6KR1KAAFQH,0,7251ef81f4d63579
12425,10269,2,76561198057282432,2,kyxsan,AK-47,rifle,01JM6FFAHSE8K4AD8FE3H798R6,0,7251ef81f4d63579
12452,10290,2,76561198057282432,2,kyxsan,Kevlar + Helmet,equipment,01JM6FFAX6E8FYV99H2T0R6VMV,0,7251ef81f4d63579
12483,10307,2,76561197996678278,2,TeSeS,Desert Eagle,pistol,01JM6FFAG8S5GT5V6KQVE9NKDD,0,7251ef81f4d63579
12489,10311,2,76561199063238565,3,magixx,Flashbang,grenade,01JM6FFAG8S5GT5V6KQTT1VXW4,0,7251ef81f4d63579
12510,10327,2,76561197996678278,2,TeSeS,Kevlar + Helmet,equipment,01JM6FFAX7K6KNTJJVKNWQEM6T,0,7251ef81f4d63579
12565,10360,2,76561197996678278,2,TeSeS,Smoke Grenade,grenade,01JM6FFAG8S5GT5V6KQR690HSP,0,7251ef81f4d63579
12778,10518,2,76561197996678278,2,TeSeS,Flashbang,grenade,01JM6FFAG8S5GT5V6KQN5QZXVT,0,7251ef81f4d63579
13175,10784,2,76561198053126645,2,NertZ,Desert Eagle,pistol,01JM6FFAHSE8K4AD8FDSHZZH47,0,7251ef81f4d63579
13227,10822,2,76561198160709585,2,sjuush,Galil AR,rifle,01JM6FFAXMPN5DSNAJFFNH5J8A,0,7251ef81f4d63579
20584,16957,3,76561198386265483,3,donk,Incendiary Grenade,grenade,01JM6FFAWVRDF649HDTYV0HCV8,0,7251ef81f4d63579
