name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
" NAF-FLY",76561198001151695,36,Team Liquid,13,5,19,6,46,0.684211,70.833328,61.250000,0.541667,0.791667,4.583333,1,-1,0,0,0,2,0,0,1470,290,110,7,8,10,8,6,1,2,1,0,0,6,6,9,8,6,1,2,5,4,0,1,9,2,0,0,0,0.841589,0.671285,CSGO-J29Jc-WDCwx-VdLUG-szY5O-33LsE,0,0,8855159dbc2f9b32
zont1x,76561198995880877,34,Team Spirit,14,3,12,7,50,1.166667,75.000000,60.000000,0.583333,0.500000,5.416667,1,-1,0,0,0,1,0,0,1440,323,130,5,6,8,6,4,1,2,1,0,0,4,4,7,6,4,1,0,4,3,0,0,9,1,1,0,0,1.051147,0.992976,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,3,0,8855159dbc2f9b32
jks,76561197977105184,37,Team Liquid,14,8,16,12,85,0.875000,66.666672,70.541664,0.583333,0.666667,5.208333,3,-1,0,0,0,0,1,0,1693,361,125,7,8,10,8,6,2,3,2,1,1,5,5,8,7,5,2,3,2,5,0,0,7,2,1,0,0,0.955985,0.880837,CSGO-oqAdV-cU5G6-3em7p-SHh4S-MDr7C,3,0,8855159dbc2f9b32
donk,76561198386265483,60,Team Spirit,23,6,11,12,52,2.090909,91.666672,100.208336,0.958333,0.458333,3.875000,3,-1,0,0,0,3,0,0,2405,257,93,4,5,7,5,3,1,2,1,0,0,3,3,6,5,3,3,2,2,2,0,1,10,3,1,1,0,1.660264,1.533719,CSGO-qn2Ac-Ha9MX-87Kok-rVma5-ZmRBD,2,0,8855159dbc2f9b32
sh1ro,76561198081484775,46,Team Spirit,19,6,12,10,52,1.583333,83.333328,82.458336,0.791667,0.500000,6.708333,2,-1,0,0,0,0,0,0,1979,124,161,9,10,12,10,8,1,2,1,0,0,8,8,11,10,8,3,2,1,1,0,0,10,3,1,0,0,1.376370,1.215376,CSGO-9vc2t-THGUY-Sf8QP-hMYOK-HzQRO,4,0,8855159dbc2f9b32
Twistzz,76561198016255205,62,Team Liquid,20,6,14,9,45,1.428571,75.000000,82.583336,0.833333,0.583333,5.666667,5,-1,0,0,0,3,1,0,1982,304,136,9,10,12,10,8,4,5,4,3,3,5,5,8,7,5,0,0,7,3,0,0,5,4,1,1,0,1.307542,1.351219,CSGO-LqWXb-ivHyj-8VWTr-rmRuZ-VqnkP,1,0,8855159dbc2f9b32
YEKINDAR,76561198134401925,22,Team Liquid,9,3,18,5,55,0.500000,58.333332,53.916668,0.375000,0.750000,0.000000,0,-1,0,0,0,0,0,0,1294,172,0,6,7,9,7,5,1,2,1,0,0,5,5,8,7,5,3,6,1,4,0,1,7,1,0,0,0,0.596719,0.541943,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,4,0,8855159dbc2f9b32
chopper,76561198045898864,49,Team Spirit,18,8,16,11,61,1.125000,83.333328,88.041664,0.750000,0.666667,1.250000,3,-1,0,0,0,1,1,0,2113,298,30,5,6,8,6,4,1,2,1,0,0,4,4,7,6,4,4,2,1,4,0,0,6,3,2,0,0,1.277708,1.116763,CSGO-DDMKA-7f8Le-z3na4-y3N5v-BWRZQ,0,0,8855159dbc2f9b32
ultimate,76561198283989223,26,Team Liquid,9,3,21,2,22,0.428571,50.000000,39.958332,0.375000,0.875000,2.333333,2,-1,0,0,0,2,0,0,959,47,56,5,6,8,6,4,1,2,1,0,0,4,4,7,6,4,5,2,1,4,0,0,5,2,0,0,0,0.424606,0.463881,CSGO-MQrN9-CL9Cx-tbCFp-LscrE-HzQRO,2,0,8855159dbc2f9b32
magixx,76561199063238565,43,Team Spirit,14,4,14,6,42,1.000000,66.666672,62.750000,0.583333,0.583333,3.750000,4,-1,0,0,0,4,0,0,1506,247,90,7,8,10,8,6,1,2,1,0,0,6,6,9,8,6,2,5,2,1,0,0,3,4,1,0,0,0.958856,0.997330,CSGO-9vKLy-OAOok-Yrj2D-6t3oQ-7T8SA,1,0,8855159dbc2f9b32
