frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
13621,10780,1,3,2,0,76561198184153575,JBa,0,0,f807a7ad93891ce5
30367,23798,2,2,2,1,76561198408199043,phzy,0,2,f807a7ad93891ce5
30408,23833,2,1,3,0,76561198045898864,chopper,0,0,f807a7ad93891ce5
53250,42269,3,4,2,0,76561198184153575,JBa,0,0,f807a7ad93891ce5
58747,46215,4,5,2,0,76561197981849043,stanislaw,0,0,f807a7ad93891ce5
64060,49928,5,5,2,0,76561198408199043,phzy,0,0,f807a7ad93891ce5
74663,58337,6,3,3,0,76561198081484775,sh1ro,1,0,f807a7ad93891ce5
87102,68199,7,3,2,0,76561198184153575,JBa,0,0,f807a7ad93891ce5
97311,76092,8,3,2,0,76561198408199043,phzy,0,0,f807a7ad93891ce5
108005,84506,9,4,3,0,76561198081484775,sh1ro,0,1,f807a7ad93891ce5
123090,96291,10,2,2,1,76561198408199043,phzy,0,0,f807a7ad93891ce5
131708,103339,11,3,3,0,76561198081484775,sh1ro,0,2,f807a7ad93891ce5
132738,104237,11,1,2,1,76561198408199043,phzy,1,1,f807a7ad93891ce5
143013,112519,12,3,2,0,76561198184153575,JBa,0,0,f807a7ad93891ce5
155014,122544,13,2,3,1,76561198342718168,susp,1,2,f807a7ad93891ce5
155022,122552,13,1,2,0,76561198995880877,zont1x,0,0,f807a7ad93891ce5
163485,129144,14,3,2,1,76561199063238565,magixx,0,3,f807a7ad93891ce5
164101,129685,14,1,3,0,76561197981849043,stanislaw,0,0,f807a7ad93891ce5
177417,140050,15,3,3,0,76561197975129851,Sonic,0,1,f807a7ad93891ce5
183847,145109,16,5,3,0,76561197981849043,stanislaw,0,0,f807a7ad93891ce5
193233,152414,17,3,3,0,76561198408199043,phzy,1,1,f807a7ad93891ce5
217667,171359,19,4,3,0,76561198408199043,phzy,0,0,f807a7ad93891ce5
