frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1835,1503,1,76561198799340122,3," degster",Kevlar Vest,equipment,01JM6FHQ8GJXNVA6EWNWN2JXKA,0,43c6e2fb9051e355
1861,1525,1,76561197996678278,3,TeSeS,Kevlar Vest,equipment,01JM6FHQ8GJXNVA6EWNXB78BZB,0,43c6e2fb9051e355
1879,1535,1,76561198966340160,2,Techno4K,Kevlar Vest,equipment,01JM6FHQ8HQJAZ1Y1GSAN5G1XY,0,43c6e2fb9051e355
1946,1589,1,76561198959824088,2,bLitz,Kevlar Vest,equipment,01JM6FHQ8HQJAZ1Y1GSBGQAZ5Y,0,43c6e2fb9051e355
2125,1731,1,76561198838822582,2,Mzinho,Kevlar Vest,equipment,01JM6FHQ8M2XPD5JVT3K2K1TYD,0,43c6e2fb9051e355
2165,1759,1,76561198160709585,3,sjuush,HE Grenade,grenade,01JM6FHQ8M2XPD5JVT3PREKQ7Z,0,43c6e2fb9051e355
2190,1777,1,76561198160709585,3,sjuush,Flashbang,grenade,01JM6FHQ8N7EMGDS007MT4WQEF,0,43c6e2fb9051e355
2343,1893,1,76561198799340122,3," degster",Dual Berettas,pistol,01JM6FHQ8KK9H38YKAPJDF6K3F,0,43c6e2fb9051e355
2361,1904,1,76561198920720017,2,Senzu,Kevlar Vest,equipment,01JM6FHQ8QPF32PA3GMP62AEZ4,0,43c6e2fb9051e355
2493,2003,1,76561198838822582,2,Mzinho,Smoke Grenade,grenade,01JM6FHQ8RVWX6J62E4XJ3DXKV,0,43c6e2fb9051e355
2500,2010,1,76561198057282432,3,kyxsan,Defuse Kit,equipment,01JM6FHQ8S0QWS8R0S8T5RT8PV,0,43c6e2fb9051e355
2518,2023,1,76561198838822582,2,Mzinho,Molotov,grenade,01JM6FHQ8S0QWS8R0S8PS8FSXJ,0,43c6e2fb9051e355
2547,2044,1,76561198057282432,3,kyxsan,Smoke Grenade,grenade,01JM6FHQ8T7F16AP28K93CJ5P1,0,43c6e2fb9051e355
8681,7118,2,76561198966340160,2,Techno4K,Kevlar + Helmet,equipment,01JM6FHQGA44V5RFX6AP4P0QGS,0,43c6e2fb9051e355
8891,7242,2,76561199203563345,2,910,Kevlar + Helmet,equipment,01JM6FHQGE075S5SBMN8SCFWQS,0,43c6e2fb9051e355
8924,7262,2,76561199203563345,2,910,Galil AR,rifle,01JM6FHQGE075S5SBMNCADTSE2,0,43c6e2fb9051e355
8951,7281,2,76561199203563345,2,910,Smoke Grenade,grenade,01JM6FHQGE075S5SBMNF27NAN1,0,43c6e2fb9051e355
8967,7292,2,76561199203563345,2,910,HE Grenade,grenade,01JM6FHQGFMQ9C5R6BHGFS59B2,0,43c6e2fb9051e355
8992,7305,2,76561199203563345,2,910,Flashbang,grenade,01JM6FHQGFMQ9C5R6BHHKJECGY,0,43c6e2fb9051e355
9075,7361,2,76561198959824088,2,bLitz,Kevlar + Helmet,equipment,01JM6FHQGGAY102Y50VE9V2CH5,0,43c6e2fb9051e355
9085,7371,2,76561198799340122,3," degster",Kevlar Vest,equipment,01JM6FHQGH25H60T4TFM3ANWJE,0,43c6e2fb9051e355
9097,7380,2,76561198959824088,2,bLitz,Galil AR,rifle,01JM6FHQGH25H60T4TFPQZWWWY,0,43c6e2fb9051e355
9111,7391,2,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6FHQGH25H60T4TFYG0N38F,0,43c6e2fb9051e355
9128,7401,2,76561198959824088,2,bLitz,Flashbang,grenade,01JM6FHQGH25H60T4TG1XESH4G,0,43c6e2fb9051e355
9144,7413,2,76561198959824088,2,bLitz,Molotov,grenade,01JM6FHQGH25H60T4TG3DB1ZKR,0,43c6e2fb9051e355
9265,7487,2,76561198838822582,2,Mzinho,Kevlar + Helmet,equipment,01JM6FHQGKVVPBSRERCW3MCH7H,0,43c6e2fb9051e355
9328,7527,2,76561198838822582,2,Mzinho,MAC-10,smg,01JM6FHQGMM9BHN1QR4QMC1MQD,0,43c6e2fb9051e355
9354,7543,2,76561198838822582,2,Mzinho,Molotov,grenade,01JM6FHQGNC3CJKA7X7FQG5PAN,0,43c6e2fb9051e355
9363,7549,2,76561198966340160,2,Techno4K,Smoke Grenade,grenade,01JM6FHQGNC3CJKA7X7K9FH7Y2,0,43c6e2fb9051e355
9375,7556,2,76561198838822582,2,Mzinho,HE Grenade,grenade,01JM6FHQGNC3CJKA7X7KV1RS7F,0,43c6e2fb9051e355
9381,7561,2,76561198966340160,2,Techno4K,Molotov,grenade,01JM6FHQGNC3CJKA7X7NE6CQG2,0,43c6e2fb9051e355
9389,7567,2,76561198838822582,2,Mzinho,Smoke Grenade,grenade,01JM6FHQGP3NC8W59NN9FGC80Q,0,43c6e2fb9051e355
9406,7579,2,76561198838822582,2,Mzinho,Flashbang,grenade,01JM6FHQGP3NC8W59NNCA1WDFS,0,43c6e2fb9051e355
9460,7616,2,76561198966340160,2,Techno4K,Galil AR,rifle,01JM6FHQGQ22CAYBQV69C81EHA,0,43c6e2fb9051e355
9485,7631,2,76561198799340122,3," degster",Smoke Grenade,grenade,01JM6FHQGQ22CAYBQV6B2CXM3F,0,43c6e2fb9051e355
9500,7640,2,76561198966340160,2,Techno4K,HE Grenade,grenade,01JM6FHQGRFVWC8JJQQPXASJBB,0,43c6e2fb9051e355
9506,7643,2,76561198966340160,2,Techno4K,Flashbang,grenade,01JM6FHQGRFVWC8JJQQQM0HMZP,0,43c6e2fb9051e355
9616,7712,2,76561198160709585,3,sjuush,Desert Eagle,pistol,01JM6FHQGTNV1ZWGRJXGTJ4QHK,0,43c6e2fb9051e355
9638,7724,2,76561198053126645,3,NertZ,Kevlar Vest,equipment,01JM6FHQGTNV1ZWGRJXHBAHQPD,0,43c6e2fb9051e355
9679,7747,2,76561198160709585,3,sjuush,Kevlar Vest,equipment,01JM6FHQGV407ZVXSKGFG526GX,0,43c6e2fb9051e355
9744,7792,2,76561198920720017,2,Senzu,Kevlar + Helmet,equipment,01JM6FHQGW4JEJH0H7R339GD9F,0,43c6e2fb9051e355
9793,7825,2,76561198160709585,3,sjuush,Smoke Grenade,grenade,01JM6FHQGXB7VQXW7XFNQ4AV5D,0,43c6e2fb9051e355
9898,7889,2,76561198799340122,3," degster",Five-SeveN,pistol,01JM6FHQH0YBFRJMQVWD5TEB2K,0,43c6e2fb9051e355
9945,7924,2,76561198920720017,2,Senzu,AK-47,rifle,01JM6FHQH13N4JA6WZPS8AJJDQ,0,43c6e2fb9051e355
9960,7935,2,76561198053126645,3,NertZ,MP9,smg,01JM6FHQH2MH3PF5B8BQ8AGWF3,0,43c6e2fb9051e355
10048,8000,2,76561197996678278,3,TeSeS,Kevlar Vest,equipment,01JM6FHQH3DKSQKXC7WHZTSVFX,0,43c6e2fb9051e355
10083,8023,2,76561198053126645,3,NertZ,Smoke Grenade,grenade,01JM6FHQH4VB8ZBH3ASE0HREPH,0,43c6e2fb9051e355
10092,8027,2,76561197996678278,3,TeSeS,Smoke Grenade,grenade,01JM6FHQH4VB8ZBH3ASGJFKX14,0,43c6e2fb9051e355
10114,8038,2,76561198799340122,3," degster",SSG 08,sniper,01JM6FHQGS4R86GNE5Q1F5WS02,0,43c6e2fb9051e355
10140,8055,2,76561198053126645,3,NertZ,Kevlar + Helmet,equipment,01JM6FHQH5Y2X49J53YXECK986,0,43c6e2fb9051e355
10613,8323,2,76561198799340122,3," degster",Kevlar + Helmet,equipment,01JM6FHQHDFAHKDRPRWR788Q2E,0,43c6e2fb9051e355
19542,16152,3,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6FHQXMS1ERQAR8C5XECMWD,0,43c6e2fb9051e355
19550,16156,3,76561198920720017,2,Senzu,Flashbang,grenade,01JM6FHQXMS1ERQAR8CCTGR8P1,0,43c6e2fb9051e355
19557,16158,3,76561198920720017,2,Senzu,Smoke Grenade,grenade,01JM6FHQXNF4W4M0V88JB6KNSJ,0,43c6e2fb9051e355
19559,16160,3,76561198959824088,2,bLitz,HE Grenade,grenade,01JM6FHQXNF4W4M0V88MKJ2KBQ,0,43c6e2fb9051e355
19566,16165,3,76561198920720017,2,Senzu,HE Grenade,grenade,01JM6FHQXNF4W4M0V88PBN57M1,0,43c6e2fb9051e355
19575,16169,3,76561198959824088,2,bLitz,Molotov,grenade,01JM6FHQXNF4W4M0V88QS7FENK,0,43c6e2fb9051e355
19579,16173,3,76561198920720017,2,Senzu,Molotov,grenade,01JM6FHQXNF4W4M0V88W0Q0E4K,0,43c6e2fb9051e355
19589,16182,3,76561198959824088,2,bLitz,Flashbang,grenade,01JM6FHQXNF4W4M0V88Z24EWWY,0,43c6e2fb9051e355
19611,16193,3,76561199203563345,2,910,Molotov,grenade,01JM6FHQXPWFFBQSM0RMDJWTWQ,0,43c6e2fb9051e355
19628,16206,3,76561199203563345,2,910,Smoke Grenade,grenade,01JM6FHQXPWFFBQSM0RRAHDVY1,0,43c6e2fb9051e355
19651,16222,3,76561199203563345,2,910,Flashbang,grenade,01JM6FHQXPWFFBQSM0RTKYG5BW,0,43c6e2fb9051e355
19729,16270,3,76561198838822582,2,Mzinho,Molotov,grenade,01JM6FHQXRTZCB5Y6JYHADBYQE,0,43c6e2fb9051e355
19750,16281,3,76561198838822582,2,Mzinho,HE Grenade,grenade,01JM6FHQXRTZCB5Y6JYKFJBDQ3,0,43c6e2fb9051e355
19770,16296,3,76561198838822582,2,Mzinho,Flashbang,grenade,01JM6FHQXRTZCB5Y6JYME0DBVH,0,43c6e2fb9051e355
20221,16574,3,76561198966340160,2,Techno4K,Molotov,grenade,01JM6FHQXZNSSJ22E91GHGB1MP,0,43c6e2fb9051e355
20235,16583,3,76561198966340160,2,Techno4K,Smoke Grenade,grenade,01JM6FHQY0E4J4G968PMJB4XRA,0,43c6e2fb9051e355
20235,16583,3,76561198966340160,2,Techno4K,HE Grenade,grenade,01JM6FHQY0E4J4G968PQCMHAD7,0,43c6e2fb9051e355
20236,16584,3,76561198966340160,2,Techno4K,Flashbang,grenade,01JM6FHQY0E4J4G968PTABMMBN,0,43c6e2fb9051e355
21338,17295,3,76561198799340122,3," degster",Smoke Grenade,grenade,01JM6FHQYHKMAV5N5CB8S6PN8H,0,43c6e2fb9051e355
29950,25002,4,76561198966340160,2,Techno4K,Kevlar + Helmet,equipment,01JM6FHRAKWPSWFCN65B7CSM3X,0,43c6e2fb9051e355
29969,25016,4,76561198920720017,2,Senzu,Flashbang,grenade,01JM6FHRAKWPSWFCN65E0BB5EY,0,43c6e2fb9051e355
29973,25018,4,76561198920720017,2,Senzu,Smoke Grenade,grenade,01JM6FHRAKWPSWFCN65HRXP9M6,0,43c6e2fb9051e355
29981,25024,4,76561198799340122,3," degster",Kevlar Vest,equipment,01JM6FHRAMJT0QN46MJWEB9RK7,0,43c6e2fb9051e355
29990,25029,4,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6FHRAMJT0QN46MJYH7TQVE,0,43c6e2fb9051e355
29994,25031,4,76561198920720017,2,Senzu,Molotov,grenade,01JM6FHRAMJT0QN46MK070P26K,0,43c6e2fb9051e355
30005,25037,4,76561198959824088,2,bLitz,HE Grenade,grenade,01JM6FHRAMJT0QN46MK0XYZME8,0,43c6e2fb9051e355
30021,25044,4,76561198920720017,2,Senzu,HE Grenade,grenade,01JM6FHRAMJT0QN46MK4WYKN4M,0,43c6e2fb9051e355
30025,25046,4,76561198959824088,2,bLitz,Molotov,grenade,01JM6FHRANV43NQ33DF0R5VV5E,0,43c6e2fb9051e355
30039,25056,4,76561198959824088,2,bLitz,Flashbang,grenade,01JM6FHRANV43NQ33DF4A6CYAE,0,43c6e2fb9051e355
30058,25071,4,76561197996678278,3,TeSeS,Kevlar Vest,equipment,01JM6FHRANV43NQ33DF4ZY7574,0,43c6e2fb9051e355
30127,25114,4,76561198053126645,3,NertZ,Kevlar Vest,equipment,01JM6FHRAQK9YGNSC4A58XSASX,0,43c6e2fb9051e355
30164,25136,4,76561198053126645,3,NertZ,AWP,sniper,01JM6FHRAR11R82F4QJ40F73BB,0,43c6e2fb9051e355
30175,25142,4,76561197996678278,3,TeSeS,M4A1,rifle,01JM6FHRASAVQVNSS7Y0KEX28J,0,43c6e2fb9051e355
30211,25161,4,76561197996678278,3,TeSeS,Smoke Grenade,grenade,01JM6FHRASAVQVNSS7Y1EZ9TWW,0,43c6e2fb9051e355
30227,25170,4,76561197996678278,3,TeSeS,HE Grenade,grenade,01JM6FHR32CVQX5V4DGC6H7X2Z,0,43c6e2fb9051e355
30232,25173,4,76561199203563345,2,910,AWP,sniper,01JM6FHRATNRSW5CVNPW51F20Z,0,43c6e2fb9051e355
30246,25184,4,76561197996678278,3,TeSeS,Incendiary Grenade,grenade,01JM6FHRATNRSW5CVNPZX2K5D7,0,43c6e2fb9051e355
30251,25187,4,76561199203563345,2,910,Molotov,grenade,01JM6FHRATNRSW5CVNQ412J01M,0,43c6e2fb9051e355
30268,25198,4,76561198160709585,3,sjuush,M4A4,rifle,01JM6FHRATNRSW5CVNQ7VRWP2K,0,43c6e2fb9051e355
30270,25200,4,76561199203563345,2,910,Smoke Grenade,grenade,01JM6FHQZBCX5B886G17FSN1MQ,0,43c6e2fb9051e355
30287,25209,4,76561199203563345,2,910,Flashbang,grenade,01JM6FHRAVM70YF5DXNBY7CMBR,0,43c6e2fb9051e355
