frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1809,1466,1,76561198193174134,2,xertioN,Kevlar Vest,equipment,01JM6FJC2X386N7S7VY2YET9VF,0,4267d9c850749520
1838,1485,1,76561198966340160,3,Techno4K,Kevlar Vest,equipment,01JM6FJC2X386N7S7VY4HPKZ5D,0,4267d9c850749520
1842,1489,1,76561199203563345,3,910,Kevlar Vest,equipment,01JM6FJC2X386N7S7VY5N20WAJ,0,4267d9c850749520
1851,1495,1,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM6FJC2YHP4P3NGNDB9V9WG6,0,4267d9c850749520
1895,1520,1,76561198855375325,2,Jimpphat,Kevlar Vest,equipment,01JM6FJC2YHP4P3NGNDBA2Y049,0,4267d9c850749520
1940,1553,1,76561198150673360,2,siuhy,Smoke Grenade,grenade,01JM6FJC2ZDB8RWK9FHQ10TRMX,0,4267d9c850749520
1963,1564,1,76561198150673360,2,siuhy,HE Grenade,grenade,01JM6FJC2ZDB8RWK9FHQ5HMF3R,0,4267d9c850749520
1980,1576,1,76561198150673360,2,siuhy,Flashbang,grenade,01JM6FJC30V7YKR91XMHVV0HS3,0,4267d9c850749520
2117,1671,1,76561198920720017,3,Senzu,Kevlar Vest,equipment,01JM6FJC33KWG02XR7K8G1453V,0,4267d9c850749520
2414,1874,1,76561198138828475,2,Brollan,Kevlar Vest,equipment,01JM6FJC373ZM61NW8PS93DVDQ,0,4267d9c850749520
2740,2113,1,76561198959824088,3,bLitz,Kevlar Vest,equipment,01JM6FJC3CQFQ0PVRH61B2SSMW,0,4267d9c850749520
2845,2194,1,76561198838822582,3,Mzinho,Kevlar Vest,equipment,01JM6FJC3DKSPN7J3QXMSP004T,0,4267d9c850749520
11733,9799,2,76561198966340160,3,Techno4K,Kevlar + Helmet,equipment,01JM6FJCCK9V300ES7G6D2PBE4,0,4267d9c850749520
11895,9891,2,76561198959824088,3,bLitz,Kevlar + Helmet,equipment,01JM6FJCCQXXV7AWF6TQ6017MK,0,4267d9c850749520
11921,9908,2,76561198959824088,3,bLitz,M4A1,rifle,01JM6FJCCRAAH1Z0ZTM0G7QDXW,0,4267d9c850749520
12087,9995,2,76561198838822582,3,Mzinho,Kevlar + Helmet,equipment,01JM6FJCCVMF3J3P557QCTS69X,0,4267d9c850749520
12146,10026,2,76561198920720017,3,Senzu,Kevlar + Helmet,equipment,01JM6FJCCW458PECMPMMYPMWPT,0,4267d9c850749520
12213,10067,2,76561198138828475,2,Brollan,Desert Eagle,pistol,01JM6FJCCX0T6ZNKHH0646GFXK,0,4267d9c850749520
12344,10150,2,76561198966340160,3,Techno4K,Incendiary Grenade,grenade,01JM6FJCCZF2X57QESXX8RYQTX,0,4267d9c850749520
12374,10165,2,76561198966340160,3,Techno4K,Smoke Grenade,grenade,01JM6FJCCZF2X57QESY05YBR41,0,4267d9c850749520
12410,10194,2,76561198966340160,3,Techno4K,HE Grenade,grenade,01JM6FJCD0RRMT0N6K11K93R5E,0,4267d9c850749520
12439,10214,2,76561198920720017,3,Senzu,MP9,smg,01JM6FJCD0RRMT0N6K13E4B2YD,0,4267d9c850749520
12443,10216,2,76561199203563345,3,910,M4A1,rifle,01JM6FJCD0RRMT0N6K14MR77VC,0,4267d9c850749520
