name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
" ZywOo",76561198113666193,41,Vitality,15,4,7,10,66,2.142857,78.947372,75.105263,0.789474,0.368421,2.105263,3,-1,0,0,0,1,1,0,1427,180,40,5,9,6,10,5,3,1,1,1,1,2,8,5,9,4,2,0,3,1,0,0,7,4,0,0,0,1.385113,1.298259,CSGO-2TPTe-6w6XF-H4ViG-aPxbP-aUeuB,2,0,c243fc28328815c
apEX,76561197989744167,34,Vitality,14,6,11,7,50,1.272727,73.684212,83.105263,0.736842,0.578947,3.000000,2,-1,0,0,0,0,0,0,1579,240,57,3,7,4,8,3,2,0,0,0,0,1,7,4,8,3,3,2,2,3,0,0,4,2,2,0,0,1.225098,1.204225,CSGO-TuX2Y-RMrYZ-eW7As-NWNGY-fxwPB,0,0,c243fc28328815c
" karrigan",76561197989430253,18,FaZe Clan,6,5,18,2,33,0.333333,63.157890,42.368420,0.315789,0.947368,0.315789,0,-1,0,0,0,0,0,0,805,115,6,3,7,4,8,3,2,0,0,0,0,1,7,4,8,3,0,5,2,5,0,3,4,1,0,0,0,0.452392,0.337415,CSGO-6WDGJ-zxu6b-KJP9K-bc6qE-AerVQ,0,0,c243fc28328815c
ropz,76561197991272318,46,FaZe Clan,22,1,12,15,68,1.833333,84.210526,117.105263,1.157895,0.631579,1.421053,2,-1,0,0,0,0,0,0,2225,293,27,9,13,10,14,9,3,1,1,1,1,6,12,9,13,8,4,0,6,2,0,0,7,4,1,1,0,1.720407,1.665616,CSGO-nCfX7-54ue9-aC5eV-6Womf-Q6izO,3,0,c243fc28328815c
frozen,76561198068422762,21,FaZe Clan,7,4,14,4,57,0.500000,52.631580,45.000000,0.368421,0.736842,3.684211,1,-1,0,0,0,1,0,0,855,139,70,5,9,6,10,5,2,0,0,0,0,3,9,6,10,5,1,4,1,3,0,1,4,0,1,0,0,0.536408,0.614628,CSGO-SwysG-uevv9-aL4m2-czGPr-vSVaK,4,0,c243fc28328815c
Spinx,76561198063336407,39,Vitality,17,5,12,12,70,1.416667,89.473686,98.421051,0.894737,0.631579,3.210526,1,-1,0,0,0,0,0,0,1870,322,61,4,8,5,9,4,2,0,0,0,0,2,8,5,9,4,3,3,3,4,0,2,9,2,0,1,0,1.492555,1.293100,CSGO-7dqxH-3n2pw-4dFz5-uMxfU-hiA6Q,1,0,c243fc28328815c
rain,76561197997351207,24,FaZe Clan,8,3,17,3,37,0.470588,47.368423,52.263157,0.421053,0.894737,0.000000,0,-1,0,0,0,1,0,0,993,172,0,4,8,5,9,4,2,0,0,0,0,2,8,5,9,4,1,3,1,3,0,0,4,2,0,0,0,0.477335,0.498937,CSGO-tNWWr-MOtwa-8qhDR-XVEwB-5Yt4N,2,0,c243fc28328815c
mezii,76561197973140692,40,Vitality,12,3,11,6,50,1.090909,78.947372,73.315788,0.631579,0.578947,5.421052,4,-1,0,0,0,4,0,0,1393,296,103,2,6,3,7,2,2,0,0,0,0,0,6,3,7,2,1,0,4,2,0,0,6,3,0,0,0,1.125480,0.963630,CSGO-iODdT-J3Bct-GcJPi-Ejrxd-Y2hWA,4,0,c243fc28328815c
" flameZ",76561197978835160,45,Vitality,17,2,11,11,64,1.545455,78.947372,93.000000,0.894737,0.578947,2.421053,3,-1,0,0,0,1,1,0,1767,268,46,3,7,4,8,3,2,0,0,0,0,1,7,4,8,3,4,1,0,3,0,0,5,1,2,1,0,1.410683,1.488793,CSGO-ANFqt-s6dDk-cZGKb-dMXSu-wzUrC,3,0,c243fc28328815c
broky,76561198201620490,37,FaZe Clan,9,4,14,5,55,0.642857,47.368423,60.736843,0.473684,0.736842,6.157895,3,-1,0,0,0,4,1,0,1154,185,117,2,6,3,7,2,2,0,0,0,0,0,6,3,7,2,0,1,3,2,0,0,3,3,0,0,0,0.639328,0.702575,CSGO-U4LDQ-Qa6CC-R38Jf-V8bmM-4JDhP,1,0,c243fc28328815c
