frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
6227,5109,1," ZywOo",76561198113666193,3,Vitality,FL4MUS,76561198014259134,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-727.393616,-1428.307007,-167.968750,0,0,-621.238525,-908.022644,-229.953735,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.735940,2740f54047c83411
6428,5277,1,Tauson,76561198316706174,2,GamerLegion," ZywOo",76561198113666193,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-676.443359,-778.238464,-261.968750,0,0,-747.375854,-1473.027344,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,17.921604,2740f54047c83411
6733,5551,1,Tauson,76561198316706174,2,GamerLegion," flameZ",76561197978835160,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-800.977051,-1029.941895,-167.968750,0,0,-526.193359,-1422.298584,-90.921143,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.294731,2740f54047c83411
7078,5853,1,sl3nd,76561198098071693,2,GamerLegion,apEX,76561197989744167,3,Vitality,,0,0,,P250,pistol,1,0,0,0,0,0,91.723808,-1664.708618,-167.968750,0,0,-711.472961,-2236.338135,-179.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,25.184729,2740f54047c83411
7134,5903,1,Spinx,76561198063336407,3,Vitality,sl3nd,76561198098071693,2,GamerLegion,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1109.677856,-2503.220459,-167.968750,0,0,90.374657,-1680.754272,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,37.014175,2740f54047c83411
10023,8499,1,Spinx,76561198063336407,3,Vitality,ztr,76561199009468655,2,GamerLegion,apEX,76561197989744167,3,Vitality,USP-S,pistol,0,0,0,0,0,0,-616.761841,-1311.736816,-167.968750,0,0,-1182.306763,-1418.211060,-163.237549,0,0,0,-711.472961,-2236.338135,-179.968750,0,1,0,0,14.677010,2740f54047c83411
10234,8690,1,Tauson,76561198316706174,2,GamerLegion,Spinx,76561198063336407,3,Vitality,,0,0,,Glock-18,pistol,0,0,0,0,0,0,-1086.038208,-1489.858521,-163.183350,0,0,-535.015320,-1197.875244,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,15.845856,2740f54047c83411
12410,10646,1,Tauson,76561198316706174,2,GamerLegion,mezii,76561197973140692,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-524.500244,-2268.229004,-174.814941,0,0,-148.230957,-1757.340088,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.117928,2740f54047c83411
16376,13705,2,Spinx,76561198063336407,3,Vitality,ztr,76561199009468655,2,GamerLegion,,0,0,,MP9,smg,1,0,0,0,0,0,211.690567,-576.499268,-153.671875,0,0,235.220108,162.950699,-247.385620,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.000210,2740f54047c83411
16705,13976,2,apEX,76561197989744167,3,Vitality,FL4MUS,76561198014259134,2,GamerLegion," ZywOo",76561198113666193,3,Vitality,CZ75 Auto,pistol,0,1,0,0,0,0,61.984875,-2133.579590,-110.232544,0,0,-388.513550,-1530.590332,-39.968750,0,0,0,-1235.857178,-1275.159668,-167.968750,0,0,0,0,19.202223,2740f54047c83411
