frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
850,715,1,76561198386265483,2,donk,Kevlar Vest,equipment,01JM618D2EJT56DEZ1KTPE86XD,0,2a4c3f36d8d46afa
887,747,1,76561198812513923,3,Wicadia,Kevlar Vest,equipment,01JM618D2EJT56DEZ1KY0R70X8,0,2a4c3f36d8d46afa
994,841,1,76561198083485506,3,woxic,Kevlar Vest,equipment,01JM618D2FJMFDX54XG6VDP2RQ,0,2a4c3f36d8d46afa
1085,919,1,76561198081484775,2,sh1ro,Kevlar Vest,equipment,01JM618D2GC7Z53GDBJJ9CXJMV,0,2a4c3f36d8d46afa
1103,934,1,76561197967432889,3,MAJ3R,Flashbang,grenade,01JM618D2H45P592QDB6RZ5SMV,0,2a4c3f36d8d46afa
1502,1277,1,76561198812513923,3,Wicadia,Dual Berettas,pistol,01JM618D2GC7Z53GDBJF8QZ245,0,2a4c3f36d8d46afa
1619,1365,1,76561198995880877,2,zont1x,Kevlar Vest,equipment,01JM618D2R9124YE91N0AFC78T,0,2a4c3f36d8d46afa
1641,1385,1,76561198410750263,3,jottAAA,Kevlar Vest,equipment,01JM618D2S32M40BN40NFKHNKA,0,2a4c3f36d8d46afa
1699,1428,1,76561198410750263,3,jottAAA,Dual Berettas,pistol,01JM618D2GC7Z53GDBJDGC5DVC,0,2a4c3f36d8d46afa
6104,5112,2,76561198410750263,3,jottAAA,Kevlar + Helmet,equipment,01JM618D79M1Y0RCC6AYKF629B,0,2a4c3f36d8d46afa
6133,5132,2,76561198044118796,3,XANTARES,M4A1,rifle,01JM618D79M1Y0RCC6B4ZBWT3Z,0,2a4c3f36d8d46afa
6146,5141,2,76561198410750263,3,jottAAA,MP9,smg,01JM618D7A4TKM9ZC8WRZK8SXH,0,2a4c3f36d8d46afa
6152,5147,2,76561198044118796,3,XANTARES,Kevlar + Helmet,equipment,01JM618D7A4TKM9ZC8WV6J80SR,0,2a4c3f36d8d46afa
6183,5172,2,76561198410750263,3,jottAAA,Smoke Grenade,grenade,01JM618D7A4TKM9ZC8WZ0HX3DV,0,2a4c3f36d8d46afa
6190,5176,2,76561198410750263,3,jottAAA,HE Grenade,grenade,01JM618D7BN146Y82ZBBDFTJ0H,0,2a4c3f36d8d46afa
6192,5178,2,76561198812513923,3,Wicadia,Kevlar + Helmet,equipment,01JM618D7BN146Y82ZBEWGQV91,0,2a4c3f36d8d46afa
6201,5186,2,76561198410750263,3,jottAAA,Incendiary Grenade,grenade,01JM618D7BN146Y82ZBF46240K,0,2a4c3f36d8d46afa
6202,5187,2,76561198410750263,3,jottAAA,Flashbang,grenade,01JM618D7BN146Y82ZBJW2NEEJ,0,2a4c3f36d8d46afa
6246,5218,2,76561198812513923,3,Wicadia,M4A1,rifle,01JM618D7BN146Y82ZBMNDBGCN,0,2a4c3f36d8d46afa
6268,5238,2,76561198044118796,3,XANTARES,Smoke Grenade,grenade,01JM618D7CKCFZ4G3CSH0ZFKE2,0,2a4c3f36d8d46afa
6308,5268,2,76561198812513923,3,Wicadia,Smoke Grenade,grenade,01JM618D7CKCFZ4G3CSJRD01WR,0,2a4c3f36d8d46afa
6350,5304,2,76561198410750263,3,jottAAA,Defuse Kit,equipment,01JM618D7D1Y65CBHV9CPHFSQQ,0,2a4c3f36d8d46afa
6772,5622,2,76561197967432889,3,MAJ3R,MP9,smg,01JM618D7KS44CZC23Z6K6P4FC,0,2a4c3f36d8d46afa
6803,5643,2,76561197967432889,3,MAJ3R,Kevlar + Helmet,equipment,01JM618D7KS44CZC23Z8Q1ZDGY,0,2a4c3f36d8d46afa
6849,5677,2,76561197967432889,3,MAJ3R,Incendiary Grenade,grenade,01JM618D7MX7S2EBQ56V4D1BHJ,0,2a4c3f36d8d46afa
6872,5689,2,76561197967432889,3,MAJ3R,HE Grenade,grenade,01JM618D7MX7S2EBQ56YAYQH5T,1,2a4c3f36d8d46afa
6964,5757,2,76561197967432889,3,MAJ3R,Smoke Grenade,grenade,01JM618D7P5J0014PEQK6A83CY,0,2a4c3f36d8d46afa
7260,6000,2,76561198083485506,3,woxic,M4A1,rifle,01JM618D7S2FHNBY2Q0647GRJP,0,2a4c3f36d8d46afa
7341,6071,2,76561198083485506,3,woxic,Kevlar + Helmet,equipment,01JM618D7VRKMEQXTMNVCKPBEF,0,2a4c3f36d8d46afa
7662,6328,2,76561198083485506,3,woxic,HE Grenade,grenade,01JM618D7Z9KPCEG2H256P2EAM,0,2a4c3f36d8d46afa
14515,12103,3,76561199063238565,2,magixx,Kevlar + Helmet,equipment,01JM618DGJWYMQY4DBFJ1106JH,0,2a4c3f36d8d46afa
14515,12103,3,76561199063238565,2,magixx,AK-47,rifle,01JM618DGJWYMQY4DBFCEG380D,0,2a4c3f36d8d46afa
14529,12112,3,76561198995880877,2,zont1x,AK-47,rifle,01JM618DGJWYMQY4DBFNBZ9F4Y,0,2a4c3f36d8d46afa
14540,12118,3,76561198812513923,3,Wicadia,HE Grenade,grenade,01JM618DGJWYMQY4DBFPXCJSH4,0,2a4c3f36d8d46afa
14545,12121,3,76561197967432889,3,MAJ3R,HE Grenade,grenade,01JM618DGJWYMQY4DBFTF8SR9J,0,2a4c3f36d8d46afa
14546,12122,3,76561198995880877,2,zont1x,Smoke Grenade,grenade,01JM618DGJWYMQY4DBFXZRMN55,0,2a4c3f36d8d46afa
14553,12126,3,76561198812513923,3,Wicadia,Incendiary Grenade,grenade,01JM618DGKN57ZPRFJFWMNN4NR,0,2a4c3f36d8d46afa
14558,12128,3,76561198410750263,3,jottAAA,Smoke Grenade,grenade,01JM618DGKN57ZPRFJFZEYEAPB,0,2a4c3f36d8d46afa
14561,12131,3,76561198995880877,2,zont1x,HE Grenade,grenade,01JM618DGKN57ZPRFJG0TTRPAE,0,2a4c3f36d8d46afa
14564,12132,3,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM618DGKN57ZPRFJG1X9XQDG,0,2a4c3f36d8d46afa
14568,12133,3,76561198386265483,2,donk,AK-47,rifle,01JM618DGKN57ZPRFJG1XBJZRG,0,2a4c3f36d8d46afa
14571,12136,3,76561198812513923,3,Wicadia,Smoke Grenade,grenade,01JM618DGKN57ZPRFJG2781DCQ,0,2a4c3f36d8d46afa
14572,12137,3,76561198081484775,2,sh1ro,Kevlar + Helmet,equipment,01JM618DGKN57ZPRFJG3SF14AX,0,2a4c3f36d8d46afa
14579,12144,3,76561198386265483,2,donk,Kevlar + Helmet,equipment,01JM618DGKN57ZPRFJG6FCSM7W,0,2a4c3f36d8d46afa
14580,12145,3,76561199063238565,2,magixx,Molotov,grenade,01JM618DGKN57ZPRFJG82TACCW,0,2a4c3f36d8d46afa
14581,12146,3,76561198812513923,3,Wicadia,Flashbang,grenade,01JM618DGKN57ZPRFJGA6P32EM,0,2a4c3f36d8d46afa
14585,12150,3,76561198995880877,2,zont1x,Kevlar + Helmet,equipment,01JM618DGM4M0C061ERJDK307X,0,2a4c3f36d8d46afa
14586,12151,3,76561198410750263,3,jottAAA,Incendiary Grenade,grenade,01JM618D41FT8B1KPXTG6DJCF4,0,2a4c3f36d8d46afa
14589,12152,3,76561198081484775,2,sh1ro,AK-47,rifle,01JM618DGM4M0C061ERRWDKJQZ,0,2a4c3f36d8d46afa
14591,12154,3,76561198386265483,2,donk,Smoke Grenade,grenade,01JM618DGM4M0C061ERTYV0DEK,0,2a4c3f36d8d46afa
14596,12157,3,76561198386265483,2,donk,Molotov,grenade,01JM618DGM4M0C061ERYG77EB8,0,2a4c3f36d8d46afa
14600,12160,3,76561198410750263,3,jottAAA,HE Grenade,grenade,01JM618DGM4M0C061ERZXM2PA4,0,2a4c3f36d8d46afa
14605,12165,3,76561198081484775,2,sh1ro,Smoke Grenade,grenade,01JM618DGM4M0C061ES1QNCHXS,0,2a4c3f36d8d46afa
14619,12175,3,76561197967432889,3,MAJ3R,Defuse Kit,equipment,01JM618DGM4M0C061ES49JFCRK,0,2a4c3f36d8d46afa
14624,12176,3,76561198081484775,2,sh1ro,Molotov,grenade,01JM618D7BN146Y82ZBNZNJ581,0,2a4c3f36d8d46afa
14628,12178,3,76561198044118796,3,XANTARES,Incendiary Grenade,grenade,01JM618DGNRRZHXKSVQKYA1HMZ,0,2a4c3f36d8d46afa
14644,12189,3,76561198044118796,3,XANTARES,HE Grenade,grenade,01JM618DGNRRZHXKSVQPDWQPHT,0,2a4c3f36d8d46afa
14666,12201,3,76561198044118796,3,XANTARES,Flashbang,grenade,01JM618D7A4TKM9ZC8WTAQ509H,0,2a4c3f36d8d46afa
15160,12556,3,76561198083485506,3,woxic,Defuse Kit,equipment,01JM618DGWENBK4H0XF383XJX4,0,2a4c3f36d8d46afa
15166,12559,3,76561198045898864,2,chopper,Galil AR,rifle,01JM618D26RPXZ6JFDYKK2CQ66,0,2a4c3f36d8d46afa
15202,12583,3,76561198045898864,2,chopper,Kevlar + Helmet,equipment,01JM618DGXNT7JBT9P4XJPDREZ,0,2a4c3f36d8d46afa
15222,12595,3,76561198083485506,3,woxic,Incendiary Grenade,grenade,01JM618DGXNT7JBT9P4ZG7741M,0,2a4c3f36d8d46afa
15237,12609,3,76561198083485506,3,woxic,HE Grenade,grenade,01JM618DGY02YVMYCY5TEQCEAW,0,2a4c3f36d8d46afa
15244,12613,3,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM618D7S2FHNBY2Q02X7AAA1,0,2a4c3f36d8d46afa
15250,12618,3,76561198812513923,3,Wicadia,Defuse Kit,equipment,01JM618DGY02YVMYCY5WRX035T,0,2a4c3f36d8d46afa
15266,12625,3,76561198083485506,3,woxic,Smoke Grenade,grenade,01JM618DGY02YVMYCY601DE3Y2,0,2a4c3f36d8d46afa
15280,12630,3,76561198045898864,2,chopper,Molotov,grenade,01JM618DGY02YVMYCY61SER5H9,0,2a4c3f36d8d46afa
15304,12643,3,76561198083485506,3,woxic,Flashbang,grenade,01JM618D2TWHN5H8471TBJ7C8H,0,2a4c3f36d8d46afa
15314,12649,3,76561198045898864,2,chopper,Flashbang,grenade,01JM618DH0APSXMQ2Q288MFT52,0,2a4c3f36d8d46afa
27659,22847,4,76561197967432889,3,MAJ3R,M4A1,rifle,01JM618DZA996N9341RC48V8Q6,0,2a4c3f36d8d46afa
27673,22858,4,76561198812513923,3,Wicadia,M4A1,rifle,01JM618DZA996N9341RGHJ7J0P,0,2a4c3f36d8d46afa
27685,22863,4,76561197967432889,3,MAJ3R,Kevlar Vest,equipment,01JM618DZA996N9341RJ8EQWH1,0,2a4c3f36d8d46afa
27694,22871,4,76561198812513923,3,Wicadia,Kevlar Vest,equipment,01JM618DZB28W8Q70BWQCGMPWF,0,2a4c3f36d8d46afa
27708,22885,4,76561197967432889,3,MAJ3R,Smoke Grenade,grenade,01JM618DZB28W8Q70BWT57M930,0,2a4c3f36d8d46afa
27726,22899,4,76561197967432889,3,MAJ3R,HE Grenade,grenade,01JM618DZB28W8Q70BWXTM2JJ6,0,2a4c3f36d8d46afa
27740,22911,4,76561197967432889,3,MAJ3R,Incendiary Grenade,grenade,01JM618DZB28W8Q70BX0SXRFST,0,2a4c3f36d8d46afa
27754,22923,4,76561198812513923,3,Wicadia,Smoke Grenade,grenade,01JM618DZCBD5PF00Q40T7D9TM,0,2a4c3f36d8d46afa
27756,22925,4,76561197967432889,3,MAJ3R,Flashbang,grenade,01JM618DZCBD5PF00Q436QMZE7,0,2a4c3f36d8d46afa
27770,22937,4,76561198386265483,2,donk,Molotov,grenade,01JM618DZCBD5PF00Q44VX580H,0,2a4c3f36d8d46afa
27776,22943,4,76561198386265483,2,donk,Smoke Grenade,grenade,01JM618DZCBD5PF00Q46RRRQS8,0,2a4c3f36d8d46afa
27780,22945,4,76561198386265483,2,donk,Flashbang,grenade,01JM618DZCBD5PF00Q49FZ4C45,0,2a4c3f36d8d46afa
27785,22948,4,76561198386265483,2,donk,HE Grenade,grenade,01JM618DZCBD5PF00Q49W2Y3RR,1,2a4c3f36d8d46afa
27811,22968,4,76561198812513923,3,Wicadia,Incendiary Grenade,grenade,01JM618DZD9D2FSXFZGHMF1GYZ,0,2a4c3f36d8d46afa
27965,23065,4,76561198044118796,3,XANTARES,M4A1,rifle,01JM618DZGB8G296Q9WA2F6BTX,0,2a4c3f36d8d46afa
28035,23116,4,76561199063238565,2,magixx,Tec-9,pistol,01JM618DZH894XDD620AKG5PD1,1,2a4c3f36d8d46afa
28117,23185,4,76561199063238565,2,magixx,Kevlar + Helmet,equipment,01JM618DZJGSGT1WG3QNNDHQH3,0,2a4c3f36d8d46afa
28120,23187,4,76561198044118796,3,XANTARES,Kevlar Vest,equipment,01JM618DZJGSGT1WG3QP2KYYF3,0,2a4c3f36d8d46afa
28139,23200,4,76561199063238565,2,magixx,MAC-10,smg,01JM618DZKY5M1M23YQNK2GZYW,0,2a4c3f36d8d46afa
28160,23219,4,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM618DZKY5M1M23YQVF5M3CX,0,2a4c3f36d8d46afa
28172,23229,4,76561199063238565,2,magixx,HE Grenade,grenade,01JM618DZKY5M1M23YQYQQXTKA,0,2a4c3f36d8d46afa
28186,23239,4,76561199063238565,2,magixx,Molotov,grenade,01JM618DZKY5M1M23YR0DRVZQG,0,2a4c3f36d8d46afa
28201,23251,4,76561199063238565,2,magixx,Flashbang,grenade,01JM618DZMS7D1RY9AXSV8MD5V,0,2a4c3f36d8d46afa
28206,23256,4,76561198081484775,2,sh1ro,AK-47,rifle,01JM618DZKY5M1M23YQZTJA66T,0,2a4c3f36d8d46afa
28210,23259,4,76561198045898864,2,chopper,Kevlar + Helmet,equipment,01JM618DZMS7D1RY9AXYFA0YD9,0,2a4c3f36d8d46afa
28249,23285,4,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM618DZMS7D1RY9AXZEPT177,0,2a4c3f36d8d46afa
28267,23301,4,76561198045898864,2,chopper,Molotov,grenade,01JM618DZMS7D1RY9AY3Q3Q9PM,0,2a4c3f36d8d46afa
28280,23314,4,76561198081484775,2,sh1ro,Kevlar + Helmet,equipment,01JM618DZNZBB99N7W542E9SRB,0,2a4c3f36d8d46afa
28344,23360,4,76561198081484775,2,sh1ro,Smoke Grenade,grenade,01JM618DZPS96PNEY5H705YW0D,0,2a4c3f36d8d46afa
28360,23372,4,76561198081484775,2,sh1ro,Molotov,grenade,01JM618DZPS96PNEY5H7N176JV,0,2a4c3f36d8d46afa
28537,23512,4,76561198083485506,3,woxic,SSG 08,sniper,01JM618DZRMJD249TGR4H1JWYQ,0,2a4c3f36d8d46afa
28824,23702,4,76561198995880877,2,zont1x,MAC-10,smg,01JM618DZWD0QYDRMH0BKNY421,0,2a4c3f36d8d46afa
28843,23714,4,76561198995880877,2,zont1x,Kevlar + Helmet,equipment,01JM618DZXPZ604GJ18D9XBPDY,0,2a4c3f36d8d46afa
28986,23808,4,76561198410750263,3,jottAAA,M4A1,rifle,01JM618DZZ6TPA5KRT1KN8ZT79,0,2a4c3f36d8d46afa
29012,23824,4,76561198995880877,2,zont1x,Smoke Grenade,grenade,01JM618DZZ6TPA5KRT1QWH32GN,0,2a4c3f36d8d46afa
29019,23830,4,76561198410750263,3,jottAAA,Kevlar + Helmet,equipment,01JM618DZZ6TPA5KRT1TVH5K5H,0,2a4c3f36d8d46afa
29020,23831,4,76561198083485506,3,woxic,Kevlar Vest,equipment,01JM618DZZ6TPA5KRT1VBQ5MR2,0,2a4c3f36d8d46afa
29027,23833,4,76561198386265483,2,donk,HE Grenade,grenade,01JM618DZZ6TPA5KRT1YN7Q9JD,0,2a4c3f36d8d46afa
29052,23854,4,76561198410750263,3,jottAAA,Smoke Grenade,grenade,01JM618E00A6XR7FQXXB168CW7,0,2a4c3f36d8d46afa
