frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
7918,6684,1,XANTARES,76561198044118796,3,Eternal Fire,zont1x,76561198995880877,2,Team Spirit,,0,0,,USP-S,pistol,1,0,0,0,0,0,-582.969543,-1001.682800,-167.968750,0,0,-763.298584,-1697.902588,-175.358887,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,18.270559,9cb48de6a17ebe1
7943,6705,1,sh1ro,76561198081484775,2,Team Spirit,XANTARES,76561198044118796,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,P250,pistol,0,0,0,0,0,0,-660.824463,-543.010315,-268.143066,0,0,-585.525085,-1000.956787,-167.968750,0,0,0,-823.308411,-1319.317993,-167.968750,1,0,0,0,12.058982,9cb48de6a17ebe1
8068,6818,1,donk,76561198386265483,2,Team Spirit,jottAAA,76561198410750263,3,Eternal Fire,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-691.833679,-1297.678589,-167.968750,0,0,-1256.722900,-1476.319946,-154.303284,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.051625,9cb48de6a17ebe1
8328,7042,1,Wicadia,76561198812513923,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,jottAAA,76561198410750263,3,Eternal Fire,Dual Berettas,pistol,1,0,0,0,0,0,-758.894470,-2220.388184,-179.968750,0,0,-681.986938,-1231.950073,-167.968750,0,0,0,-1256.747314,-1476.242676,-154.310181,1,0,0,0,25.355659,9cb48de6a17ebe1
8711,7386,1,magixx,76561199063238565,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-75.991699,-1476.071899,-167.968750,0,0,-222.936401,-2173.162842,-169.862427,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.102432,9cb48de6a17ebe1
8776,7444,1,sh1ro,76561198081484775,2,Team Spirit,MAJ3R,76561197967432889,3,Eternal Fire,,0,0,,P250,pistol,0,0,0,0,0,0,-948.106812,-723.121460,-263.968750,0,0,-649.614197,-456.780640,-132.531250,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.691609,9cb48de6a17ebe1
9137,7769,1,woxic,76561198083485506,3,Eternal Fire,magixx,76561199063238565,2,Team Spirit,,0,0,,P2000,pistol,1,0,0,0,0,0,-517.268982,-2311.703613,-170.629150,0,0,-106.846802,-1433.383667,-72.175354,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.754627,9cb48de6a17ebe1
9891,8446,1,sh1ro,76561198081484775,2,Team Spirit,woxic,76561198083485506,3,Eternal Fire,zont1x,76561198995880877,2,Team Spirit,P250,pistol,0,0,0,0,0,0,-704.325562,-1216.885620,-167.968750,0,0,-404.250977,-2104.984375,-179.968750,0,0,0,-762.060181,-1698.262939,-175.394897,0,0,0,0,23.912798,9cb48de6a17ebe1
16592,13762,2,zont1x,76561198995880877,2,Team Spirit,XANTARES,76561198044118796,3,Eternal Fire,,0,0,,MAC-10,smg,0,0,0,0,0,0,-873.660767,-69.079712,-167.987305,0,0,-1178.890259,-237.730713,-54.812500,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.312536,9cb48de6a17ebe1
16707,13857,2,Wicadia,76561198812513923,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,,0,0,,MP9,smg,0,0,0,0,0,0,-798.463135,284.305237,-165.807373,0,0,-831.338257,-156.621094,-168.057861,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,11.242453,9cb48de6a17ebe1
16764,13911,2,sh1ro,76561198081484775,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-720.889343,-481.343750,-165.077881,0,0,-769.544373,280.743652,-165.256836,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,19.393208,9cb48de6a17ebe1
17095,14195,2,chopper,76561198045898864,2,Team Spirit,woxic,76561198083485506,3,Eternal Fire,,0,0,,MAC-10,smg,1,0,0,0,0,0,-1447.822266,-925.015503,-167.968750,0,0,-1597.938965,-1267.384033,-261.346802,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.912286,9cb48de6a17ebe1
18198,15180,2,magixx,76561199063238565,2,Team Spirit,MAJ3R,76561197967432889,3,Eternal Fire,,0,0,,Galil AR,rifle,0,1,0,0,0,0,-1973.205078,738.685974,-47.968750,0,0,-1963.558350,422.969482,-89.941528,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.051138,9cb48de6a17ebe1
19264,16107,2,zont1x,76561198995880877,2,Team Spirit,jottAAA,76561198410750263,3,Eternal Fire,,0,0,,AK-47,rifle,1,0,0,0,0,0,-903.047119,-420.598755,-159.045288,0,0,-1016.455322,-360.573608,-355.678223,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.036574,9cb48de6a17ebe1
24971,20668,3,chopper,76561198045898864,2,Team Spirit,XANTARES,76561198044118796,3,Eternal Fire,,0,0,,MAC-10,smg,0,0,0,0,0,0,-501.911743,-1395.524048,-112.340759,0,0,-958.553833,-1514.948120,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,1,0,12.074105,9cb48de6a17ebe1
25087,20762,3,Wicadia,76561198812513923,3,Eternal Fire,chopper,76561198045898864,2,Team Spirit,,0,0,,MP9,smg,1,0,0,0,0,0,-846.195618,-1322.689697,-167.968750,0,0,-496.113403,-1354.566650,-145.106689,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,8.949395,9cb48de6a17ebe1
25154,20818,3,donk,76561198386265483,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,chopper,76561198045898864,2,Team Spirit,AK-47,rifle,1,0,0,0,0,0,-649.025085,-1284.248535,-167.968750,0,0,-871.657166,-1317.540161,-167.968750,0,0,0,-496.113403,-1354.566650,-145.106689,1,1,0,0,5.663570,9cb48de6a17ebe1
25385,21025,3,jottAAA,76561198410750263,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,Five-SeveN,pistol,1,0,0,0,0,0,143.396805,-2023.121338,-39.968750,0,0,-521.769409,-1492.674316,-39.968750,0,0,0,-872.199219,-1319.722046,-167.968750,1,1,0,0,21.585510,9cb48de6a17ebe1
25504,21128,3,zont1x,76561198995880877,2,Team Spirit,woxic,76561198083485506,3,Eternal Fire,,0,0,,AK-47,rifle,0,0,0,0,0,0,-252.765686,-1679.925659,-167.968750,0,0,29.174768,-2018.916138,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.202011,9cb48de6a17ebe1
25583,21200,3,zont1x,76561198995880877,2,Team Spirit,jottAAA,76561198410750263,3,Eternal Fire,,0,0,,AK-47,rifle,0,2,0,0,0,0,-302.183472,-1708.437134,-167.968750,0,0,65.719414,-1934.336426,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.936255,9cb48de6a17ebe1
26015,21588,3,sh1ro,76561198081484775,2,Team Spirit,MAJ3R,76561197967432889,3,Eternal Fire,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-641.914001,-1256.181396,-167.968750,0,0,-557.709290,-1222.643555,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,2.324919,9cb48de6a17ebe1
31231,25490,4,Wicadia,76561198812513923,3,Eternal Fire,chopper,76561198045898864,2,Team Spirit,,0,0,,M4A1,rifle,1,0,0,0,0,0,-867.408813,-253.804504,-167.333801,0,0,355.060516,-883.042358,-164.194092,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,34.923603,9cb48de6a17ebe1
31269,25520,4,donk,76561198386265483,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,chopper,76561198045898864,2,Team Spirit,AK-47,rifle,0,0,0,0,0,0,458.116608,-898.956726,-159.968750,0,0,-862.633972,-244.522583,-167.408447,0,0,0,355.060516,-883.042358,-164.194092,1,0,0,0,37.440346,9cb48de6a17ebe1
34214,28054,4,jottAAA,76561198410750263,3,Eternal Fire,zont1x,76561198995880877,2,Team Spirit,,0,0,,M4A1,rifle,1,0,0,0,0,0,81.236938,-1919.047119,-39.968750,0,0,25.831749,-2289.993652,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.525763,9cb48de6a17ebe1
35134,28874,4,MAJ3R,76561197967432889,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,,0,0,,M4A1,rifle,1,0,0,0,0,0,-776.552612,288.105133,-164.657166,0,0,-756.440125,-374.629761,-167.899658,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.841169,9cb48de6a17ebe1
35391,29102,4,woxic,76561198083485506,3,Eternal Fire,sh1ro,76561198081484775,2,Team Spirit,,0,0,,AWP,sniper,0,0,0,0,0,0,-821.515808,-2527.553711,-35.968750,0,0,-686.133606,-894.189636,-236.870239,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,41.838024,9cb48de6a17ebe1
35711,29381,4,magixx,76561199063238565,2,Team Spirit,woxic,76561198083485506,3,Eternal Fire,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-496.031860,-1451.839478,-67.288391,0,0,-786.531921,-2257.789062,-179.664062,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,21.986595,9cb48de6a17ebe1
36207,29816,4,magixx,76561199063238565,2,Team Spirit,jottAAA,76561198410750263,3,Eternal Fire,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-233.285706,-1690.125244,-167.968750,0,0,-139.799072,-1552.249512,-53.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.096390,9cb48de6a17ebe1
41657,34226,5,woxic,76561198083485506,3,Eternal Fire,chopper,76561198045898864,2,Team Spirit,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1173.976807,-1452.077271,-162.087646,0,0,-871.270508,-1343.996704,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.166169,9cb48de6a17ebe1
41840,34380,5,sh1ro,76561198081484775,2,Team Spirit,Wicadia,76561198812513923,3,Eternal Fire,,0,0,,AWP,sniper,0,0,0,0,0,0,-123.610657,-932.719177,-167.765747,0,0,-905.165405,-67.749512,-167.976990,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,29.618713,9cb48de6a17ebe1
42564,34985,5,jottAAA,76561198410750263,3,Eternal Fire,donk,76561198386265483,2,Team Spirit,,0,0,,M4A1,rifle,0,0,0,0,0,0,-685.473389,-2387.524170,-171.365234,0,0,-824.971924,-1307.176025,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.668690,9cb48de6a17ebe1
42635,35048,5,XANTARES,76561198044118796,3,Eternal Fire,zont1x,76561198995880877,2,Team Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,-316.612122,-1508.408936,-164.336060,0,0,87.215927,-2323.205566,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.464153,9cb48de6a17ebe1
42758,35152,5,XANTARES,76561198044118796,3,Eternal Fire,magixx,76561199063238565,2,Team Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,-310.134521,-1660.624146,-167.968750,0,0,190.171265,-1519.727051,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,13.204591,9cb48de6a17ebe1
57565,47328,6,woxic,76561198083485506,3,Eternal Fire,zont1x,76561198995880877,2,Team Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,-34.779419,-1707.141724,-167.968750,0,0,284.159088,-1541.073608,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,9.132962,9cb48de6a17ebe1
58317,47956,6,woxic,76561198083485506,3,Eternal Fire,magixx,76561199063238565,2,Team Spirit,,0,0,,AK-47,rifle,1,0,0,0,0,0,146.805130,-1712.108643,-167.968750,0,0,172.211349,-1485.150024,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,5.757164,9cb48de6a17ebe1
