frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
471,395,1,76561198157151718,3,KaiR0N-,Kevlar Vest,equipment,01JM6196ZHA8FGMR0BF3VE4PQC,0,f101e58241ef725a
509,424,1,76561198372023214,3,Magnojez,Kevlar Vest,equipment,01JM6196ZJQDAH3W9ERRF2Z5Y0,0,f101e58241ef725a
520,430,1,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM6196ZJQDAH3W9ERS942DZ8,0,f101e58241ef725a
532,442,1,76561197982141573,2,Snax,Flashbang,grenade,01JM6196ZK77TBQGVGCVWX42HP,0,f101e58241ef725a
544,448,1,76561198167785069,3,s1ren,Kevlar Vest,equipment,01JM6196ZK77TBQGVGCZ9NXWQX,0,f101e58241ef725a
617,500,1,76561198068002993,2,HeavyGod,Smoke Grenade,grenade,01JM6196ZMT6HXZ2K24J5DY0RC,0,f101e58241ef725a
620,503,1,76561198012872053,2,huNter,Kevlar Vest,equipment,01JM6196ZMT6HXZ2K24K4YD17K,0,f101e58241ef725a
625,506,1,76561198068002993,2,HeavyGod,Molotov,grenade,01JM6196ZMT6HXZ2K24KW15NQR,0,f101e58241ef725a
769,600,1,76561198045433304,3,Ax1Le,Kevlar Vest,equipment,01JM6196ZQ6FHCPM9N75N53VZJ,0,f101e58241ef725a
904,689,1,76561198074762801,2,m0NESY,Kevlar Vest,equipment,01JM6196ZT3RG8XK44NA8PSVZS,0,f101e58241ef725a
1125,856,1,76561198372023214,3,Magnojez,Dual Berettas,pistol,01JM6196ZZK1M1DW1N2306NYQ7,0,f101e58241ef725a
1289,962,1,76561198059714128,3,nafany,Smoke Grenade,grenade,01JM619703QH09RGGETN17JE0N,0,f101e58241ef725a
1307,974,1,76561198059714128,3,nafany,Flashbang,grenade,01JM619704ZYKSVZPKETR515CP,0,f101e58241ef725a
12022,9739,2,76561198157151718,3,KaiR0N-,Kevlar + Helmet,equipment,01JM6197A9RXTTAFXZTJHN06B3,0,f101e58241ef725a
12067,9766,2,76561198157151718,3,KaiR0N-,SSG 08,sniper,01JM6197A81JGYBD20VXHX4T5P,1,f101e58241ef725a
12117,9798,2,76561198167785069,3,s1ren,Kevlar + Helmet,equipment,01JM6197ABBGCEKRW1VTREZ3GP,0,f101e58241ef725a
12163,9837,2,76561198157151718,3,KaiR0N-,M4A4,rifle,01JM6197A81JGYBD20WDPE5ZZB,0,f101e58241ef725a
12221,9881,2,76561198167785069,3,s1ren,MP9,smg,01JM6197A71TJV99NZ42ESBDDA,0,f101e58241ef725a
12254,9904,2,76561198167785069,3,s1ren,HE Grenade,grenade,01JM6197AD6GY2A7XAETA5PPY5,0,f101e58241ef725a
12265,9912,2,76561198167785069,3,s1ren,Incendiary Grenade,grenade,01JM6197AEHSB4NKJ57KKT9BBK,0,f101e58241ef725a
12285,9925,2,76561198167785069,3,s1ren,Flashbang,grenade,01JM6197AEHSB4NKJ57N7QKYV5,0,f101e58241ef725a
12464,10061,2,76561197982141573,2,Snax,AK-47,rifle,01JM6197AHG9N8FVMK8C82YPZH,0,f101e58241ef725a
12628,10172,2,76561198059714128,3,nafany,Kevlar + Helmet,equipment,01JM6197AKYZCJ19AJH2YVMDQM,0,f101e58241ef725a
12704,10231,2,76561198059714128,3,nafany,MP9,smg,01JM6197A6NQXZDC81TN8AWB73,0,f101e58241ef725a
12749,10268,2,76561198059714128,3,nafany,Smoke Grenade,grenade,01JM6197ANSNJSD4X3CAEABD3Q,0,f101e58241ef725a
12775,10285,2,76561198045433304,3,Ax1Le,M4A1,rifle,01JM6197APSW61868KQT6T86K8,0,f101e58241ef725a
12810,10307,2,76561198059714128,3,nafany,Incendiary Grenade,grenade,01JM6197APSW61868KQX72C1NK,0,f101e58241ef725a
12918,10361,2,76561198045433304,3,Ax1Le,Smoke Grenade,grenade,01JM6197ARTCQYRZ0NNBR4EHSR,0,f101e58241ef725a
12985,10404,2,76561198045433304,3,Ax1Le,HE Grenade,grenade,01JM6197A81JGYBD20WHF8JCNR,0,f101e58241ef725a
13081,10462,2,76561198372023214,3,Magnojez,MP9,smg,01JM6197ATT3DRW8SNZ21AZSP0,0,f101e58241ef725a
13084,10463,2,76561198045433304,3,Ax1Le,Incendiary Grenade,grenade,01JM6197ATT3DRW8SNZ2ZBZHQP,0,f101e58241ef725a
13107,10476,2,76561198372023214,3,Magnojez,Kevlar + Helmet,equipment,01JM6197AVB4P2BY4XVQSN64AC,0,f101e58241ef725a
13172,10525,2,76561198372023214,3,Magnojez,Smoke Grenade,grenade,01JM6197AWV17RFH1SEJYJ3XGE,0,f101e58241ef725a
13189,10535,2,76561198372023214,3,Magnojez,HE Grenade,grenade,01JM6197AWV17RFH1SEPNXTZX7,0,f101e58241ef725a
13203,10543,2,76561198372023214,3,Magnojez,Incendiary Grenade,grenade,01JM6197AWV17RFH1SERFR9GCG,0,f101e58241ef725a
13277,10590,2,76561198372023214,3,Magnojez,Flashbang,grenade,01JM6197AXNZX319KMPJV9XDD5,0,f101e58241ef725a
13291,10600,2,76561198167785069,3,s1ren,Flashbang,grenade,01JM6197AYTKFCH4KECRF0XTPV,0,f101e58241ef725a
13487,10722,2,76561198074762801,2,m0NESY,Kevlar + Helmet,equipment,01JM6197B1ES54M85VQNXAXPSM,0,f101e58241ef725a
25646,21014,3,76561197982141573,2,Snax,Kevlar + Helmet,equipment,01JM6197V2MWNQNH36T9FAEMKR,0,f101e58241ef725a
25673,21037,3,76561197982141573,2,Snax,Smoke Grenade,grenade,01JM6197V2MWNQNH36TCKBJJT8,0,f101e58241ef725a
25691,21047,3,76561198012872053,2,huNter,Kevlar + Helmet,equipment,01JM6197V3MTT7Q9VHR8BT6KPH,0,f101e58241ef725a
25707,21055,3,76561197982141573,2,Snax,HE Grenade,grenade,01JM6197V3MTT7Q9VHR9DTQPXZ,1,f101e58241ef725a
25718,21065,3,76561197982141573,2,Snax,Molotov,grenade,01JM6197V0869N0PS37K7KQHHW,0,f101e58241ef725a
25727,21069,3,76561198012872053,2,huNter,Smoke Grenade,grenade,01JM6197V0869N0PS37FTWVNK9,0,f101e58241ef725a
25741,21077,3,76561197982141573,2,Snax,Flashbang,grenade,01JM6197V406MEAF9T1WSDV6P6,0,f101e58241ef725a
25760,21088,3,76561198012872053,2,huNter,Molotov,grenade,01JM6197V406MEAF9T1ZX705XA,0,f101e58241ef725a
25793,21103,3,76561198068002993,2,HeavyGod,Kevlar + Helmet,equipment,01JM6197V5NBG7BA42VD3MCFDS,0,f101e58241ef725a
25793,21103,3,76561198068002993,2,HeavyGod,AK-47,rifle,01JM6197V3MTT7Q9VHRCB9FKZ0,0,f101e58241ef725a
25803,21107,3,76561198012872053,2,huNter,HE Grenade,grenade,01JM6197V5NBG7BA42VGPSMPH0,0,f101e58241ef725a
25804,21108,3,76561198080703143,2,malbsMd,Kevlar + Helmet,equipment,01JM6197V5NBG7BA42VM7A9WQE,0,f101e58241ef725a
25836,21127,3,76561198012872053,2,huNter,Flashbang,grenade,01JM6197V6E69ZGRA7HY4Q81K7,0,f101e58241ef725a
25855,21139,3,76561198080703143,2,malbsMd,Molotov,grenade,01JM6197V6E69ZGRA7HZP358WC,0,f101e58241ef725a
25925,21194,3,76561198080703143,2,malbsMd,HE Grenade,grenade,01JM6197V74WZA8S03JYF1067V,1,f101e58241ef725a
25931,21199,3,76561198045433304,3,Ax1Le,Kevlar Vest,equipment,01JM6197V74WZA8S03K13SSDP0,0,f101e58241ef725a
25936,21204,3,76561198080703143,2,malbsMd,Smoke Grenade,grenade,01JM6197V74WZA8S03K4FF7993,0,f101e58241ef725a
26028,21254,3,76561198074762801,2,m0NESY,Kevlar + Helmet,equipment,01JM6197V94G4DQQZ2SVH7ZV7J,0,f101e58241ef725a
26028,21254,3,76561198074762801,2,m0NESY,AK-47,rifle,01JM6197V94G4DQQZ2ST7M549Q,0,f101e58241ef725a
26189,21342,3,76561198080703143,2,malbsMd,Flashbang,grenade,01JM6197VC2AH74EW36P2F8XXX,1,f101e58241ef725a
26287,21415,3,76561198157151718,3,KaiR0N-,Kevlar Vest,equipment,01JM6197VD8BX9DZN6BPPQ41WR,0,f101e58241ef725a
26296,21422,3,76561198074762801,2,m0NESY,Flashbang,grenade,01JM6197VD8BX9DZN6BTEX7AKT,0,f101e58241ef725a
26303,21425,3,76561198074762801,2,m0NESY,Smoke Grenade,grenade,01JM6197VD8BX9DZN6BY31RN0Y,0,f101e58241ef725a
