frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
13101,10928,1,3,3,0,76561197967432889,MAJ3R,0,0,bde29716c3d4329a
27116,22799,2,2,2,1,76561198074762801,m0NESY,0,1,bde29716c3d4329a
27747,23364,2,1,3,0,76561198083485506,woxic,1,1,bde29716c3d4329a
40305,33889,3,4,3,0,76561198044118796,XANTARES,1,0,bde29716c3d4329a
47353,39579,4,5,3,0,76561198812513923,Wicadia,0,1,bde29716c3d4329a
59620,49695,5,4,3,0,76561197967432889,MAJ3R,0,0,bde29716c3d4329a
69217,57565,6,2,3,0,76561198044118796,XANTARES,0,0,bde29716c3d4329a
80155,66681,7,4,3,0,76561198410750263,jottAAA,1,0,bde29716c3d4329a
93862,78100,8,2,3,1,76561198812513923,Wicadia,0,1,bde29716c3d4329a
94296,78483,8,1,2,0,76561198012872053,huNter,1,1,bde29716c3d4329a
103092,85426,9,4,2,0,76561198074762801,m0NESY,0,2,bde29716c3d4329a
119353,100212,10,3,2,0,76561198012872053,huNter,0,2,bde29716c3d4329a
119999,100916,10,1,3,1,76561198410750263,jottAAA,1,1,bde29716c3d4329a
129286,108587,11,3,2,0,76561198012872053,huNter,0,0,bde29716c3d4329a
140072,117322,12,2,2,0,76561198068002993,HeavyGod,0,0,bde29716c3d4329a
160972,134633,13,3,3,0,76561198080703143,malbsMd,0,0,bde29716c3d4329a
194086,161728,16,2,2,0,76561198083485506,woxic,0,0,bde29716c3d4329a
204491,170157,17,2,3,0,76561198074762801,m0NESY,0,1,bde29716c3d4329a
204743,170384,17,1,2,1,76561198083485506,woxic,1,1,bde29716c3d4329a
212612,176935,18,4,3,0,76561197982141573,Snax,0,0,bde29716c3d4329a
223430,185610,19,5,2,0,76561198083485506,woxic,0,1,bde29716c3d4329a
233850,193894,20,4,2,0,76561197967432889,MAJ3R,0,1,bde29716c3d4329a
238327,197405,21,4,2,0,76561197967432889,MAJ3R,1,0,bde29716c3d4329a
271386,225236,23,3,3,0,76561198074762801,m0NESY,0,1,bde29716c3d4329a
281092,233179,24,2,3,0,76561198012872053,huNter,1,2,bde29716c3d4329a
281280,233335,24,1,2,1,76561197967432889,MAJ3R,0,0,bde29716c3d4329a
