steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561199063068840,w0nderful,3,800,650,850,pistol,1,79792497772f19cb
76561198050250233,iM,3,800,650,1150,pistol,1,79792497772f19cb
76561198045898864,chopper,2,800,800,1100,pistol,1,79792497772f19cb
76561198081484775,sh1ro,2,800,650,950,pistol,1,79792497772f19cb
76561198995880877,zont1x,2,800,700,200,pistol,1,79792497772f19cb
76561198386265483,donk,2,800,650,850,pistol,1,79792497772f19cb
76561198246607476,b1t,3,800,650,1250,pistol,1,79792497772f19cb
76561198176878303,jL,3,800,800,200,pistol,1,79792497772f19cb
76561198013243326,Aleksib,3,800,800,1000,pistol,1,79792497772f19cb
76561199063238565,magixx,2,800,650,850,pistol,1,79792497772f19cb
76561198386265483,donk,2,2050,650,1350,semi,2,79792497772f19cb
76561198045898864,chopper,2,1900,0,200,eco,2,79792497772f19cb
76561198176878303,jL,3,3250,3250,3450,semi,2,79792497772f19cb
76561199063238565,magixx,2,2650,700,200,eco,2,79792497772f19cb
76561198246607476,b1t,3,3400,3250,4500,full,2,79792497772f19cb
76561198081484775,sh1ro,2,2350,0,200,eco,2,79792497772f19cb
76561198013243326,Aleksib,3,3250,3250,3450,semi,2,79792497772f19cb
76561198995880877,zont1x,2,2000,0,200,eco,2,79792497772f19cb
76561199063068840,w0nderful,3,3400,3300,3500,semi,2,79792497772f19cb
76561198050250233,iM,3,4900,4900,5100,full,2,79792497772f19cb
76561198050250233,iM,3,3850,900,5800,full,3,79792497772f19cb
76561198386265483,donk,2,4100,4000,4200,full,3,79792497772f19cb
76561198246607476,b1t,3,3700,2300,5400,full,3,79792497772f19cb
76561198045898864,chopper,2,4300,4200,4400,full,3,79792497772f19cb
76561198013243326,Aleksib,3,3250,1100,3750,semi,3,79792497772f19cb
76561199063238565,magixx,2,4350,4200,4400,full,3,79792497772f19cb
76561198995880877,zont1x,2,4400,4400,4600,full,3,79792497772f19cb
76561198081484775,sh1ro,2,4750,4750,5250,full,3,79792497772f19cb
76561198176878303,jL,3,3850,3800,5500,full,3,79792497772f19cb
76561199063068840,w0nderful,3,3650,1000,4200,semi,3,79792497772f19cb
76561198386265483,donk,2,3900,2200,4600,full,4,79792497772f19cb
76561198246607476,b1t,3,5500,4600,5800,full,4,79792497772f19cb
76561198176878303,jL,3,3550,2300,5200,full,4,79792497772f19cb
76561199063238565,magixx,2,3650,2350,1550,semi,4,79792497772f19cb
76561199063068840,w0nderful,3,6750,1200,7650,full,4,79792497772f19cb
76561198045898864,chopper,2,4200,4100,1900,force-buy,4,79792497772f19cb
76561198081484775,sh1ro,2,3500,650,1350,semi,4,79792497772f19cb
76561198013243326,Aleksib,3,5950,1900,5600,full,4,79792497772f19cb
