frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
27285,22934,1,MAJ3R,76561197967432889,2,Eternal Fire,flameZ,76561197978835160,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,75.125214,879.572693,2.031250,0,0,246.043930,1563.222900,-0.796875,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.931078,299d651349cc6962
27300,22949,1,Wicadia,76561198812513923,2,Eternal Fire,apEX,76561197989744167,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,616.305115,1807.689453,-38.968750,0,0,910.480286,2189.907715,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.267220,299d651349cc6962
27376,23013,1,ropz,76561197991272318,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,,0,0,,USP-S,pistol,1,0,0,0,0,0,1745.728882,1118.992676,-145.968750,0,0,1385.367554,846.694580,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.468190,299d651349cc6962
27449,23078,1,MAJ3R,76561197967432889,2,Eternal Fire,mezii,76561197973140692,3,Vitality,,0,0,,Glock-18,pistol,1,0,0,0,0,0,100.029808,870.913818,-8.508545,0,0,273.214691,1608.693481,-31.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.250887,299d651349cc6962
27558,23177,1,woxic,76561198083485506,2,Eternal Fire,ZywOo,76561198113666193,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,Glock-18,pistol,1,0,0,0,0,0,990.620117,2145.686279,-39.276001,0,0,1757.822388,1565.614624,-151.968750,0,0,0,1385.367554,846.694580,-151.968750,0,0,0,0,24.628656,299d651349cc6962
27860,23445,1,ropz,76561197991272318,3,Vitality,Wicadia,76561198812513923,2,Eternal Fire,,0,0,,USP-S,pistol,1,0,0,0,0,0,1689.326904,1317.769531,-151.968750,0,0,1338.920898,1890.929199,-168.273560,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.104935,299d651349cc6962
29101,24558,1,MAJ3R,76561197967432889,2,Eternal Fire,ropz,76561197991272318,3,Vitality,jottAAA,76561198410750263,2,Eternal Fire,Glock-18,pistol,1,0,0,0,0,0,975.458313,1708.272705,-162.867249,0,0,1695.086914,1573.542114,-151.968750,0,0,0,894.171509,2125.203369,-39.968750,0,0,0,0,18.607302,299d651349cc6962
53719,44818,2,flameZ,76561197978835160,3,Vitality,MAJ3R,76561197967432889,2,Eternal Fire,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-704.869690,128.693771,-95.968750,0,0,781.273315,269.373779,-145.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,37.940460,299d651349cc6962
54406,45417,2,Wicadia,76561198812513923,2,Eternal Fire,ropz,76561197991272318,3,Vitality,,0,0,,MAC-10,smg,0,0,0,0,0,0,1365.655884,522.558960,0.031250,0,0,1252.174561,531.341614,-35.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.149395,299d651349cc6962
54415,45424,2,XANTARES,76561198044118796,2,Eternal Fire,ZywOo,76561198113666193,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,786.110413,72.386429,-151.171570,0,0,1137.819092,683.272400,-172.391724,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.884962,299d651349cc6962
55090,45972,2,apEX,76561197989744167,3,Vitality,Wicadia,76561198812513923,2,Eternal Fire,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,1411.710327,1642.645264,-151.968750,0,1,1661.844727,1625.964478,-151.968750,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,6.325498,299d651349cc6962
55144,46020,2,XANTARES,76561198044118796,2,Eternal Fire,apEX,76561197989744167,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,1669.584595,1409.626831,-151.968750,0,1,1433.641724,1640.315674,-151.968750,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,8.378735,299d651349cc6962
55443,46278,2,XANTARES,76561198044118796,2,Eternal Fire,mezii,76561197973140692,3,Vitality,woxic,76561198083485506,2,Eternal Fire,AK-47,rifle,1,0,1,0,0,0,1503.776855,1826.367554,-151.968750,0,0,1126.769531,1390.814331,-99.707581,0,1,0,1350.907471,862.339233,-97.671875,0,0,0,0,14.805467,299d651349cc6962
55508,46335,2,XANTARES,76561198044118796,2,Eternal Fire,flameZ,76561197978835160,3,Vitality,woxic,76561198083485506,2,Eternal Fire,AK-47,rifle,1,0,1,0,0,0,1520.583374,1773.894043,-151.968750,0,0,802.078979,1659.254761,-58.459290,0,1,0,1527.862061,969.984802,-145.968750,0,0,0,0,18.621653,299d651349cc6962
61521,51163,3,XANTARES,76561198044118796,2,Eternal Fire,apEX,76561197989744167,3,Vitality,,0,0,,AK-47,rifle,1,0,0,0,0,0,135.183075,1085.978394,-31.294250,0,0,583.413391,1324.185303,-75.859802,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.968306,299d651349cc6962
61703,51328,3,woxic,76561198083485506,2,Eternal Fire,ropz,76561197991272318,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,AK-47,rifle,0,0,0,0,0,0,82.443192,839.827942,2.031250,0,0,485.048889,1332.850342,-31.968750,0,0,0,210.274292,1023.592346,-30.682861,0,0,0,0,16.183247,299d651349cc6962
61980,51576,3,MAJ3R,76561197967432889,2,Eternal Fire,ZywOo,76561198113666193,3,Vitality,,0,0,,AK-47,rifle,1,0,0,0,0,0,170.392227,62.802391,-151.968750,0,0,-785.968079,189.397980,-87.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.578756,299d651349cc6962
62048,51634,3,MAJ3R,76561197967432889,2,Eternal Fire,flameZ,76561197978835160,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,170.479645,63.688240,-151.968750,0,0,-684.471436,151.585785,-95.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.899681,299d651349cc6962
64051,53404,3,XANTARES,76561198044118796,2,Eternal Fire,mezii,76561197973140692,3,Vitality,MAJ3R,76561197967432889,2,Eternal Fire,AK-47,rifle,1,0,0,0,0,0,150.737396,154.652679,-188.833618,0,0,-774.884338,131.912537,-95.968750,0,0,0,-350.725586,227.683731,-119.968750,0,0,0,0,23.635939,299d651349cc6962
71101,58813,4,jottAAA,76561198410750263,2,Eternal Fire,ropz,76561197991272318,3,Vitality,woxic,76561198083485506,2,Eternal Fire,Galil AR,rifle,0,0,1,0,0,0,1514.760376,1582.503052,-151.968750,0,0,954.618591,2295.910889,-39.968750,0,1,0,808.565857,549.839600,-148.968750,0,0,0,0,23.247370,299d651349cc6962
71595,59227,4,apEX,76561197989744167,3,Vitality,jottAAA,76561198410750263,2,Eternal Fire,ropz,76561197991272318,3,Vitality,M4A1,rifle,0,0,0,0,0,0,953.527283,1267.185059,-87.968750,0,0,1477.231812,1827.665771,-151.968750,0,0,0,954.998474,2296.207764,-39.968750,0,1,0,0,19.520466,299d651349cc6962
71637,59262,4,ZywOo,76561198113666193,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,apEX,76561197989744167,3,Vitality,M4A1,rifle,0,0,1,0,0,0,549.269104,1282.917480,-53.626282,0,0,1765.233032,1882.005859,-83.968750,0,0,0,966.168152,1256.744507,-87.968750,0,1,0,0,34.436230,299d651349cc6962
71731,59345,4,Wicadia,76561198812513923,2,Eternal Fire,apEX,76561197989744167,3,Vitality,,0,0,,MAC-10,smg,0,0,0,0,0,0,1393.305908,2050.208740,-191.968750,0,0,968.862305,1256.066406,-87.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,23.079142,299d651349cc6962
71810,59418,4,mezii,76561197973140692,3,Vitality,ZywOo,76561198113666193,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,M4A1,rifle,0,0,0,0,0,0,390.535400,1309.197388,-31.861023,0,0,472.994965,1305.703613,-31.968750,0,0,0,1765.233032,1882.005859,-83.968750,1,1,0,0,2.241347,299d651349cc6962
71890,59486,4,MAJ3R,76561197967432889,2,Eternal Fire,mezii,76561197973140692,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,-103.520630,704.347961,0.266544,0,0,406.576172,1311.155151,-29.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,20.146166,299d651349cc6962
81086,66946,5,XANTARES,76561198044118796,2,Eternal Fire,apEX,76561197989744167,3,Vitality,woxic,76561198083485506,2,Eternal Fire,AK-47,rifle,1,0,1,0,0,0,1425.711914,2196.181396,-170.508179,0,0,747.588562,1495.851074,-87.968750,0,0,0,1126.432129,713.129578,-154.591919,0,0,0,0,24.894096,299d651349cc6962
81443,67250,5,flameZ,76561197978835160,3,Vitality,jottAAA,76561198410750263,2,Eternal Fire,,0,0,,M4A1,rifle,1,0,0,0,0,0,604.921326,1276.355591,-87.968750,0,0,1727.164917,1884.049194,-83.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.411976,299d651349cc6962
81557,67349,5,flameZ,76561197978835160,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,,0,0,,M4A1,rifle,1,0,0,0,0,0,731.391785,1285.088135,-87.968750,0,0,1283.773560,2135.435059,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.821108,299d651349cc6962
81685,67465,5,flameZ,76561197978835160,3,Vitality,woxic,76561198083485506,2,Eternal Fire,,0,0,,M4A1,rifle,0,0,0,0,0,0,788.830200,1375.448608,-87.968750,0,0,1676.660400,1871.309082,-83.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.829695,299d651349cc6962
82417,68114,5,Wicadia,76561198812513923,2,Eternal Fire,flameZ,76561197978835160,3,Vitality,woxic,76561198083485506,2,Eternal Fire,AK-47,rifle,1,0,0,0,0,0,1773.739868,1684.841675,-140.734680,0,0,780.387024,1667.133057,-53.207092,0,0,0,1676.660400,1871.309082,-83.968750,0,1,0,0,25.343933,299d651349cc6962
82520,68205,5,mezii,76561197973140692,3,Vitality,Wicadia,76561198812513923,2,Eternal Fire,,0,0,,Desert Eagle,pistol,0,0,0,0,0,0,1238.764282,1653.378784,-149.968750,0,0,1775.803345,1675.657837,-146.857239,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,13.652458,299d651349cc6962
85385,70770,5,ZywOo,76561198113666193,3,Vitality,MAJ3R,76561197967432889,2,Eternal Fire,mezii,76561197973140692,3,Vitality,AK-47,rifle,0,0,0,0,0,0,1729.333252,1316.115601,-151.968750,0,0,944.080383,2192.511230,-39.968750,0,0,0,1335.003418,1824.749512,-152.742737,0,0,0,0,30.025343,299d651349cc6962
94377,77579,6,MAJ3R,76561197967432889,2,Eternal Fire,flameZ,76561197978835160,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,-674.791077,52.029419,-87.968750,0,0,-935.737671,555.713867,24.140625,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,14.603659,299d651349cc6962
95467,78471,6,jottAAA,76561198410750263,2,Eternal Fire,mezii,76561197973140692,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1605.532959,163.176437,1.374683,0,0,-1151.770142,1012.810913,4.734594,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,24.465902,299d651349cc6962
95884,78831,6,ZywOo,76561198113666193,3,Vitality,Wicadia,76561198812513923,2,Eternal Fire,,0,0,,AK-47,rifle,0,0,0,0,0,0,-579.426514,713.928406,38.031250,0,0,-1555.310303,442.203430,0.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,25.743698,299d651349cc6962
95910,78853,6,XANTARES,76561198044118796,2,Eternal Fire,ZywOo,76561198113666193,3,Vitality,Wicadia,76561198812513923,2,Eternal Fire,AK-47,rifle,0,0,0,0,0,0,-1029.576172,464.779480,1.031250,0,0,-579.205017,713.447815,38.031250,0,0,0,-1555.411743,442.576324,0.031250,1,1,0,0,13.095165,299d651349cc6962
96063,78986,6,apEX,76561197989744167,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1016.134888,932.622742,35.031250,0,0,-909.356873,639.884094,-3.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,7.961515,299d651349cc6962
96077,79000,6,MAJ3R,76561197967432889,2,Eternal Fire,apEX,76561197989744167,3,Vitality,XANTARES,76561198044118796,2,Eternal Fire,AK-47,rifle,1,0,0,0,0,0,-905.442749,431.054199,-2.278992,0,0,-1014.537964,932.643982,35.031250,0,0,0,-909.356873,639.884094,-3.968750,1,0,0,0,13.047236,299d651349cc6962
107401,88255,7,MAJ3R,76561197967432889,2,Eternal Fire,ZywOo,76561198113666193,3,Vitality,,0,0,,AK-47,rifle,0,0,0,0,0,0,1481.221313,822.539795,-151.968750,0,0,1660.680054,1507.703979,-124.375000,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.028313,299d651349cc6962
107445,88287,7,MAJ3R,76561197967432889,2,Eternal Fire,ropz,76561197991272318,3,Vitality,,0,0,,AK-47,rifle,1,0,0,0,0,0,1495.796143,824.068359,-151.968750,0,0,1482.261719,1162.433105,-145.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.601043,299d651349cc6962
