number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,17348,20593,20218,24170,24558,29101,25006,29621,Vitality,Eternal Fire,0,1,3,2,4000,4000,4250,4400,3250,3400,pistol,pistol,108245,9,Eternal Fire,2,0,299d651349cc6962
2,25006,29621,41674,49955,46335,55508,46783,56038,Vitality,Eternal Fire,0,2,3,2,10850,18650,10950,19100,10350,18100,force-buy,semi,329353,9,Eternal Fire,2,0,299d651349cc6962
3,46783,56038,48063,57807,53404,64051,53852,64577,Vitality,Eternal Fire,0,3,3,2,13100,18600,3750,23450,3750,11350,eco,full,101947,9,Eternal Fire,2,0,299d651349cc6962
4,53852,64577,55132,66610,62543,75415,62991,75932,Vitality,Eternal Fire,0,4,3,2,23850,25300,24650,23950,23250,4200,full,full,137889,1,Eternal Fire,2,0,299d651349cc6962
5,62991,75932,64271,77806,70770,85385,71218,85923,Vitality,Eternal Fire,1,4,3,2,18100,40100,11150,26100,6900,12800,semi,full,120268,8,Vitality,3,0,299d651349cc6962
6,73358,88763,74638,90674,82097,99598,82545,100127,Vitality,Eternal Fire,1,5,3,2,28950,34900,27900,27250,16150,26550,full,full,137850,1,Eternal Fire,2,0,299d651349cc6962
7,82545,100127,83825,101980,91938,111700,92386,112262,Vitality,Eternal Fire,1,6,3,2,27900,27350,28500,27450,23450,13100,full,full,147240,1,Eternal Fire,2,0,299d651349cc6962
8,92386,112262,93666,114136,100995,122942,101443,123479,Vitality,Eternal Fire,1,7,3,2,21450,32650,27150,26950,12650,7400,full,full,135878,1,Eternal Fire,2,0,299d651349cc6962
9,103670,126613,104950,128455,113355,138432,113803,138959,Vitality,Eternal Fire,1,8,3,2,26200,44050,27800,27550,21700,14300,full,full,150370,1,Eternal Fire,2,0,299d651349cc6962
10,113803,138959,115083,140844,120248,147088,120696,147612,Vitality,Eternal Fire,2,8,3,2,21600,48850,22250,28050,21250,9950,force-buy,full,103423,8,Vitality,3,0,299d651349cc6962
11,123370,151198,124650,153141,129601,159225,130049,159792,Vitality,Eternal Fire,2,9,3,2,18100,46500,25100,27350,17000,27250,full,full,102125,9,Eternal Fire,2,0,299d651349cc6962
12,130049,159792,131329,161644,137319,168818,137863,169466,Vitality,Eternal Fire,3,9,3,2,15900,37100,16500,28150,15500,9900,force-buy,full,114835,8,Vitality,3,0,299d651349cc6962
13,137863,169466,150945,185623,154715,189964,155163,190532,Vitality,Eternal Fire,4,9,2,3,4000,4000,4150,3750,3550,3550,pistol,pistol,260790,9,Vitality,2,0,299d651349cc6962
14,155163,190532,156443,192356,164860,202041,165308,202573,Vitality,Eternal Fire,5,9,2,3,18200,9800,20950,1000,17300,0,full,eco,146426,1,Vitality,2,0,299d651349cc6962
15,165308,202573,166588,204349,174035,212982,174483,213504,Vitality,Eternal Fire,6,9,2,3,19000,21800,23050,22400,4500,21400,full,force-buy,132431,1,Vitality,2,0,299d651349cc6962
16,174483,213504,175763,215367,185002,226111,185450,226638,Vitality,Eternal Fire,7,9,2,3,33500,15800,25400,10850,17100,6250,full,semi,160395,1,Vitality,2,0,299d651349cc6962
17,187434,229382,188714,231110,195508,239396,195956,239946,Vitality,Eternal Fire,7,10,2,3,35100,26850,25600,30350,10250,22150,full,full,127405,8,Eternal Fire,3,0,299d651349cc6962
18,195956,239946,197236,241742,205742,252000,206190,252521,Vitality,Eternal Fire,7,11,2,3,32150,22050,25200,30550,24200,10800,full,full,153360,7,Eternal Fire,3,0,299d651349cc6962
19,206190,252521,207470,254309,213041,261054,213489,261584,Vitality,Eternal Fire,8,11,2,3,21950,29950,21700,30750,20300,23600,full,full,108563,1,Vitality,2,0,299d651349cc6962
20,213489,261584,214769,263415,221001,270852,221449,271421,Vitality,Eternal Fire,9,11,2,3,20950,18750,27550,8200,12300,7400,full,semi,117914,9,Vitality,2,0,299d651349cc6962
21,221449,271421,222729,273288,229130,281122,229578,281670,Vitality,Eternal Fire,9,12,2,3,26700,26450,27950,27750,8100,26250,full,full,123423,8,Eternal Fire,3,0,299d651349cc6962
22,231990,285069,233270,286936,240885,296069,240885,296069,Vitality,Eternal Fire,9,13,2,3,11650,23950,24850,28650,24050,14100,full,full,139950,7,Eternal Fire,3,0,299d651349cc6962
