frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
11407,9747,1,3,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
21464,18150,2,4,2,0,76561197989744167,apEX,0,0,ad2b34ad0667c962
30988,25731,3,5,3,0,76561198410750263,jottAAA,0,1,ad2b34ad0667c962
41178,34167,4,5,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
47377,39107,5,3,2,0,76561197978835160,flameZ,0,0,ad2b34ad0667c962
93316,76392,6,4,2,0,76561197991272318,ropz,0,0,ad2b34ad0667c962
102080,83321,7,3,2,0,76561197978835160,flameZ,1,0,ad2b34ad0667c962
113610,92371,8,3,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
120317,97563,9,4,2,0,76561197973140692,mezii,0,0,ad2b34ad0667c962
126881,102548,10,3,3,0,76561198812513923,Wicadia,0,0,ad2b34ad0667c962
148121,119187,12,4,2,0,76561198113666193,ZywOo,0,0,ad2b34ad0667c962
170668,137944,13,3,2,1,76561198410750263,jottAAA,1,3,ad2b34ad0667c962
173989,140899,13,1,3,0,76561197989744167,apEX,0,0,ad2b34ad0667c962
180896,146384,14,3,2,0,76561197967432889,MAJ3R,0,2,ad2b34ad0667c962
181416,146849,14,1,3,1,76561197978835160,flameZ,1,1,ad2b34ad0667c962
188531,152558,15,2,2,0,76561197967432889,MAJ3R,0,0,ad2b34ad0667c962
194730,157432,16,4,2,0,76561198083485506,woxic,0,0,ad2b34ad0667c962
201648,162977,17,5,2,0,76561198083485506,woxic,0,0,ad2b34ad0667c962
209918,169582,18,4,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
221085,178702,19,4,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
232358,187373,20,4,3,0,76561198113666193,ZywOo,0,2,ad2b34ad0667c962
243417,196387,21,3,3,1,76561197973140692,mezii,1,3,ad2b34ad0667c962
244321,197186,21,1,2,0,76561198044118796,XANTARES,0,0,ad2b34ad0667c962
253632,204117,22,2,2,1,76561198083485506,woxic,1,2,ad2b34ad0667c962
254588,204939,22,1,3,0,76561197978835160,flameZ,0,0,ad2b34ad0667c962
264099,212763,23,4,2,0,76561198812513923,Wicadia,0,0,ad2b34ad0667c962
270944,218065,24,4,3,0,76561198113666193,ZywOo,0,0,ad2b34ad0667c962
