name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
SunPayus,76561198309839541,43,HEROIC,10,12,21,4,40,0.476190,80.000000,50.066666,0.333333,0.700000,2.600000,3,-1,0,0,0,4,0,0,1502,156,78,6,10,11,6,4,3,2,0,0,0,3,8,11,6,4,0,1,1,10,0,1,8,1,0,0,0,0.760593,0.543190,CSGO-qahFh-KZEFk-UxyQH-wViqJ-TpNkO,3,0,1229e6b33a7c388f
LNZ,76561198104626893,51,HEROIC,24,3,21,10,41,1.142857,76.666664,72.466667,0.800000,0.700000,5.600000,2,-1,0,0,0,0,0,0,2174,515,168,9,13,14,9,7,4,3,1,1,1,5,10,13,8,6,5,5,7,5,0,2,9,3,3,0,0,1.181409,1.145778,CSGO-BkLsj-3EeOH-QW5yu-vwvph-u6GSQ,0,0,1229e6b33a7c388f
tN1R,76561198872013168,81,HEROIC,33,5,17,19,57,1.941176,80.000000,98.966667,1.100000,0.566667,3.766667,7,-1,0,0,0,3,2,0,2969,454,113,12,16,17,12,10,4,3,1,1,1,8,13,16,11,9,3,2,5,4,0,0,10,5,3,1,0,1.627538,1.660157,CSGO-oBeau-EwP7p-OmTWC-si2ph-tszQN,1,0,1229e6b33a7c388f
yxngstxr,76561199137143905,68,HEROIC,27,8,22,13,48,1.227273,70.000000,96.433334,0.900000,0.733333,7.266667,2,-1,0,0,0,0,0,0,2893,583,218,8,12,13,8,6,4,3,1,1,1,4,9,12,7,5,2,4,9,1,0,0,5,8,2,0,0,1.294710,1.240737,CSGO-KcJwN-LOLY7-tfLiZ-hx9Ju-rqnkP,2,0,1229e6b33a7c388f
Ex3rcice,76561198168198200,58,3DMAX,26,1,20,13,50,1.300000,76.666664,86.866669,0.866667,0.666667,5.366667,4,-1,0,0,0,2,0,0,2606,423,161,7,11,12,7,5,3,2,0,0,0,4,9,12,7,5,3,2,4,5,0,0,9,5,1,1,0,1.296233,1.267410,CSGO-T7fdk-iaJou-k3G8Y-rxZrx-DOQNN,2,0,1229e6b33a7c388f
Maka,76561198045739761,46,3DMAX,17,12,23,8,47,0.739130,70.000000,61.933334,0.566667,0.766667,7.100000,2,-1,0,0,0,1,1,0,1858,231,213,7,11,12,7,5,3,2,0,0,0,4,9,12,7,5,2,2,7,2,0,0,10,2,1,0,0,0.891718,0.760957,CSGO-H4ROM-pfGzB-eYQFx-XxxhH-pBtdA,3,0,1229e6b33a7c388f
Lucky,76561198031890115,47,3DMAX,19,4,21,13,68,0.904762,80.000000,66.366669,0.633333,0.700000,6.966667,0,-1,0,0,0,2,0,0,1991,366,209,11,15,16,11,9,4,3,1,1,1,7,12,15,10,8,5,1,6,6,0,1,15,2,0,0,0,1.045487,0.813174,CSGO-qW2GL-L2XNG-9NYj9-5sq8G-HzQRO,4,0,1229e6b33a7c388f
xfl0ud,76561198178209109,38,HEROIC,11,7,21,6,54,0.523810,66.666672,66.066666,0.366667,0.700000,4.266667,2,-1,0,0,0,2,0,0,1982,286,128,6,10,11,6,4,3,2,0,0,0,3,8,11,6,4,3,5,1,8,0,1,9,1,0,0,0,0.726667,0.571040,CSGO-4Fmfa-bB3zD-qvF4D-tJoca-MARmH,4,0,1229e6b33a7c388f
Djoko,76561198047876970,44,3DMAX,17,6,21,8,47,0.809524,70.000000,61.733334,0.566667,0.700000,3.400000,5,-1,0,0,0,1,0,0,1852,276,102,7,11,12,7,5,3,2,0,0,0,4,9,12,7,5,3,3,4,4,0,1,6,4,1,0,0,0.906680,0.854152,CSGO-oNmvB-ONbiV-fBONR-LFQh2-8bBAA,1,0,1229e6b33a7c388f
Graviti,76561198179538505,60,3DMAX,23,7,20,16,69,1.150000,83.333328,87.699997,0.766667,0.666667,2.133333,3,-1,0,0,0,1,0,0,2631,371,64,9,13,14,9,7,4,3,1,1,1,5,10,13,8,6,4,5,2,9,0,4,9,5,0,1,0,1.281058,1.125854,CSGO-JULWA-cxmTk-JT7uE-FTVT4-V78WB,0,0,1229e6b33a7c388f
