frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
789,659,1,76561198120557348,3,jabbi,Kevlar Vest,equipment,01JM60NW65FGQJ2F8J4520MZ5N,0,339f817fc0609ea4
820,688,1,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM60NW65FGQJ2F8J45F2MG2H,0,339f817fc0609ea4
1008,851,1,76561198022365638,3,stavn,Smoke Grenade,grenade,01JM60NW68NZHGJ0JXWHERWA2X,0,339f817fc0609ea4
1019,862,1,76561198005107817,3,Staehr,Kevlar Vest,equipment,01JM60NW694SD9BDNTHE2QEFSS,0,339f817fc0609ea4
1024,866,1,76561198022365638,3,stavn,HE Grenade,grenade,01JM60NW694SD9BDNTHHTFQCQN,0,339f817fc0609ea4
1039,881,1,76561198022365638,3,stavn,Flashbang,grenade,01JM60NW694SD9BDNTHJQFE2B0,0,339f817fc0609ea4
1152,968,1,76561199063068840,2,w0nderful,Kevlar Vest,equipment,01JM60NW6BEX2N7EJ2ZM0S49Z6,0,339f817fc0609ea4
1558,1304,1,76561198246607476,2,b1t,Kevlar Vest,equipment,01JM60NW6HZHK2PD2ZB7SWKM10,0,339f817fc0609ea4
15273,12762,2,76561198005107817,3,Staehr,Kevlar + Helmet,equipment,01JM60NWK2R4TTH1DQCCET091Q,0,339f817fc0609ea4
15296,12779,2,76561198005107817,3,Staehr,M4A1,rifle,01JM60NWK328JC56C0R25HGW6P,0,339f817fc0609ea4
15300,12780,2,76561197987713664,3,dev1ce,M4A1,rifle,01JM60NWK328JC56C0R6516072,0,339f817fc0609ea4
15312,12788,2,76561198120557348,3,jabbi,Kevlar + Helmet,equipment,01JM60NWK328JC56C0R6GM61R5,0,339f817fc0609ea4
15316,12790,2,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM60NWK328JC56C0RAARPWQ2,0,339f817fc0609ea4
15327,12799,2,76561198005107817,3,Staehr,HE Grenade,grenade,01JM60NWK328JC56C0RAPSX15Y,0,339f817fc0609ea4
15327,12799,2,76561197987713664,3,dev1ce,Kevlar + Helmet,equipment,01JM60NWK328JC56C0RE9K9HF6,0,339f817fc0609ea4
15443,12880,2,76561198004115516,3,cadiaN,Kevlar + Helmet,equipment,01JM60NWK5MPQX1V7CRBCK3E9J,0,339f817fc0609ea4
15586,12988,2,76561198022365638,3,stavn,Kevlar + Helmet,equipment,01JM60NWK7N4SP8BQV66VFFDNR,0,339f817fc0609ea4
15795,13106,2,76561198022365638,3,stavn,MP9,smg,01JM60NWKBS3AVS668N9NBF7WW,0,339f817fc0609ea4
15831,13139,2,76561198022365638,3,stavn,Smoke Grenade,grenade,01JM60NWKBS3AVS668NFJBW6TQ,0,339f817fc0609ea4
15858,13161,2,76561198022365638,3,stavn,HE Grenade,grenade,01JM60NWKCD19ESK8E933G0Y6C,0,339f817fc0609ea4
15882,13177,2,76561198022365638,3,stavn,Incendiary Grenade,grenade,01JM60NWKCD19ESK8E962BH9RD,0,339f817fc0609ea4
15906,13194,2,76561198022365638,3,stavn,Flashbang,grenade,01JM60NWKDX4T773YQCGV7HP45,0,339f817fc0609ea4
15963,13232,2,76561198004115516,3,cadiaN,MP9,smg,01JM60NWKF5A4RC6JXGYQ5TY0A,0,339f817fc0609ea4
16026,13281,2,76561198004115516,3,cadiaN,HE Grenade,grenade,01JM60NWKGZQWVE00MCJM27YF7,0,339f817fc0609ea4
16045,13295,2,76561198004115516,3,cadiaN,Incendiary Grenade,grenade,01JM60NWKGZQWVE00MCMJ3QYHR,0,339f817fc0609ea4
16065,13312,2,76561198004115516,3,cadiaN,Smoke Grenade,grenade,01JM60NWKGZQWVE00MCQW7Y6DF,0,339f817fc0609ea4
16085,13329,2,76561198004115516,3,cadiaN,Flashbang,grenade,01JM60NWKHGSRXA6VAB37KQGJX,0,339f817fc0609ea4
16542,13676,2,76561198120557348,3,jabbi,FAMAS,rifle,01JM60NWKQW3AYVF0AGXM2885W,0,339f817fc0609ea4
16669,13773,2,76561198120557348,3,jabbi,Smoke Grenade,grenade,01JM60NWKSJ869ZMVRT3V06FHR,0,339f817fc0609ea4
16686,13786,2,76561198120557348,3,jabbi,HE Grenade,grenade,01JM60NWKTQBSGP0B9K1BTQ0K8,0,339f817fc0609ea4
16822,13884,2,76561198120557348,3,jabbi,Flashbang,grenade,01JM60NWKW9EWCMRJZAKHDDW3K,0,339f817fc0609ea4
21802,17933,3,76561198176878303,2,jL,Kevlar + Helmet,equipment,01JM60NWTRFGMNFGX9MT2RHXJF,0,339f817fc0609ea4
21802,17933,3,76561198176878303,2,jL,AK-47,rifle,01JM60NWTRFGMNFGX9MQCBNG90,0,339f817fc0609ea4
21811,17942,3,76561198013243326,2,Aleksib,Kevlar + Helmet,equipment,01JM60NWTSNYNB3X81XJP3YMMH,0,339f817fc0609ea4
