steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198342718168,susp,2,800,700,900,pistol,1,fce806f201778c31
76561198184153575,JBa,2,800,650,850,pistol,1,fce806f201778c31
76561197975129851,Sonic,2,800,650,850,pistol,1,fce806f201778c31
76561197987713664,dev1ce,3,800,650,850,pistol,1,fce806f201778c31
76561198120557348,jabbi,3,800,650,850,pistol,1,fce806f201778c31
76561198004115516,cadiaN,3,800,800,1000,pistol,1,fce806f201778c31
76561197981849043,stanislaw,2,800,800,1200,pistol,1,fce806f201778c31
76561198408199043,phzy,2,800,800,1000,pistol,1,fce806f201778c31
76561198005107817,Staehr,3,800,650,850,pistol,1,fce806f201778c31
76561198022365638,stavn,3,800,650,850,pistol,1,fce806f201778c31
76561197975129851,Sonic,2,3650,3500,3700,semi,2,fce806f201778c31
76561198408199043,phzy,2,4100,4000,4200,full,2,fce806f201778c31
76561197987713664,dev1ce,3,2050,1950,3150,force-buy,2,fce806f201778c31
76561198120557348,jabbi,3,2350,2300,2300,force-buy,2,fce806f201778c31
76561198004115516,cadiaN,3,2200,2150,2350,force-buy,2,fce806f201778c31
76561198342718168,susp,2,3600,3500,3700,semi,2,fce806f201778c31
76561198184153575,JBa,2,3950,3900,4100,full,2,fce806f201778c31
76561198005107817,Staehr,3,2050,2000,1650,force-buy,2,fce806f201778c31
76561198022365638,stavn,3,2050,2000,2000,force-buy,2,fce806f201778c31
76561197981849043,stanislaw,2,3800,3050,3450,semi,2,fce806f201778c31
76561198022365638,stavn,3,2450,650,1350,semi,3,fce806f201778c31
76561198120557348,jabbi,3,3050,600,2300,semi,3,fce806f201778c31
76561197981849043,stanislaw,2,4250,3250,3450,semi,3,fce806f201778c31
76561197975129851,Sonic,2,3950,3900,3200,semi,3,fce806f201778c31
76561198408199043,phzy,2,4200,4200,4800,full,3,fce806f201778c31
76561198005107817,Staehr,3,2750,500,4050,semi,3,fce806f201778c31
76561197987713664,dev1ce,3,2800,600,3250,semi,3,fce806f201778c31
76561198004115516,cadiaN,3,2750,2500,2700,force-buy,3,fce806f201778c31
76561198342718168,susp,2,3600,3500,4600,full,3,fce806f201778c31
76561198184153575,JBa,2,3550,3500,3700,semi,3,fce806f201778c31
76561198022365638,stavn,3,5050,1650,3550,semi,4,fce806f201778c31
76561197987713664,dev1ce,3,5750,5750,6450,full,4,fce806f201778c31
76561198120557348,jabbi,3,5700,5600,5800,full,4,fce806f201778c31
76561198004115516,cadiaN,3,4100,2100,5200,full,4,fce806f201778c31
76561198342718168,susp,2,400,300,4200,full,4,fce806f201778c31
76561198184153575,JBa,2,1750,1700,1700,force-buy,4,fce806f201778c31
76561197975129851,Sonic,2,1750,1700,1700,force-buy,4,fce806f201778c31
76561198408199043,phzy,2,1400,1350,1850,force-buy,4,fce806f201778c31
76561198005107817,Staehr,3,5800,5200,5400,full,4,fce806f201778c31
76561197981849043,stanislaw,2,2400,2400,2400,force-buy,4,fce806f201778c31
76561198005107817,Staehr,3,2800,2750,2950,force-buy,5,fce806f201778c31
76561198408199043,phzy,2,3400,3350,7550,full,5,fce806f201778c31
76561198022365638,stavn,3,5300,5250,5450,full,5,fce806f201778c31
76561197987713664,dev1ce,3,2100,2100,2600,force-buy,5,fce806f201778c31
76561198120557348,jabbi,3,2000,2000,2000,force-buy,5,fce806f201778c31
76561198004115516,cadiaN,3,3900,3850,4250,force-buy,5,fce806f201778c31
76561198342718168,susp,2,3350,2400,5100,full,5,fce806f201778c31
76561197981849043,stanislaw,2,3850,3800,5300,full,5,fce806f201778c31
76561198184153575,JBa,2,3900,3900,4500,full,5,fce806f201778c31
76561197975129851,Sonic,2,3600,2400,5100,full,5,fce806f201778c31
76561198184153575,JBa,2,2000,2000,2000,force-buy,6,fce806f201778c31
76561197975129851,Sonic,2,3200,3200,3400,force-buy,6,fce806f201778c31
76561198022365638,stavn,3,3550,2300,5400,full,6,fce806f201778c31
76561197987713664,dev1ce,3,3500,3450,6650,full,6,fce806f201778c31
76561198408199043,phzy,2,2450,2400,2400,force-buy,6,fce806f201778c31
76561198005107817,Staehr,3,3950,3900,4900,full,6,fce806f201778c31
76561198120557348,jabbi,3,4100,3550,3750,semi,6,fce806f201778c31
76561198004115516,cadiaN,3,4150,2500,5400,full,6,fce806f201778c31
76561198342718168,susp,2,3250,3100,3300,force-buy,6,fce806f201778c31
76561197981849043,stanislaw,2,2350,2200,2200,force-buy,6,fce806f201778c31
76561198184153575,JBa,2,2200,0,200,eco,7,fce806f201778c31
76561197975129851,Sonic,2,1900,0,200,eco,7,fce806f201778c31
76561198408199043,phzy,2,1950,0,200,eco,7,fce806f201778c31
76561198120557348,jabbi,3,3800,1100,3550,semi,7,fce806f201778c31
76561198004115516,cadiaN,3,5500,4200,5900,full,7,fce806f201778c31
76561198005107817,Staehr,3,3600,2700,5800,full,7,fce806f201778c31
76561198022365638,stavn,3,4800,4200,5400,full,7,fce806f201778c31
76561197987713664,dev1ce,3,3400,2600,7350,full,7,fce806f201778c31
76561198342718168,susp,2,2050,0,200,eco,7,fce806f201778c31
76561197981849043,stanislaw,2,2350,200,400,eco,7,fce806f201778c31
76561198184153575,JBa,2,4600,4600,4800,full,8,fce806f201778c31
76561197975129851,Sonic,2,4300,4300,4500,full,8,fce806f201778c31
76561198005107817,Staehr,3,4150,800,5800,full,8,fce806f201778c31
76561198120557348,jabbi,3,5950,1300,3750,semi,8,fce806f201778c31
76561198342718168,susp,2,4750,4700,4900,full,8,fce806f201778c31
76561197981849043,stanislaw,2,4550,3450,3450,semi,8,fce806f201778c31
76561198408199043,phzy,2,4350,4200,4600,full,8,fce806f201778c31
76561198022365638,stavn,3,4150,2500,5300,full,8,fce806f201778c31
76561197987713664,dev1ce,3,5250,500,7350,full,8,fce806f201778c31
76561198004115516,cadiaN,3,4550,3400,5900,full,8,fce806f201778c31
76561198408199043,phzy,2,3650,3500,3900,force-buy,9,fce806f201778c31
76561198005107817,Staehr,3,6850,5200,5400,full,9,fce806f201778c31
76561198022365638,stavn,3,5450,4850,5050,full,9,fce806f201778c31
76561197987713664,dev1ce,3,9050,5750,7650,full,9,fce806f201778c31
76561198342718168,susp,2,3550,3500,4800,full,9,fce806f201778c31
76561197981849043,stanislaw,2,5200,5100,4200,full,9,fce806f201778c31
76561197975129851,Sonic,2,4700,4600,4600,full,9,fce806f201778c31
76561198120557348,jabbi,3,8750,5200,5400,full,9,fce806f201778c31
76561198004115516,cadiaN,3,4650,2300,5200,full,9,fce806f201778c31
76561198184153575,JBa,2,3500,3500,4100,full,9,fce806f201778c31
76561198408199043,phzy,2,3650,2200,5100,full,10,fce806f201778c31
76561198005107817,Staehr,3,3050,2300,5400,full,10,fce806f201778c31
76561198022365638,stavn,3,2300,2300,5400,full,10,fce806f201778c31
76561198120557348,jabbi,3,4950,4200,5400,full,10,fce806f201778c31
76561198004115516,cadiaN,3,3750,3750,4950,full,10,fce806f201778c31
76561197987713664,dev1ce,3,4700,1300,7450,full,10,fce806f201778c31
76561198342718168,susp,2,3550,1200,5100,full,10,fce806f201778c31
76561197981849043,stanislaw,2,3900,2200,5100,full,10,fce806f201778c31
76561198184153575,JBa,2,4100,3200,5400,full,10,fce806f201778c31
76561197975129851,Sonic,2,3600,3600,4800,full,10,fce806f201778c31
76561198022365638,stavn,3,2200,1150,1150,semi,11,fce806f201778c31
76561197987713664,dev1ce,3,5300,3550,3950,semi,11,fce806f201778c31
76561198120557348,jabbi,3,3250,1000,1000,eco,11,fce806f201778c31
76561198004115516,cadiaN,3,1900,300,6950,full,11,fce806f201778c31
76561198342718168,susp,2,6450,4900,5100,full,11,fce806f201778c31
76561198184153575,JBa,2,4400,1300,5400,full,11,fce806f201778c31
76561197975129851,Sonic,2,3800,2200,5100,full,11,fce806f201778c31
76561198408199043,phzy,2,4950,4900,5100,full,11,fce806f201778c31
76561198005107817,Staehr,3,2650,500,800,eco,11,fce806f201778c31
76561197981849043,stanislaw,2,5800,3400,5000,full,11,fce806f201778c31
76561198005107817,Staehr,3,4850,4850,5050,full,12,fce806f201778c31
76561198120557348,jabbi,3,4650,4650,4850,full,12,fce806f201778c31
76561197981849043,stanislaw,2,6250,3600,5100,full,12,fce806f201778c31
76561198022365638,stavn,3,3750,3700,3900,force-buy,12,fce806f201778c31
76561197987713664,dev1ce,3,4450,4450,4650,full,12,fce806f201778c31
