frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
14381,11603,1,3,3,0,76561197982141573,Snax,0,0,c32b2a8cd3336bee
24230,19509,2,4,3,0,76561198012872053,huNter,0,0,c32b2a8cd3336bee
31664,25590,3,3,3,0,76561198068002993,HeavyGod,0,0,c32b2a8cd3336bee
41715,33736,4,2,3,0,76561198068002993,HeavyGod,0,0,c32b2a8cd3336bee
53849,43630,5,2,3,0,76561198074762801,m0NESY,0,1,c32b2a8cd3336bee
55888,45407,5,1,2,1,76561198139604328,hyped,1,1,c32b2a8cd3336bee
69654,56538,6,3,3,0,76561198068002993,HeavyGod,1,0,c32b2a8cd3336bee
79595,64598,7,2,3,0,76561198068002993,HeavyGod,0,1,c32b2a8cd3336bee
79648,64647,7,1,2,1,76561198078771373,JDC,1,1,c32b2a8cd3336bee
97889,79266,9,4,3,0,76561197982141573,Snax,0,0,c32b2a8cd3336bee
107341,86822,10,3,3,0,76561198012872053,huNter,0,0,c32b2a8cd3336bee
120795,97400,11,4,3,0,76561198074762801,m0NESY,0,1,c32b2a8cd3336bee
133016,107154,12,3,3,0,76561198068002993,HeavyGod,0,1,c32b2a8cd3336bee
157461,126782,13,3,2,0,76561198012872053,huNter,0,0,c32b2a8cd3336bee
169270,136395,14,3,3,0,76561198170631091,Krimbo,0,0,c32b2a8cd3336bee
186266,149863,16,2,3,0,76561198170631091,Krimbo,0,0,c32b2a8cd3336bee
194774,156576,17,3,3,0,76561198078771373,JDC,0,0,c32b2a8cd3336bee
201133,161593,18,3,3,0,76561198170631091,Krimbo,1,0,c32b2a8cd3336bee
221059,178000,19,4,3,0,76561197961491680,tabseN,0,1,c32b2a8cd3336bee
250274,201526,21,2,2,0,76561198080703143,malbsMd,0,0,c32b2a8cd3336bee
