steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198068002993,HeavyGod,2,800,700,900,pistol,1,54bbdcd43f4bf674
76561198080703143,malbsMd,2,800,650,850,pistol,1,54bbdcd43f4bf674
76561198012872053,huNter,2,800,650,1050,pistol,1,54bbdcd43f4bf674
76561198144926364,kyuubii,3,800,650,850,pistol,1,54bbdcd43f4bf674
76561198078771373,JDC,3,800,650,850,pistol,1,54bbdcd43f4bf674
76561197982141573,Snax,2,800,800,600,pistol,1,54bbdcd43f4bf674
76561198139604328,hyped,3,800,650,850,pistol,1,54bbdcd43f4bf674
76561198074762801,m0NESY,2,800,650,850,pistol,1,54bbdcd43f4bf674
76561197961491680,tabseN,3,800,650,850,pistol,1,54bbdcd43f4bf674
76561198170631091,Krimbo,3,800,650,850,pistol,1,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,2000,300,300,eco,2,54bbdcd43f4bf674
76561198012872053,huNter,2,2050,0,200,eco,2,54bbdcd43f4bf674
76561198144926364,kyuubii,3,3400,3400,4250,semi,2,54bbdcd43f4bf674
76561198078771373,JDC,3,3700,3550,4050,semi,2,54bbdcd43f4bf674
76561198170631091,Krimbo,3,4000,3850,4700,full,2,54bbdcd43f4bf674
76561198080703143,malbsMd,2,2050,0,200,eco,2,54bbdcd43f4bf674
76561198139604328,hyped,3,3700,1900,2750,semi,2,54bbdcd43f4bf674
76561198074762801,m0NESY,2,2050,0,200,eco,2,54bbdcd43f4bf674
76561197961491680,tabseN,3,3700,3550,4500,full,2,54bbdcd43f4bf674
76561197982141573,Snax,2,1900,0,200,eco,2,54bbdcd43f4bf674
76561197982141573,Snax,2,4300,4200,4800,full,3,54bbdcd43f4bf674
76561198080703143,malbsMd,2,4750,4600,4800,full,3,54bbdcd43f4bf674
76561198012872053,huNter,2,4450,4400,4300,full,3,54bbdcd43f4bf674
76561198139604328,hyped,3,5050,5050,5750,full,3,54bbdcd43f4bf674
76561198074762801,m0NESY,2,4450,4400,4600,full,3,54bbdcd43f4bf674
76561197961491680,tabseN,3,4300,4200,5500,full,3,54bbdcd43f4bf674
76561198144926364,kyuubii,3,3550,1400,5800,full,3,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,4400,4400,4600,full,3,54bbdcd43f4bf674
76561198078771373,JDC,3,3400,2250,5500,full,3,54bbdcd43f4bf674
76561198170631091,Krimbo,3,3700,1950,5050,full,3,54bbdcd43f4bf674
76561198074762801,m0NESY,2,3850,900,5100,full,4,54bbdcd43f4bf674
76561198144926364,kyuubii,3,3550,3550,2100,force-buy,4,54bbdcd43f4bf674
76561197982141573,Snax,2,3600,2200,5100,full,4,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,4100,3800,5000,full,4,54bbdcd43f4bf674
76561198139604328,hyped,3,1500,1450,6200,full,4,54bbdcd43f4bf674
76561197961491680,tabseN,3,1800,1800,2300,force-buy,4,54bbdcd43f4bf674
76561198078771373,JDC,3,2550,2400,4250,force-buy,4,54bbdcd43f4bf674
76561198170631091,Krimbo,3,3150,3000,3200,force-buy,4,54bbdcd43f4bf674
76561198080703143,malbsMd,2,4250,3900,5100,full,4,54bbdcd43f4bf674
76561198012872053,huNter,2,3550,2400,5000,full,4,54bbdcd43f4bf674
76561198074762801,m0NESY,2,6750,900,5000,full,5,54bbdcd43f4bf674
76561197961491680,tabseN,3,1900,0,500,eco,5,54bbdcd43f4bf674
76561198170631091,Krimbo,3,2050,0,2900,semi,5,54bbdcd43f4bf674
76561197982141573,Snax,2,4900,1400,5300,full,5,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,3800,700,5000,full,5,54bbdcd43f4bf674
76561198012872053,huNter,2,4950,700,5000,full,5,54bbdcd43f4bf674
76561198139604328,hyped,3,1950,0,6200,full,5,54bbdcd43f4bf674
76561198144926364,kyuubii,3,1900,300,2400,semi,5,54bbdcd43f4bf674
76561198078771373,JDC,3,2050,0,3750,semi,5,54bbdcd43f4bf674
76561198080703143,malbsMd,2,3850,1000,5100,full,5,54bbdcd43f4bf674
76561198074762801,m0NESY,2,10300,1100,7050,full,6,54bbdcd43f4bf674
76561197961491680,tabseN,3,4300,4150,4350,force-buy,6,54bbdcd43f4bf674
76561198170631091,Krimbo,3,4450,4350,4550,full,6,54bbdcd43f4bf674
76561197982141573,Snax,2,6750,1100,5300,full,6,54bbdcd43f4bf674
76561198080703143,malbsMd,2,6400,4900,5100,full,6,54bbdcd43f4bf674
76561198139604328,hyped,3,4450,4350,4550,full,6,54bbdcd43f4bf674
76561198144926364,kyuubii,3,4600,4550,4750,full,6,54bbdcd43f4bf674
76561198078771373,JDC,3,4450,4350,4750,full,6,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,6650,1100,5000,full,6,54bbdcd43f4bf674
76561198012872053,huNter,2,7500,4800,5000,full,6,54bbdcd43f4bf674
76561198170631091,Krimbo,3,3950,3750,5300,full,7,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,7250,4800,4600,full,7,54bbdcd43f4bf674
76561198139604328,hyped,3,3950,3750,6950,full,7,54bbdcd43f4bf674
76561197961491680,tabseN,3,3400,1700,5450,full,7,54bbdcd43f4bf674
76561198078771373,JDC,3,3350,2700,5600,full,7,54bbdcd43f4bf674
76561197982141573,Snax,2,7050,6900,5000,full,7,54bbdcd43f4bf674
76561198080703143,malbsMd,2,2900,2400,5100,full,7,54bbdcd43f4bf674
76561198012872053,huNter,2,4100,2400,5000,full,7,54bbdcd43f4bf674
76561198074762801,m0NESY,2,10700,9550,7050,full,7,54bbdcd43f4bf674
76561198144926364,kyuubii,3,3600,2700,5800,full,7,54bbdcd43f4bf674
76561198078771373,JDC,3,2850,700,700,eco,8,54bbdcd43f4bf674
76561197982141573,Snax,2,3650,2100,5000,full,8,54bbdcd43f4bf674
76561198068002993,HeavyGod,2,5950,3800,4700,full,8,54bbdcd43f4bf674
76561198012872053,huNter,2,5800,1400,5000,full,8,54bbdcd43f4bf674
76561198139604328,hyped,3,2100,0,5950,full,8,54bbdcd43f4bf674
76561198074762801,m0NESY,2,4950,1100,7050,full,8,54bbdcd43f4bf674
