name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
kyxsan,76561198057282432,19,Team-Falcons,6,5,14,4,66,0.428571,57.894737,59.894737,0.315789,0.736842,6.315790,0,-1,0,0,0,0,1,0,1138,372,120,4,5,10,6,5,1,0,0,0,0,3,5,10,6,5,1,6,4,2,0,0,4,1,0,0,0,0.582245,0.509595,CSGO-NGmEp-xXa8d-JQ2yu-V2Gth-mRFuA,2,0,14efc1a4233d5731
NiKo,76561198041683378,22,Team-Falcons,9,4,16,6,66,0.562500,57.894737,55.157894,0.473684,0.842105,11.105263,1,-1,0,0,0,0,0,0,1048,243,211,3,4,9,5,4,1,0,0,0,0,2,4,9,5,4,2,5,2,5,0,2,3,3,0,0,0,0.642223,0.616485,CSGO-9ZtTW-bssHV-79Air-xZuae-mUqhH,4,0,14efc1a4233d5731
XANTARES,76561198044118796,40,Eternal-Fire,16,9,12,6,37,1.333333,84.210526,98.789474,0.842105,0.631579,12.157895,2,-1,0,0,0,0,0,0,1877,345,231,2,3,8,4,3,1,0,0,0,0,1,3,8,4,3,7,3,1,7,0,2,7,3,1,0,0,1.430795,1.188068,CSGO-xbpe2-E24RJ-YXNuO-pQvt8-ppNAK,3,0,14efc1a4233d5731
Wicadia,76561198812513923,36,Eternal-Fire,14,2,12,9,64,1.166667,84.210526,79.421051,0.736842,0.631579,1.157895,3,-1,0,0,0,1,0,0,1509,214,22,1,2,7,3,2,1,0,0,0,0,0,2,7,3,2,2,0,1,4,0,0,6,4,0,0,0,1.241130,1.039061,CSGO-iRLZY-unsZK-vx7BH-yoFnk-h3urD,1,0,14efc1a4233d5731
Magisk,76561197983956651,23,Team-Falcons,9,2,13,8,88,0.692308,73.684212,55.105263,0.473684,0.684211,3.894737,1,-1,0,0,0,0,1,0,1047,121,74,2,3,8,4,3,1,0,0,0,0,1,3,8,4,3,1,1,2,1,0,0,7,1,0,0,0,0.830973,0.684560,CSGO-roNHs-zXRHO-uJUkC-9DUU8-euzQN,0,0,14efc1a4233d5731
MAJ3R,76561197967432889,43,Eternal-Fire,10,6,7,2,20,1.428571,94.736847,63.473682,0.526316,0.368421,5.000000,4,-1,0,0,0,5,0,0,1206,211,95,4,5,10,6,5,1,0,0,0,0,3,5,10,6,5,2,2,1,1,0,1,8,1,0,0,0,1.246185,0.986803,CSGO-sueKV-WM8YR-HZ9MS-N7k4K-8MeFO,0,0,14efc1a4233d5731
woxic,76561198083485506,42,Eternal-Fire,14,5,10,5,35,1.400000,84.210526,71.421051,0.736842,0.526316,15.842105,3,-1,0,0,0,2,0,0,1357,261,301,2,3,8,4,3,1,0,0,0,0,1,3,8,4,3,1,0,7,2,0,0,5,3,1,0,0,1.287354,1.186210,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,4,0,14efc1a4233d5731
degster,76561198799340122,29,Team-Falcons,13,4,13,7,53,1.000000,68.421051,75.052635,0.684211,0.684211,3.578947,2,-1,0,0,0,0,0,0,1426,264,68,2,3,8,4,3,1,0,0,0,0,1,3,8,4,3,0,1,3,2,0,0,3,4,1,0,0,1.048836,1.058897,CSGO-mEr3O-qc3qm-Py58r-YjQpR-Ms8rN,3,0,14efc1a4233d5731
TeSeS,76561197996678278,29,Team-Falcons,11,5,11,4,36,1.000000,78.947372,67.105263,0.578947,0.578947,6.368421,2,-1,0,0,0,2,0,0,1275,277,121,3,4,9,5,4,2,1,1,1,1,1,3,8,4,3,1,1,2,3,0,1,5,0,2,0,0,1.070602,1.011245,CSGO-uLn8i-swG3v-e2ri9-mdzAH-usW5F,1,0,14efc1a4233d5731
jottAAA,76561198410750263,36,Eternal-Fire,12,1,8,6,50,1.500000,73.684212,60.000000,0.631579,0.421053,0.000000,1,-1,0,0,0,2,0,0,1140,198,0,2,3,8,4,3,1,0,0,0,0,1,3,8,4,3,2,0,4,2,0,0,8,2,0,0,0,1.118104,1.062235,CSGO-BxYA4-u8xrB-voGTj-t6Jyr-ruWPA,2,0,14efc1a4233d5731
