frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
1685,1353,1,history,76561198885430317,2,Fluxo CS2,history,76561198885430317,2,Fluxo CS2,,0,0,,World,world,0,0,0,0,0,0,1216.000000,-16.000000,-163.968750,0,0,1216.000000,-16.000000,-163.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,88348cc9229176
4621,3880,1,woxic,76561198083485506,3,Eternal-Fire,woxic,76561198083485506,3,Eternal-Fire,,0,0,,World,world,0,0,0,0,0,0,-1776.000000,-1976.000000,-263.968750,0,0,-1776.000000,-1976.000000,-263.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,88348cc9229176
4878,4111,1,history,76561198885430317,2,Fluxo CS2,history,76561198885430317,2,Fluxo CS2,,0,0,,World,world,0,0,0,0,0,0,1216.000000,-16.000000,-163.968750,0,0,1216.000000,-16.000000,-163.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,0.000000,88348cc9229176
5216,4391,1,history,76561198885430317,2,Fluxo CS2,history,76561198885430317,2,Fluxo CS2,,0,0,,World,world,0,0,0,0,0,0,1216.000000,-16.000000,-163.968750,0,0,1216.000000,-16.000000,-163.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,0.000000,88348cc9229176
17101,14270,1,jottAAA,76561198410750263,3,Eternal-Fire,kye,76561199096031141,2,Fluxo CS2,,0,0,,USP-S,pistol,1,0,0,0,0,0,-904.744080,-287.017334,-167.476868,0,0,-0.660889,-494.463013,-175.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.696100,88348cc9229176
17677,14786,1,piriajr,76561198396338183,2,Fluxo CS2,jottAAA,76561198410750263,3,Eternal-Fire,,0,0,,P250,pistol,1,0,0,0,0,0,-623.102844,-362.674927,-161.302490,0,0,-1028.019653,-62.578735,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.799959,88348cc9229176
17724,14829,1,nicks,76561198254423843,2,Fluxo CS2,MAJ3R,76561197967432889,3,Eternal-Fire,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1635.868530,812.467224,-47.968750,0,0,-2328.613281,129.462402,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.900736,88348cc9229176
19508,16400,1,woxic,76561198083485506,3,Eternal-Fire,history,76561198885430317,2,Fluxo CS2,,0,0,,P2000,pistol,1,0,0,0,0,0,-2393.527588,-115.759399,-163.054626,0,0,-2253.919189,529.382507,-165.718750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,16.766039,88348cc9229176
19725,16595,1,piriajr,76561198396338183,2,Fluxo CS2,Wicadia,76561198812513923,3,Eternal-Fire,,0,0,,P250,pistol,1,0,0,0,0,0,-1277.465820,442.239746,-166.435608,0,0,-2210.811279,255.902939,-159.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.117535,88348cc9229176
19779,16644,1,nicks,76561198254423843,2,Fluxo CS2,woxic,76561198083485506,3,Eternal-Fire,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-2509.201172,295.556610,-167.968750,0,0,-2338.788086,25.373907,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,8.110361,88348cc9229176
