number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,4728,6023,9548,11623,9996,12159,Team A,Team B,1,0,3,2,4000,4000,4250,4700,3450,3300,pistol,pistol,145739,7,Team A,3,0,60e3db804b37fdf9
2,9996,12159,11276,14081,18492,22601,18940,23166,Team A,Team B,2,0,3,2,19850,14400,19900,13400,18300,13000,semi,force-buy,130942,8,Team A,3,0,60e3db804b37fdf9
3,18940,23166,20220,25006,23582,29056,24030,29586,Team A,Team B,3,0,3,2,19900,13700,25250,2700,4600,2700,full,eco,73860,8,Team A,3,0,60e3db804b37fdf9
4,24030,29586,25310,31525,34719,42620,35167,43144,Team A,Team B,3,1,3,2,33050,25800,29000,26400,9850,25400,full,full,163445,1,Team B,2,0,60e3db804b37fdf9
5,35167,43144,36447,45124,43581,53627,44029,54166,Team A,Team B,4,1,3,2,30900,19000,30900,26050,23450,15600,full,full,131456,8,Team A,3,0,60e3db804b37fdf9
6,44029,54166,45309,56005,48994,60550,49442,61150,Team A,Team B,5,1,3,2,24800,15800,30050,6900,11800,6700,full,semi,80055,8,Team A,3,0,60e3db804b37fdf9
7,49442,61150,50722,63093,59448,73723,59896,74257,Team A,Team B,5,2,3,2,30550,22800,33050,23600,9900,22600,full,full,157664,1,Team B,2,0,60e3db804b37fdf9
8,59896,74257,61176,76264,62779,78358,63227,78917,Team A,Team B,6,2,3,2,28250,18900,32100,21700,18800,16400,full,full,51426,8,Team A,3,0,60e3db804b37fdf9
9,63227,78917,64507,80741,68660,85772,69108,86322,Team A,Team B,7,2,3,2,27000,15100,29850,4200,10600,4000,full,eco,85961,8,Team A,3,0,60e3db804b37fdf9
10,69108,86322,70388,88415,80255,99960,80703,100482,Team A,Team B,7,3,3,2,34150,25900,31150,25850,8200,24850,full,full,171019,1,Team B,2,0,60e3db804b37fdf9
11,83255,104215,84535,106004,91636,114554,92084,115110,Team A,Team B,8,3,3,2,34150,19850,30450,22400,23750,18150,full,full,129650,8,Team A,3,0,60e3db804b37fdf9
12,92084,115110,93364,117068,98593,123533,99137,124180,Team A,Team B,9,3,3,2,27950,14300,31050,12800,15600,12800,full,force-buy,105624,7,Team A,3,0,60e3db804b37fdf9
13,99137,124180,112419,141955,116215,146393,116663,146955,Team A,Team B,10,3,2,3,4000,4000,4750,4000,3350,3400,pistol,pistol,278550,9,Team A,2,0,60e3db804b37fdf9
14,116663,146955,117943,149055,122080,153974,122528,154521,Team A,Team B,11,3,2,3,18700,10400,19500,1200,17350,200,semi,eco,88017,9,Team A,2,0,60e3db804b37fdf9
15,122528,154521,123808,156487,127906,161483,128354,162029,Team A,Team B,12,3,2,3,20000,23100,20550,23900,12900,22900,full,full,87303,9,Team A,2,0,60e3db804b37fdf9
16,128354,162029,129634,164113,136964,172943,136964,172943,Team A,Team B,13,3,2,3,24650,18200,23750,16600,19150,15600,full,force-buy,136861,9,Team A,2,0,60e3db804b37fdf9
