steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561199063238565,magixx,2,800,650,1050,pistol,1,6defc9f121e256a4
76561198081484775,sh1ro,2,800,650,1150,pistol,1,6defc9f121e256a4
76561197987212623,INS,3,800,650,850,pistol,1,6defc9f121e256a4
76561198072321716,Liazz,3,800,650,850,pistol,1,6defc9f121e256a4
76561198098463229,regali,3,800,650,1250,pistol,1,6defc9f121e256a4
76561198052888143,vexite,3,800,650,950,pistol,1,6defc9f121e256a4
76561198061801241,dexter,3,800,700,600,pistol,1,6defc9f121e256a4
76561198045898864,chopper,2,800,800,400,pistol,1,6defc9f121e256a4
76561198995880877,zont1x,2,800,800,1300,pistol,1,6defc9f121e256a4
76561198386265483,donk,2,800,650,850,pistol,1,6defc9f121e256a4
76561197987212623,INS,3,2350,0,200,eco,2,6defc9f121e256a4
76561198072321716,Liazz,3,2050,0,200,eco,2,6defc9f121e256a4
76561198045898864,chopper,2,3850,3700,4000,full,2,6defc9f121e256a4
76561198995880877,zont1x,2,3850,3700,3900,semi,2,6defc9f121e256a4
76561198386265483,donk,2,3700,3700,4800,full,2,6defc9f121e256a4
76561198061801241,dexter,3,2000,200,400,eco,2,6defc9f121e256a4
76561198098463229,regali,3,2050,0,200,eco,2,6defc9f121e256a4
76561198052888143,vexite,3,2050,0,200,eco,2,6defc9f121e256a4
76561199063238565,magixx,2,3700,3700,3900,semi,2,6defc9f121e256a4
76561198081484775,sh1ro,2,3400,1000,1600,semi,2,6defc9f121e256a4
76561198072321716,Liazz,3,4450,4350,4550,full,3,6defc9f121e256a4
76561198045898864,chopper,2,4000,2100,4100,full,3,6defc9f121e256a4
76561198098463229,regali,3,4450,4250,4450,force-buy,3,6defc9f121e256a4
76561198995880877,zont1x,2,3400,1200,5100,full,3,6defc9f121e256a4
76561198386265483,donk,2,4150,1100,5000,full,3,6defc9f121e256a4
76561199063238565,magixx,2,3250,800,4100,full,3,6defc9f121e256a4
76561197987212623,INS,3,4750,4650,4850,full,3,6defc9f121e256a4
76561198052888143,vexite,3,4750,4700,4900,full,3,6defc9f121e256a4
76561198061801241,dexter,3,4200,4150,4350,force-buy,3,6defc9f121e256a4
76561198081484775,sh1ro,2,5650,5050,6750,full,3,6defc9f121e256a4
76561199063238565,magixx,2,5950,4900,5100,full,4,6defc9f121e256a4
76561198061801241,dexter,3,2950,1700,1900,semi,4,6defc9f121e256a4
76561198081484775,sh1ro,2,4500,1000,7250,full,4,6defc9f121e256a4
76561198072321716,Liazz,3,3300,600,4750,full,4,6defc9f121e256a4
76561198045898864,chopper,2,6000,4800,5000,full,4,6defc9f121e256a4
76561198098463229,regali,3,3100,500,500,eco,4,6defc9f121e256a4
76561198995880877,zont1x,2,6000,1000,5200,full,4,6defc9f121e256a4
76561198052888143,vexite,3,3550,1750,1750,semi,4,6defc9f121e256a4
76561198386265483,donk,2,6550,4800,5100,full,4,6defc9f121e256a4
76561197987212623,INS,3,3000,0,500,eco,4,6defc9f121e256a4
76561198098463229,regali,3,6300,6200,6600,full,5,6defc9f121e256a4
76561198061801241,dexter,3,4950,2700,5800,full,5,6defc9f121e256a4
76561198995880877,zont1x,2,8800,7600,5100,full,5,6defc9f121e256a4
76561198052888143,vexite,3,5200,5200,5400,full,5,6defc9f121e256a4
76561198386265483,donk,2,5850,4800,5000,full,5,6defc9f121e256a4
76561199063238565,magixx,2,4850,4100,5000,full,5,6defc9f121e256a4
76561198081484775,sh1ro,2,7000,2200,7150,full,5,6defc9f121e256a4
76561197987212623,INS,3,5600,5250,5950,full,5,6defc9f121e256a4
76561198072321716,Liazz,3,6400,5800,5800,full,5,6defc9f121e256a4
76561198045898864,chopper,2,5000,2100,5000,full,5,6defc9f121e256a4
76561198061801241,dexter,3,5950,5200,7250,full,6,6defc9f121e256a4
76561198081484775,sh1ro,2,8300,6450,6650,full,6,6defc9f121e256a4
76561198072321716,Liazz,3,4000,4000,5500,full,6,6defc9f121e256a4
76561198045898864,chopper,2,6400,4800,5000,full,6,6defc9f121e256a4
76561198995880877,zont1x,2,5000,2200,5100,full,6,6defc9f121e256a4
76561198052888143,vexite,3,3400,2700,5800,full,6,6defc9f121e256a4
76561198386265483,donk,2,4850,500,5000,full,6,6defc9f121e256a4
76561197987212623,INS,3,4050,1500,5950,full,6,6defc9f121e256a4
76561198098463229,regali,3,3600,500,6600,full,6,6defc9f121e256a4
76561199063238565,magixx,2,4550,3400,5200,full,6,6defc9f121e256a4
76561198098463229,regali,3,6500,4850,6900,full,7,6defc9f121e256a4
76561198995880877,zont1x,2,6600,3900,5300,full,7,6defc9f121e256a4
76561198052888143,vexite,3,4100,2350,5450,full,7,6defc9f121e256a4
76561198386265483,donk,2,7850,4800,5000,full,7,6defc9f121e256a4
76561199063238565,magixx,2,4950,1400,5300,full,7,6defc9f121e256a4
