number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1245,1402,2453,2738,2901,3235,Team A,Team B,1,0,3,2,0,0,3250,3250,0,0,pistol,pistol,35369,8,Team A,3,0,569a1128a75ef5ff
3,4712,5334,9452,11266,17506,20446,17954,20984,FURIA Esports_1,BetBoom Team,1,1,3,2,4000,4000,4450,4300,3450,3300,eco,eco,195290,9,BetBoom Team,2,0,569a1128a75ef5ff
4,17954,20984,19234,22651,24340,28626,24788,29152,FURIA Esports_1,BetBoom Team,2,1,3,2,10350,18750,1300,19950,300,18100,eco,semi,98756,8,FURIA Esports_1,3,0,569a1128a75ef5ff
5,24788,29152,26068,30832,31686,37546,32134,38094,FURIA Esports_1,BetBoom Team,3,1,3,2,27800,8550,26950,7650,20550,7450,full,force-buy,108474,8,FURIA Esports_1,3,0,569a1128a75ef5ff
6,32134,38094,33414,39858,36509,43615,36957,44144,FURIA Esports_1,BetBoom Team,4,1,3,2,25000,9900,28800,1000,6150,0,full,eco,71347,8,FURIA Esports_1,3,0,569a1128a75ef5ff
7,36957,44144,38237,45937,45549,54629,45997,55155,FURIA Esports_1,BetBoom Team,4,2,3,2,36600,22200,30750,22500,11550,21500,full,full,135496,9,BetBoom Team,2,0,569a1128a75ef5ff
8,48904,58964,50184,60809,59485,71914,59933,72432,FURIA Esports_1,BetBoom Team,4,3,3,2,33250,18750,29600,19350,28900,18350,full,semi,167351,1,BetBoom Team,2,0,569a1128a75ef5ff
9,62992,76308,64272,77995,71837,87076,72285,87632,FURIA Esports_1,BetBoom Team,5,3,3,2,14550,19100,22450,26150,13400,15400,force-buy,full,139153,7,FURIA Esports_1,3,0,569a1128a75ef5ff
10,72285,87632,73565,89430,80411,97426,80859,97954,FURIA Esports_1,BetBoom Team,6,3,3,2,21050,14600,29750,1600,14900,1000,full,eco,126566,8,FURIA Esports_1,3,0,569a1128a75ef5ff
11,80859,97954,82139,99722,87904,106724,88352,107297,FURIA Esports_1,BetBoom Team,6,4,3,2,23500,23700,29250,23800,14100,22800,full,full,113333,1,BetBoom Team,2,0,569a1128a75ef5ff
12,88352,107297,89632,109185,96329,117191,96777,117713,FURIA Esports_1,BetBoom Team,6,5,3,2,16700,19400,27400,27000,15300,8400,full,full,127859,9,BetBoom Team,2,0,569a1128a75ef5ff
13,96777,117713,98057,119412,101631,123679,102079,124224,FURIA Esports_1,BetBoom Team,6,6,3,2,11900,28750,1700,27150,1300,20400,eco,full,77097,9,BetBoom Team,2,0,569a1128a75ef5ff
14,102079,124224,103359,126104,110449,134682,110993,135333,FURIA Esports_1,BetBoom Team,6,7,3,2,23200,26400,23950,28750,22950,13100,full,full,135147,9,BetBoom Team,2,0,569a1128a75ef5ff
15,110993,135333,123878,150982,129278,157269,129726,157825,FURIA Esports_1,BetBoom Team,6,8,2,3,4000,4000,4350,4200,3350,3400,pistol,pistol,283476,7,BetBoom Team,3,0,569a1128a75ef5ff
16,129726,157825,131006,159687,139832,170004,140280,170536,FURIA Esports_1,BetBoom Team,6,9,2,3,13750,19900,14250,21100,13350,19050,force-buy,semi,157387,7,BetBoom Team,3,0,569a1128a75ef5ff
17,143290,174335,150250,182835,158357,192334,158805,192848,FURIA Esports_1,BetBoom Team,7,9,2,3,16900,20750,17500,25200,16400,19800,force-buy,full,232599,1,FURIA Esports_1,2,0,569a1128a75ef5ff
18,158805,192848,160085,194608,167445,203393,167893,203943,FURIA Esports_1,BetBoom Team,7,10,2,3,19200,8450,23600,15300,15800,5450,full,semi,136271,12,BetBoom Team,3,0,569a1128a75ef5ff
19,170948,207902,172228,209605,178632,217174,179080,217711,FURIA Esports_1,BetBoom Team,7,11,2,3,9700,20450,13100,29400,9400,16150,force-buy,full,119821,8,BetBoom Team,3,0,569a1128a75ef5ff
20,179080,217711,180360,219461,182395,221968,182843,222544,FURIA Esports_1,BetBoom Team,7,12,2,3,13200,21850,6500,29850,6300,18000,semi,full,55012,8,BetBoom Team,3,0,569a1128a75ef5ff
21,182843,222544,184123,224504,193422,235554,193870,236073,FURIA Esports_1,BetBoom Team,8,12,2,3,21700,21200,22800,30450,21400,8700,full,full,168126,1,FURIA Esports_1,2,0,569a1128a75ef5ff
22,193870,236073,195150,237929,202259,246469,202259,246469,FURIA Esports_1,BetBoom Team,8,13,2,3,17900,22500,25400,27100,13700,15150,full,full,134346,8,BetBoom Team,3,0,569a1128a75ef5ff
