number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1220,1379,2556,2864,3004,3357,Team A,Team B,0,1,3,2,0,0,3250,3250,0,0,pistol,pistol,37358,9,Team B,2,0,39ee7741554cb1d4
3,4742,5361,11525,13709,16191,19091,16639,19636,HEROIC,Liquid,1,1,3,2,4000,4000,4500,4400,3400,3600,eco,eco,179157,8,HEROIC,3,0,39ee7741554cb1d4
4,16639,19636,17919,21410,22611,27016,23059,27543,HEROIC,Liquid,2,1,3,2,18350,10800,21550,9200,18000,9500,semi,force-buy,96298,7,HEROIC,3,0,39ee7741554cb1d4
5,23059,27543,24339,29211,26972,32419,27420,32959,HEROIC,Liquid,3,1,3,2,19950,17800,21750,19000,18500,17400,semi,force-buy,63625,8,HEROIC,3,0,39ee7741554cb1d4
6,27420,32959,28700,34645,37308,44691,37756,45216,HEROIC,Liquid,3,2,3,2,19500,15500,24200,7500,11950,7200,full,semi,153086,9,Liquid,2,0,39ee7741554cb1d4
7,37756,45216,39036,46901,47498,56860,47946,57375,HEROIC,Liquid,3,3,3,2,16350,26350,15950,27350,14950,21950,force-buy,full,151938,1,Liquid,2,0,39ee7741554cb1d4
8,47946,57375,49226,59024,55653,66461,56101,66985,HEROIC,Liquid,3,4,3,2,11800,22900,5950,27550,800,13000,semi,full,118559,9,Liquid,2,0,39ee7741554cb1d4
9,56101,66985,57381,68800,64741,77456,65189,77987,HEROIC,Liquid,4,4,3,2,25600,27650,26250,27450,25250,20600,full,full,136632,12,HEROIC,3,0,39ee7741554cb1d4
10,67668,80951,68948,82556,71442,85623,71890,86178,HEROIC,Liquid,5,4,3,2,17600,12950,28150,7500,11950,3100,full,semi,60963,8,HEROIC,3,0,39ee7741554cb1d4
11,71890,86178,73170,87857,77105,92552,77553,93086,HEROIC,Liquid,5,5,3,2,23400,19650,29050,20100,9250,19300,full,full,83171,9,Liquid,2,0,39ee7741554cb1d4
12,77553,93086,78833,94815,85043,102120,85491,102646,HEROIC,Liquid,5,6,3,2,22050,18400,22050,20350,21250,18350,force-buy,full,117881,1,Liquid,2,0,39ee7741554cb1d4
13,85491,102646,86771,104259,95812,114641,96260,115163,HEROIC,Liquid,5,7,3,2,10700,19050,7400,26100,2050,12900,semi,full,156518,1,Liquid,2,0,39ee7741554cb1d4
14,96260,115163,97540,116911,104273,124868,104817,125505,HEROIC,Liquid,6,7,3,2,21350,25150,22550,25000,18050,19550,full,full,126636,7,HEROIC,3,0,39ee7741554cb1d4
15,104817,125505,117892,141401,120294,144235,120742,144765,HEROIC,Liquid,6,8,2,3,4000,4000,4550,4450,3350,3450,pistol,pistol,244400,8,Liquid,3,0,39ee7741554cb1d4
16,120742,144765,122022,146464,124909,149992,125357,150530,HEROIC,Liquid,6,9,2,3,11950,18300,12400,19200,11700,17150,force-buy,semi,68205,8,Liquid,3,0,39ee7741554cb1d4
17,125357,150530,126637,152223,129454,155563,129902,156129,HEROIC,Liquid,6,10,2,3,13150,20100,6700,22350,6300,14750,semi,semi,65673,8,Liquid,3,0,39ee7741554cb1d4
18,132266,159030,133546,160673,139606,167839,140054,168387,HEROIC,Liquid,7,10,2,3,21650,24000,21750,28250,20750,10250,full,full,114945,1,HEROIC,2,0,39ee7741554cb1d4
19,140054,168387,141334,170143,146476,176322,146924,176873,HEROIC,Liquid,8,10,2,3,20200,21050,26950,27000,8700,18800,full,full,103540,1,HEROIC,2,0,39ee7741554cb1d4
20,149600,180152,150880,181681,156893,188863,157341,189395,HEROIC,Liquid,9,10,2,3,29600,12050,27150,28100,10050,9300,full,full,113666,1,HEROIC,2,0,39ee7741554cb1d4
21,157341,189395,158621,191112,165389,199132,165837,199638,HEROIC,Liquid,10,10,2,3,37650,15050,27150,27600,9300,8050,full,full,127054,1,HEROIC,2,0,39ee7741554cb1d4
22,168212,202569,169492,204197,176246,212212,176694,212759,HEROIC,Liquid,11,10,2,3,46850,21600,25100,27900,9450,17850,full,full,125827,9,HEROIC,2,0,39ee7741554cb1d4
23,176694,212759,177974,214440,186352,224269,186800,224814,HEROIC,Liquid,12,10,2,3,55450,21150,25100,21500,12200,20500,full,force-buy,150189,1,HEROIC,2,0,39ee7741554cb1d4
24,186800,224814,188080,226499,190204,229215,190652,229777,HEROIC,Liquid,12,11,2,3,60250,18250,25800,25000,14400,15800,full,full,57427,8,Liquid,3,0,39ee7741554cb1d4
25,192670,232303,193950,233871,199583,240645,199583,240645,HEROIC,Liquid,13,11,2,3,43850,24750,27550,29350,26750,11050,full,full,108851,9,HEROIC,2,0,39ee7741554cb1d4
