steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198045433304,Ax1Le,2,800,650,850,pistol,1,8099f5bd95004f24
76561198855375325,Jimpphat,3,800,800,200,pistol,1,8099f5bd95004f24
76561198167785069,s1ren,2,800,650,850,pistol,1,8099f5bd95004f24
76561198355739212,torzsi,3,800,650,850,pistol,1,8099f5bd95004f24
76561198150673360,siuhy,3,800,700,1400,pistol,1,8099f5bd95004f24
76561198193174134,xertioN,3,800,650,950,pistol,1,8099f5bd95004f24
76561198146207066,Boombl4,2,800,700,900,pistol,1,8099f5bd95004f24
76561198372023214,Magnojez,2,800,650,850,pistol,1,8099f5bd95004f24
76561198059614402,zorte,2,800,700,900,pistol,1,8099f5bd95004f24
76561198138828475,Brollan,3,800,650,850,pistol,1,8099f5bd95004f24
76561198138828475,Brollan,3,3650,3550,3750,semi,2,8099f5bd95004f24
76561198372023214,Magnojez,2,2650,700,700,eco,2,8099f5bd95004f24
76561198045433304,Ax1Le,2,3550,0,200,eco,2,8099f5bd95004f24
76561198855375325,Jimpphat,3,3800,3800,5200,full,2,8099f5bd95004f24
76561198150673360,siuhy,3,3900,3750,3450,semi,2,8099f5bd95004f24
76561198193174134,xertioN,3,4550,4500,5300,full,2,8099f5bd95004f24
76561198146207066,Boombl4,2,2600,700,700,eco,2,8099f5bd95004f24
76561198059614402,zorte,2,2900,700,700,eco,2,8099f5bd95004f24
76561198167785069,s1ren,2,2650,0,200,eco,2,8099f5bd95004f24
76561198355739212,torzsi,3,3950,3900,3300,semi,2,8099f5bd95004f24
76561198855375325,Jimpphat,3,3250,1700,5800,full,3,8099f5bd95004f24
76561198167785069,s1ren,2,5050,4900,5100,full,3,8099f5bd95004f24
76561198355739212,torzsi,3,3600,1200,4500,full,3,8099f5bd95004f24
76561198045433304,Ax1Le,2,5950,5950,4100,full,3,8099f5bd95004f24
76561198150673360,siuhy,3,4600,3900,6300,full,3,8099f5bd95004f24
76561198193174134,xertioN,3,3900,1300,5900,full,3,8099f5bd95004f24
76561198138828475,Brollan,3,3350,600,3750,semi,3,8099f5bd95004f24
76561198146207066,Boombl4,2,4300,3900,4100,full,3,8099f5bd95004f24
76561198372023214,Magnojez,2,4350,4200,4400,full,3,8099f5bd95004f24
76561198059614402,zorte,2,4600,4600,6850,full,3,8099f5bd95004f24
76561198167785069,s1ren,2,3650,1200,5100,full,4,8099f5bd95004f24
76561198355739212,torzsi,3,3800,3700,4100,force-buy,4,8099f5bd95004f24
76561198150673360,siuhy,3,2100,2000,3450,force-buy,4,8099f5bd95004f24
76561198146207066,Boombl4,2,4200,2100,5000,full,4,8099f5bd95004f24
76561198372023214,Magnojez,2,4250,3800,5000,full,4,8099f5bd95004f24
76561198045433304,Ax1Le,2,3500,1100,5000,full,4,8099f5bd95004f24
