steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198355739212,torzsi,2,800,650,950,pistol,1,d53f2850c300c053
76561198167785069,s1ren,3,800,650,950,pistol,1,d53f2850c300c053
76561198193174134,xertioN,2,800,650,850,pistol,1,d53f2850c300c053
76561198059614402,zorte,3,800,650,850,pistol,1,d53f2850c300c053
76561198855375325,Jimpphat,2,800,800,700,pistol,1,d53f2850c300c053
76561198045433304,Ax1Le,3,800,650,950,pistol,1,d53f2850c300c053
76561198150673360,siuhy,2,800,800,800,pistol,1,d53f2850c300c053
76561198138828475,Brollan,2,800,650,1050,pistol,1,d53f2850c300c053
76561198372023214,Magnojez,3,800,650,850,pistol,1,d53f2850c300c053
76561198146207066,Boombl4,3,800,800,400,pistol,1,d53f2850c300c053
76561198855375325,Jimpphat,2,1900,0,200,eco,2,d53f2850c300c053
76561198150673360,siuhy,2,2200,0,1900,semi,2,d53f2850c300c053
76561198355739212,torzsi,2,2050,0,1900,semi,2,d53f2850c300c053
76561198167785069,s1ren,3,3700,3550,3650,semi,2,d53f2850c300c053
76561198059614402,zorte,3,3400,3200,4250,semi,2,d53f2850c300c053
76561198138828475,Brollan,2,2050,0,200,eco,2,d53f2850c300c053
76561198372023214,Magnojez,3,4000,3900,4300,semi,2,d53f2850c300c053
76561198146207066,Boombl4,3,3550,3550,3750,semi,2,d53f2850c300c053
76561198045433304,Ax1Le,3,3700,3550,4500,full,2,d53f2850c300c053
76561198193174134,xertioN,2,2050,0,1900,semi,2,d53f2850c300c053
76561198146207066,Boombl4,3,4450,3600,4150,semi,3,d53f2850c300c053
76561198355739212,torzsi,2,4450,4400,4600,full,3,d53f2850c300c053
76561198059614402,zorte,3,4050,1000,5050,full,3,d53f2850c300c053
76561198855375325,Jimpphat,2,4300,4300,4500,full,3,d53f2850c300c053
76561198150673360,siuhy,2,4600,4600,4800,full,3,d53f2850c300c053
76561198045433304,Ax1Le,3,3400,1100,5500,full,3,d53f2850c300c053
76561198167785069,s1ren,3,3400,1400,5900,full,3,d53f2850c300c053
76561198193174134,xertioN,2,4450,4400,4600,full,3,d53f2850c300c053
76561198138828475,Brollan,2,4750,4600,4800,full,3,d53f2850c300c053
76561198372023214,Magnojez,3,3650,2300,5400,full,3,d53f2850c300c053
76561198372023214,Magnojez,3,2750,1000,5400,full,4,d53f2850c300c053
76561198146207066,Boombl4,3,2850,2700,5800,full,4,d53f2850c300c053
76561198355739212,torzsi,2,3550,700,5000,full,4,d53f2850c300c053
76561198045433304,Ax1Le,3,3700,2300,5400,full,4,d53f2850c300c053
76561198167785069,s1ren,3,3400,3200,5300,full,4,d53f2850c300c053
76561198855375325,Jimpphat,2,3800,2200,5100,full,4,d53f2850c300c053
76561198150673360,siuhy,2,3800,3600,5000,full,4,d53f2850c300c053
76561198193174134,xertioN,2,3850,2100,5000,full,4,d53f2850c300c053
76561198059614402,zorte,3,4450,4000,5050,full,4,d53f2850c300c053
76561198138828475,Brollan,2,3650,3600,5000,full,4,d53f2850c300c053
76561198855375325,Jimpphat,2,4100,4000,4200,full,5,d53f2850c300c053
76561198150673360,siuhy,2,2700,2600,2600,force-buy,5,d53f2850c300c053
76561198045433304,Ax1Le,3,6100,5750,5200,full,5,d53f2850c300c053
76561198059614402,zorte,3,3950,1750,6700,full,5,d53f2850c300c053
76561198138828475,Brollan,2,2550,2550,2750,force-buy,5,d53f2850c300c053
76561198372023214,Magnojez,3,5250,5200,5400,full,5,d53f2850c300c053
76561198146207066,Boombl4,3,3950,2700,5800,full,5,d53f2850c300c053
76561198355739212,torzsi,2,5950,5900,6100,full,5,d53f2850c300c053
76561198167785069,s1ren,3,4000,4000,5700,full,5,d53f2850c300c053
76561198193174134,xertioN,2,4850,4800,5000,full,5,d53f2850c300c053
76561198372023214,Magnojez,3,1750,0,200,eco,6,d53f2850c300c053
