number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,65,133,9214,11591,11101,13785,11549,14333,BIG CS2,SAW,1,0,3,2,4000,4000,4200,4300,3400,3300,pistol,pistol,170284,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
2,11549,14333,33306,41710,36400,45354,36848,45952,BIG CS2,SAW,2,0,3,2,18350,10200,18400,1000,15700,0,semi,eco,386932,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
3,36848,45952,38128,47850,43089,53790,43537,54367,BIG CS2,SAW,3,0,3,2,20700,22200,27650,22900,9650,21900,full,full,97765,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
4,43537,54367,44817,56245,48058,60200,48506,60788,BIG CS2,SAW,4,0,3,2,28500,15400,30550,8250,15200,8250,full,semi,72756,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
5,48506,60788,49786,62773,58796,73553,59244,74080,BIG CS2,SAW,4,1,3,2,31050,24450,31300,24800,8050,23800,full,full,159220,9,SAW,2,0,fa9fcdfe9c4fc7d1
6,59244,74080,60524,75974,67884,84663,68332,85186,BIG CS2,SAW,5,1,3,2,31200,18700,28750,23950,27750,16900,full,full,132004,12,BIG CS2,3,0,fa9fcdfe9c4fc7d1
7,68332,85186,69612,87023,78683,97698,79131,98242,BIG CS2,SAW,5,2,3,2,20600,10800,30550,21750,9550,10000,full,full,156065,1,SAW,2,0,fa9fcdfe9c4fc7d1
8,81232,101078,82512,103048,89872,111744,90320,112308,BIG CS2,SAW,6,2,3,2,18450,18800,29200,27350,12800,12600,full,full,133039,12,BIG CS2,3,0,fa9fcdfe9c4fc7d1
9,93332,116354,94612,118096,99630,124011,100078,124607,BIG CS2,SAW,7,2,3,2,23300,16100,30550,8500,10350,7600,full,semi,95507,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
10,100078,124607,101358,126501,104531,130349,104979,130901,BIG CS2,SAW,8,2,3,2,30300,23600,30650,24100,13400,22700,full,full,71621,8,BIG CS2,3,0,fa9fcdfe9c4fc7d1
11,104979,130901,106259,132763,115079,142925,115527,143535,BIG CS2,SAW,8,3,3,2,34250,18200,29850,11000,8100,10300,full,semi,149978,1,SAW,2,0,fa9fcdfe9c4fc7d1
12,115527,143535,116807,145585,123175,153229,123719,153871,BIG CS2,SAW,8,4,3,2,34450,26200,31750,25200,24650,24000,full,full,120915,9,SAW,2,0,fa9fcdfe9c4fc7d1
13,123719,153871,138112,172650,141547,176701,141995,177293,BIG CS2,SAW,9,4,2,3,4000,4000,4250,4500,3450,3400,pistol,pistol,284764,9,BIG CS2,2,0,fa9fcdfe9c4fc7d1
14,141995,177293,143275,179109,148379,185083,148827,185613,BIG CS2,SAW,10,4,2,3,18600,10400,19850,1000,17600,0,semi,eco,97166,9,BIG CS2,2,0,fa9fcdfe9c4fc7d1
15,148827,185613,150107,187448,157467,196332,157915,196903,BIG CS2,SAW,10,5,2,3,19050,23300,23200,24150,14500,22950,full,full,133700,12,SAW,3,0,fa9fcdfe9c4fc7d1
16,160678,200641,161958,202446,168187,209808,168635,210341,BIG CS2,SAW,10,6,2,3,9050,17500,16900,27300,8900,11100,force-buy,full,114342,7,SAW,3,0,fa9fcdfe9c4fc7d1
17,168635,210341,169915,212185,176268,219554,176716,220098,BIG CS2,SAW,10,7,2,3,13250,25400,7850,29350,2750,11650,semi,full,114915,8,SAW,3,0,fa9fcdfe9c4fc7d1
18,176716,220098,177996,221882,181310,225973,181758,226548,BIG CS2,SAW,10,8,2,3,23700,31300,23250,30750,22250,22800,full,full,73280,8,SAW,3,0,fa9fcdfe9c4fc7d1
