frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
17015,13602,1,mezii,76561197973140692,3,Team A,hampus,76561198086945950,2,Team B,,0,0,,P2000,pistol,1,0,0,0,0,0,-793.698059,-2245.566162,-179.570312,0,0,-624.792053,-901.640259,-233.144897,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,34.437885,f5be5e4a4b5dfebe
17369,13905,1,ropz,76561197991272318,3,Team A,isak,76561198071910365,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-737.031494,7.207597,-143.968750,0,0,-835.079895,271.134216,-168.169067,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,7.098595,f5be5e4a4b5dfebe
17425,13958,1,adamb,76561198851067539,2,Team B,ropz,76561197991272318,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-814.335144,213.506882,-172.461792,0,0,-743.042297,5.477046,-143.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,5.628533,f5be5e4a4b5dfebe
17964,14422,1,flameZ,76561197978835160,3,Team A,adamb,76561198851067539,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,-2275.778564,252.083527,-166.912415,0,0,-1342.420776,406.493713,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,24.146292,f5be5e4a4b5dfebe
18111,14556,1,flameZ,76561197978835160,3,Team A,Plopski,76561198135878798,2,Team B,adamb,76561198851067539,2,Team B,USP-S,pistol,1,0,0,0,0,0,-2285.037354,321.647278,-167.968750,0,0,-1366.909180,369.935852,-167.968750,0,0,0,-1343.827393,407.957520,-167.968750,0,1,0,0,23.323938,f5be5e4a4b5dfebe
18195,14630,1,L00m1,76561198890491804,2,Team B,flameZ,76561197978835160,3,Team A,Plopski,76561198135878798,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-2128.964355,759.186646,-128.158325,0,0,-2320.139893,396.438873,-167.968750,0,0,0,-1366.523071,368.179779,-167.968750,1,1,0,0,10.466496,f5be5e4a4b5dfebe
18490,14889,1,L00m1,76561198890491804,2,Team B,ZywOo,76561198113666193,3,Team A,hampus,76561198086945950,2,Team B,Glock-18,pistol,1,0,0,0,0,0,-2329.770996,507.168976,-167.968750,0,0,-2185.267822,93.432838,-159.968750,0,0,0,-625.171753,-901.162109,-233.384033,0,1,0,0,11.131697,f5be5e4a4b5dfebe
18541,14934,1,mezii,76561197973140692,3,Team A,L00m1,76561198890491804,2,Team B,flameZ,76561197978835160,3,Team A,P2000,pistol,1,0,0,0,0,0,-2303.501953,-603.047058,-167.968750,0,0,-2274.128662,515.121277,-167.796143,0,0,0,-2320.139893,396.438873,-167.968750,1,0,0,0,28.471231,f5be5e4a4b5dfebe
25540,20378,2,Plopski,76561198135878798,2,Team B,ZywOo,76561198113666193,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,245.137711,-325.694824,-166.888184,0,0,-1195.907104,-618.999329,-167.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,37.352703,f5be5e4a4b5dfebe
25599,20434,2,ropz,76561197991272318,3,Team A,Plopski,76561198135878798,2,Team B,ZywOo,76561198113666193,3,Team A,M4A1,rifle,1,0,0,0,0,0,-893.388489,-332.072510,-165.732544,0,0,240.048737,-335.524536,-166.840454,0,0,0,-1195.994629,-618.590393,-167.968750,1,1,0,0,28.789879,f5be5e4a4b5dfebe
