name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
jabbi,76561198120557348,42,Astralis,15,8,13,6,40,1.153846,85.000000,73.949997,0.750000,0.650000,4.150000,3,-1,0,0,0,2,0,0,1479,147,83,5,8,6,6,2,4,2,1,1,1,1,6,5,5,1,4,1,4,5,0,0,7,4,0,0,0,1.260305,1.028883,CSGO-tcLe2-hWr4m-YLDyq-LxskU-fcEBM,1,0,3d26344f17f13837
siuhy,76561198150673360,30,MOUZ,12,3,15,7,58,0.800000,70.000000,62.150002,0.600000,0.750000,2.150000,1,-1,0,0,0,0,0,0,1243,212,43,5,8,6,6,2,3,1,0,0,0,2,7,6,6,2,2,3,3,2,0,2,5,2,1,0,0,0.905198,0.850777,CSGO-ictiP-ntzq2-3H5eD-OWWqR-EUx9H,0,0,3d26344f17f13837
Brollan,76561198138828475,25,MOUZ,7,5,14,7,100,0.500000,65.000000,45.049999,0.350000,0.700000,2.650000,2,-1,0,0,0,1,1,0,901,171,53,8,11,9,9,5,4,2,1,1,1,4,9,8,8,4,0,4,0,3,0,2,5,1,0,0,0,0.634502,0.566782,CSGO-QOS5y-kyeKF-7ExW2-ZH3K8-dv6KQ,2,0,3d26344f17f13837
Staehr,76561198005107817,45,Astralis,17,9,12,12,70,1.416667,95.000000,98.449997,0.850000,0.600000,5.900000,2,-1,0,0,0,1,0,0,1969,344,118,7,10,8,8,4,4,2,1,1,1,3,8,7,7,3,6,1,4,4,0,1,6,4,1,0,0,1.529765,1.240335,CSGO-tcLe2-hWr4m-YLDyq-LxskU-fcEBM,3,0,3d26344f17f13837
torzsi,76561198355739212,31,MOUZ,13,3,16,8,61,0.812500,65.000000,73.800003,0.650000,0.800000,4.950000,1,-1,0,0,0,0,0,0,1476,256,99,8,11,9,9,5,3,1,0,0,0,5,10,9,9,5,1,1,4,2,0,0,4,3,1,0,0,0.922550,0.880662,CSGO-hP4eK-PqkTQ-jo4T7-cmpxc-ZHZML,3,0,3d26344f17f13837
cadiaN,76561198004115516,31,Astralis,9,10,12,5,55,0.750000,85.000000,68.449997,0.450000,0.600000,13.400000,3,-1,0,0,0,1,0,0,1369,201,268,5,8,6,6,2,3,1,0,0,0,2,7,6,6,2,2,2,1,7,0,2,5,2,0,0,0,1.020011,0.761121,CSGO-epZ4P-q6Nyk-MuvPW-bD24O-uhmwG,0,0,3d26344f17f13837
Jimpphat,76561198855375325,26,MOUZ,10,3,16,6,60,0.625000,70.000000,65.500000,0.500000,0.800000,7.000000,1,-1,0,0,0,1,0,0,1310,363,140,8,11,9,9,5,3,1,0,0,0,5,10,9,9,5,0,4,4,6,0,2,6,0,0,1,0,0.802840,0.755338,CSGO-bopnR-iKr5Z-75B9Z-T3uyu-FZQ3A,1,0,3d26344f17f13837
xertioN,76561198193174134,41,MOUZ,14,6,16,11,78,0.875000,80.000000,84.500000,0.700000,0.800000,6.850000,2,-1,0,0,0,2,0,0,1690,357,137,6,9,7,7,3,3,1,0,0,0,3,8,7,7,3,1,3,5,4,0,0,12,1,0,0,0,1.124450,0.777421,CSGO-YM3TK-ZRY9b-VhAvk-qsONh-TsKjC,4,0,3d26344f17f13837
stavn,76561198022365638,45,Astralis,14,8,12,8,57,1.166667,80.000000,73.449997,0.700000,0.600000,3.250000,3,-1,0,0,0,4,0,0,1469,148,65,5,8,6,6,2,4,2,1,1,1,1,6,5,5,1,0,0,8,4,0,0,6,4,0,0,0,1.205633,1.028001,CSGO-R4VWt-GuLXO-er6Ha-QJZN3-qdq3B,2,0,3d26344f17f13837
dev1ce,76561197987713664,55,Astralis,22,5,7,6,27,3.142857,90.000000,92.050003,1.100000,0.350000,4.050000,2,-1,0,0,0,2,0,0,1841,223,81,5,8,6,6,2,3,1,0,0,0,2,7,6,6,2,3,0,4,2,0,0,6,6,0,1,0,1.802169,1.798688,CSGO-5Vwmc-kZCTq-xVSM5-Rxwzx-FZaUN,4,0,3d26344f17f13837
