frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
950,730,1,76561198855375325,2,Jimpphat,Kevlar Vest,equipment,01JM61EDNQ0C5WVVDFN18DKC5D,0,95b841ba110bc66
952,731,1,76561198120557348,3,jabbi,Kevlar Vest,equipment,01JM61EDNQ0C5WVVDFN55G69MS,0,95b841ba110bc66
976,751,1,76561198005107817,3,Staehr,Kevlar Vest,equipment,01JM61EDNQ0C5WVVDFN6CZA2P6,0,95b841ba110bc66
1118,870,1,76561198150673360,2,siuhy,Kevlar Vest,equipment,01JM61EDNSXNNAQPFDJ2AEV0N7,0,95b841ba110bc66
1212,950,1,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM61EDNTBFK4XMX8M4R4GGCP,0,95b841ba110bc66
1353,1075,1,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM61EDNW5N1BV0085CJJKVNS,0,95b841ba110bc66
16267,13312,2,76561198005107817,3,Staehr,Kevlar Vest,equipment,01JM61EE26WG79NZ3WDPC40KZK,0,95b841ba110bc66
16297,13330,2,76561198005107817,3,Staehr,SSG 08,sniper,01JM61EE233XJDN1NFB53HJHKV,0,95b841ba110bc66
16319,13345,2,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM61EE27ZYZRRZ8N62FE07MP,0,95b841ba110bc66
16348,13369,2,76561197987713664,3,dev1ce,Desert Eagle,pistol,01JM61EE233XJDN1NFBBYYKB0Q,0,95b841ba110bc66
16382,13394,2,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM61EE29M174K7T030MT8CXP,0,95b841ba110bc66
16788,13696,2,76561198193174134,2,xertioN,Galil AR,rifle,01JM61EE233XJDN1NFBBW8878X,0,95b841ba110bc66
16852,13740,2,76561198193174134,2,xertioN,Kevlar + Helmet,equipment,01JM61EE2HQM6R67F2Y231SQK3,0,95b841ba110bc66
16926,13789,2,76561198193174134,2,xertioN,Molotov,grenade,01JM61EE24XZCBVDJ18HKN4N8W,0,95b841ba110bc66
16926,13789,2,76561198193174134,2,xertioN,Flashbang,grenade,01JM61EE2HQM6R67F2Y31FEMCX,0,95b841ba110bc66
16926,13789,2,76561198193174134,2,xertioN,Smoke Grenade,grenade,01JM61EE2HQM6R67F2Y4RWJN7G,0,95b841ba110bc66
16945,13800,2,76561198855375325,2,Jimpphat,MAC-10,smg,01JM61EE2JCM26ZYRR39S6PC7A,0,95b841ba110bc66
