frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
19464,15563,1,4,2,0,76561198022365638,stavn,0,0,d6a5da1b4e77c240
27552,21894,2,3,2,0,76561198004115516,cadiaN,0,0,d6a5da1b4e77c240
35536,28276,3,4,2,0,76561197987713664,dev1ce,0,0,d6a5da1b4e77c240
46737,37167,4,3,2,0,76561197987713664,dev1ce,1,1,d6a5da1b4e77c240
57195,45424,5,3,3,0,76561198995880877,zont1x,1,1,d6a5da1b4e77c240
71821,57046,6,3,2,0,76561198120557348,jabbi,0,0,d6a5da1b4e77c240
81169,64375,7,3,3,0,76561198995880877,zont1x,0,1,d6a5da1b4e77c240
89940,71433,8,5,2,0,76561198120557348,jabbi,0,2,d6a5da1b4e77c240
100549,79913,9,5,2,0,76561198120557348,jabbi,0,0,d6a5da1b4e77c240
129990,103199,11,3,3,0,76561198081484775,sh1ro,1,1,d6a5da1b4e77c240
140875,111707,12,4,3,0,76561198045898864,chopper,0,0,d6a5da1b4e77c240
165372,131738,13,2,3,0,76561198120557348,jabbi,0,0,d6a5da1b4e77c240
173946,138425,14,4,3,0,76561198005107817,Staehr,1,0,d6a5da1b4e77c240
182218,145134,15,4,3,0,76561198004115516,cadiaN,0,0,d6a5da1b4e77c240
215468,171979,17,3,3,0,76561198022365638,stavn,0,0,d6a5da1b4e77c240
225991,180500,18,2,3,0,76561198004115516,cadiaN,0,0,d6a5da1b4e77c240
