frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
3075,2641,1,3,3,1,76561198081484775,sh1ro,0,4,4c63395b4c2d2672
19264,15991,1,1,2,0,76561198081484775,sh1ro,0,0,4c63395b4c2d2672
47094,38328,4,4,3,0,76561197987713664,dev1ce,0,1,4c63395b4c2d2672
58626,47582,5,4,2,0,76561198995880877,zont1x,0,2,4c63395b4c2d2672
73444,59481,6,2,3,0,76561197987713664,dev1ce,0,0,4c63395b4c2d2672
92088,74265,8,3,3,0,76561198120557348,jabbi,0,1,4c63395b4c2d2672
103993,83572,9,2,3,0,76561198022365638,stavn,0,0,4c63395b4c2d2672
115754,92976,10,4,3,0,76561197987713664,dev1ce,0,1,4c63395b4c2d2672
122671,98555,11,4,3,0,76561198120557348,jabbi,0,1,4c63395b4c2d2672
133017,106830,12,3,2,0,76561199063238565,magixx,0,1,4c63395b4c2d2672
155007,124710,13,3,2,0,76561198120557348,jabbi,0,0,4c63395b4c2d2672
163617,131437,14,4,2,0,76561198005107817,Staehr,0,0,4c63395b4c2d2672
170332,136634,15,2,2,1,76561198005107817,Staehr,1,2,4c63395b4c2d2672
170382,136680,15,1,3,0,76561198995880877,zont1x,0,0,4c63395b4c2d2672
183537,147658,16,2,2,0,76561198022365638,stavn,0,0,4c63395b4c2d2672
204221,164009,18,4,2,0,76561197987713664,dev1ce,0,1,4c63395b4c2d2672
