number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,514,708,9743,12773,13201,16908,13649,17677,Spirit,FaZe Clan,0,1,3,2,4000,4000,4250,4800,3450,3400,pistol,pistol,201294,9,FaZe Clan,2,0,c53128b26fc9081c
2,13649,17677,14929,19629,22856,28877,23304,29563,Spirit,FaZe Clan,0,2,3,2,10950,18650,2000,20050,1400,18250,eco,full,139166,9,FaZe Clan,2,0,c53128b26fc9081c
3,23304,29563,24584,31459,30328,38219,30776,38862,Spirit,FaZe Clan,1,2,3,2,22750,18450,23800,20950,22300,16250,full,full,107555,8,Spirit,3,0,c53128b26fc9081c
4,30776,38862,32056,40823,35641,45250,36089,45832,Spirit,FaZe Clan,2,2,3,2,18200,9800,25700,9700,12900,9500,full,force-buy,79374,8,Spirit,3,0,c53128b26fc9081c
5,36089,45832,44014,55826,45316,57419,45764,58091,Spirit,FaZe Clan,3,2,3,2,23050,10100,26850,1400,9000,800,full,eco,143975,8,Spirit,3,0,c53128b26fc9081c
6,45764,58091,47044,59986,54390,68843,54838,69528,Spirit,FaZe Clan,4,2,3,2,31800,21300,27150,21800,2200,20800,full,full,133599,7,Spirit,3,0,c53128b26fc9081c
7,54838,69528,56118,71458,63089,79649,63537,80375,Spirit,FaZe Clan,4,3,3,2,48900,19200,29300,11550,20550,10950,full,semi,125759,1,FaZe Clan,2,0,c53128b26fc9081c
8,65733,83359,67013,85368,73602,93334,74050,94015,Spirit,FaZe Clan,4,4,3,2,36650,27250,29750,26950,28750,25750,full,full,123945,9,FaZe Clan,2,0,c53128b26fc9081c
9,74050,94015,75330,95812,84185,106203,84633,106819,Spirit,FaZe Clan,5,4,3,2,18100,19550,9900,25700,9700,15050,semi,full,151442,7,Spirit,3,0,c53128b26fc9081c
10,84633,106819,85913,108649,93273,117344,93721,117960,Spirit,FaZe Clan,6,4,3,2,27500,18500,29400,18250,20000,17850,full,force-buy,130779,12,Spirit,3,0,c53128b26fc9081c
11,96117,121057,97397,122933,102399,128991,102847,129692,Spirit,FaZe Clan,6,5,3,2,24650,8150,30000,14800,10800,7700,full,force-buy,98584,9,FaZe Clan,2,0,c53128b26fc9081c
12,102847,129692,104127,131597,108355,136696,109315,137887,Spirit,FaZe Clan,6,6,3,2,20950,18500,21250,27950,20050,16350,force-buy,full,87028,9,FaZe Clan,2,0,c53128b26fc9081c
13,109315,137887,121910,153900,125667,158379,126115,159023,Spirit,FaZe Clan,7,6,2,3,4000,4000,4550,4200,3350,3400,pistol,pistol,254624,9,Spirit,2,0,c53128b26fc9081c
14,126115,159023,127395,160902,130397,164527,130845,165274,Spirit,FaZe Clan,8,6,2,3,18700,10100,17850,1000,15950,0,semi,eco,68390,9,Spirit,2,0,c53128b26fc9081c
15,130845,165274,132125,167209,139719,176141,140167,176808,Spirit,FaZe Clan,8,7,2,3,21100,22400,21750,23800,8400,22100,full,full,135028,7,FaZe Clan,3,0,c53128b26fc9081c
16,142407,179886,143687,181832,152678,192487,153126,193153,Spirit,FaZe Clan,9,7,2,3,23900,19600,22250,25300,21550,16850,full,full,156574,9,Spirit,2,0,c53128b26fc9081c
17,153126,193153,154406,194961,160052,201706,160500,202333,Spirit,FaZe Clan,10,7,2,3,20400,13150,23900,5950,15550,5150,full,semi,106275,9,Spirit,2,0,c53128b26fc9081c
18,160500,202333,161780,204189,169140,212908,169588,213585,Spirit,FaZe Clan,10,8,2,3,22900,20600,24100,21900,12400,20400,full,force-buy,131400,12,FaZe Clan,3,0,c53128b26fc9081c
19,171677,216311,172957,218163,182775,229711,183223,230449,Spirit,FaZe Clan,11,8,2,3,14700,17350,23700,25700,13300,6250,full,full,166502,1,Spirit,2,0,c53128b26fc9081c
20,185647,233598,186927,235509,194287,244493,194735,245181,Spirit,FaZe Clan,11,9,2,3,20100,21200,25400,27050,13200,18100,full,full,135376,12,FaZe Clan,3,0,c53128b26fc9081c
21,194735,245181,196015,247006,202007,254071,202455,254671,Spirit,FaZe Clan,12,9,2,3,12300,19850,20500,25650,11500,17400,full,full,110463,1,Spirit,2,0,c53128b26fc9081c
22,204847,258010,206127,259875,212083,267021,212531,267690,Spirit,FaZe Clan,12,10,2,3,19500,9750,23800,22250,9300,9500,full,force-buy,111966,8,FaZe Clan,3,0,c53128b26fc9081c
23,212531,267690,213811,269696,222495,280091,222495,280091,Spirit,FaZe Clan,13,10,2,3,18700,11200,18250,29500,17450,14700,force-buy,full,154089,9,Spirit,2,0,c53128b26fc9081c
