frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
1262,1077,1,huNter,76561198012872053,2,G2 Esports,huNter,76561198012872053,2,G2 Esports,,0,0,,World,world,0,0,0,0,0,0,-1662.180054,288.761993,-63.968750,0,0,-1662.180054,288.761993,-63.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,387c0cf5e98d763b
15468,12536,1,YEKINDAR,76561198134401925,3,Liquid,m0NESY,76561198074762801,2,G2 Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,348.501160,2996.031738,162.009354,0,0,767.759155,2789.166748,183.820862,1,1,0,0.000000,0.000000,0.000000,0,1,0,0,11.943653,387c0cf5e98d763b
15531,12593,1,YEKINDAR,76561198134401925,3,Liquid,Snax,76561197982141573,2,G2 Esports,NAF-FLY,76561198001151695,3,Liquid,USP-S,pistol,1,0,0,0,0,0,352.079407,3003.209961,162.259827,0,0,769.539795,2828.648682,140.118225,0,1,0,1171.650513,2760.289795,124.210930,0,1,0,0,11.537491,387c0cf5e98d763b
15577,12631,1,malbsMd,76561198080703143,2,G2 Esports,YEKINDAR,76561198134401925,3,Liquid,,0,0,,Glock-18,pistol,1,0,0,0,0,0,646.386169,2532.041748,189.031250,0,1,316.338501,2958.256836,161.531250,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,13.756786,387c0cf5e98d763b
15724,12756,1,NAF-FLY,76561198001151695,3,Liquid,malbsMd,76561198080703143,2,G2 Esports,YEKINDAR,76561198134401925,3,Liquid,USP-S,pistol,1,0,1,0,0,0,795.492737,2842.707031,145.996674,0,0,558.605591,2594.292480,186.478058,1,0,0,316.338501,2958.256836,161.531250,1,1,0,0,8.729910,387c0cf5e98d763b
15739,12770,1,NiKo,76561198041683378,2,G2 Esports,NAF-FLY,76561198001151695,3,Liquid,malbsMd,76561198080703143,2,G2 Esports,Glock-18,pistol,1,0,0,0,0,0,752.692261,2921.927490,138.708176,0,0,795.968445,2842.077148,146.238663,0,0,0,534.013306,2587.849609,177.008560,1,0,0,0,2.313028,387c0cf5e98d763b
15788,12813,1,NiKo,76561198041683378,2,G2 Esports,Twistzz,76561198016255205,3,Liquid,,0,0,,Glock-18,pistol,1,0,0,0,0,0,783.166199,2888.171631,143.239868,0,0,285.309601,2460.149414,167.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.691267,387c0cf5e98d763b
17524,14340,1,NiKo,76561198041683378,2,G2 Esports,ultimate,76561198283989223,3,Liquid,,0,0,,Glock-18,pistol,1,0,0,0,0,0,469.910248,2476.705566,167.031250,0,0,563.016052,2831.133545,161.531235,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.235972,387c0cf5e98d763b
17674,14453,1,NiKo,76561198041683378,2,G2 Esports,jks,76561197977105184,3,Liquid,,0,0,,Glock-18,pistol,1,0,0,0,0,0,480.947113,2599.093262,161.531235,0,0,735.195557,2570.355957,136.031464,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.534312,387c0cf5e98d763b
25930,20967,2,malbsMd,76561198080703143,2,G2 Esports,ultimate,76561198283989223,3,Liquid,,0,0,,AK-47,rifle,0,0,0,0,0,0,409.358368,497.960785,93.916283,0,1,1329.796997,619.055359,127.795464,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,23.614111,387c0cf5e98d763b
