steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198080703143,malbsMd,2,800,650,850,pistol,1,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,800,800,500,pistol,1,387c0cf5e98d763b
76561198283989223,ultimate,3,800,650,850,pistol,1,387c0cf5e98d763b
76561198074762801,m0NESY,2,800,650,850,pistol,1,387c0cf5e98d763b
76561198016255205,Twistzz,3,800,650,950,pistol,1,387c0cf5e98d763b
76561198041683378,NiKo,2,800,650,850,pistol,1,387c0cf5e98d763b
76561197982141573,Snax,2,800,700,900,pistol,1,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,800,650,1050,pistol,1,387c0cf5e98d763b
76561198012872053,huNter,2,800,700,900,pistol,1,387c0cf5e98d763b
76561198074762801,m0NESY,2,3400,3300,3700,semi,2,387c0cf5e98d763b
76561198016255205,Twistzz,3,2050,2000,2000,force-buy,2,387c0cf5e98d763b
76561197977105184,jks,3,2050,1900,2100,force-buy,2,387c0cf5e98d763b
76561198041683378,NiKo,2,4900,4900,5100,full,2,387c0cf5e98d763b
76561197982141573,Snax,2,3350,3250,3450,semi,2,387c0cf5e98d763b
76561198283989223,ultimate,3,2050,1150,1150,semi,2,387c0cf5e98d763b
76561198012872053,huNter,2,3350,3250,3550,semi,2,387c0cf5e98d763b
76561198080703143,malbsMd,2,3700,3700,3900,semi,2,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,2200,2100,2100,force-buy,2,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,2650,2550,2750,force-buy,2,387c0cf5e98d763b
76561198080703143,malbsMd,2,3800,800,5100,full,3,387c0cf5e98d763b
76561198012872053,huNter,2,4200,2200,3450,semi,3,387c0cf5e98d763b
76561197977105184,jks,3,2550,300,800,eco,3,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,2800,600,2850,semi,3,387c0cf5e98d763b
76561198283989223,ultimate,3,3300,0,500,eco,3,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,2500,200,2650,semi,3,387c0cf5e98d763b
76561198074762801,m0NESY,2,3900,1200,4200,full,3,387c0cf5e98d763b
76561198016255205,Twistzz,3,2450,600,3050,semi,3,387c0cf5e98d763b
76561198041683378,NiKo,2,3500,1200,5100,full,3,387c0cf5e98d763b
76561197982141573,Snax,2,3600,3500,4700,full,3,387c0cf5e98d763b
76561197982141573,Snax,2,3600,2400,5000,full,4,387c0cf5e98d763b
76561198080703143,malbsMd,2,7100,1100,5000,full,4,387c0cf5e98d763b
76561198283989223,ultimate,3,6200,6050,6250,full,4,387c0cf5e98d763b
76561197977105184,jks,3,5150,4850,5050,full,4,387c0cf5e98d763b
76561198041683378,NiKo,2,6100,4550,5100,full,4,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,5700,5200,5400,full,4,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,5800,5200,5400,full,4,387c0cf5e98d763b
76561198074762801,m0NESY,2,6800,4900,5100,full,4,387c0cf5e98d763b
76561198016255205,Twistzz,3,5150,1900,5500,full,4,387c0cf5e98d763b
76561198012872053,huNter,2,5500,4800,5000,full,4,387c0cf5e98d763b
76561197977105184,jks,3,3850,1650,5200,full,5,387c0cf5e98d763b
76561198041683378,NiKo,2,3550,3500,4600,full,5,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,3750,2900,5800,full,5,387c0cf5e98d763b
76561198283989223,ultimate,3,3500,1700,7750,full,5,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,3850,1100,5400,full,5,387c0cf5e98d763b
76561198012872053,huNter,2,2100,2100,4100,full,5,387c0cf5e98d763b
76561197982141573,Snax,2,2600,2600,2600,force-buy,5,387c0cf5e98d763b
76561198080703143,malbsMd,2,7400,7300,4800,full,5,387c0cf5e98d763b
76561198074762801,m0NESY,2,3300,3300,3500,force-buy,5,387c0cf5e98d763b
76561198016255205,Twistzz,3,7400,7400,4900,full,5,387c0cf5e98d763b
76561198016255205,Twistzz,3,2700,2700,2600,force-buy,6,387c0cf5e98d763b
76561198012872053,huNter,2,3250,3200,3600,semi,6,387c0cf5e98d763b
76561198134401925,YEKINDAR,3,5150,4850,5050,full,6,387c0cf5e98d763b
76561197977105184,jks,3,4900,4850,5050,full,6,387c0cf5e98d763b
76561198041683378,NiKo,2,3600,2400,5100,full,6,387c0cf5e98d763b
76561197982141573,Snax,2,3850,3800,4400,full,6,387c0cf5e98d763b
76561198080703143,malbsMd,2,3350,2100,5000,full,6,387c0cf5e98d763b
76561198001151695,NAF-FLY,3,3250,3250,3750,force-buy,6,387c0cf5e98d763b
