frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
18059,14330,1,5,3,0,76561199063238565,magixx,1,1,58a332f9511c65a2
38846,30798,3,3,2,0,76561198080703143,malbsMd,1,0,58a332f9511c65a2
66305,52534,5,3,2,0,76561198041683378,NiKo,0,0,58a332f9511c65a2
77639,61400,6,3,2,0,76561198012872053,huNter,0,0,58a332f9511c65a2
90180,71383,7,2,3,0,76561198081484775,sh1ro,0,1,58a332f9511c65a2
90735,71865,7,1,2,1,76561198041683378,NiKo,1,0,58a332f9511c65a2
103634,81884,8,2,2,1,76561198041683378,NiKo,1,2,58a332f9511c65a2
103723,81963,8,1,3,0,76561198386265483,donk,0,0,58a332f9511c65a2
115984,91797,9,3,3,0,76561198386265483,donk,0,0,58a332f9511c65a2
124566,98377,10,5,3,0,76561199063238565,magixx,0,0,58a332f9511c65a2
135957,107334,11,2,2,0,76561198074762801,m0NESY,0,1,58a332f9511c65a2
136356,107674,11,1,3,1,76561198081484775,sh1ro,1,1,58a332f9511c65a2
147899,116760,12,2,2,0,76561198012872053,huNter,0,1,58a332f9511c65a2
147988,116842,12,1,3,1,76561198081484775,sh1ro,1,1,58a332f9511c65a2
170364,134653,13,4,2,0,76561198995880877,zont1x,0,0,58a332f9511c65a2
179808,142400,14,5,2,0,76561198386265483,donk,0,0,58a332f9511c65a2
188546,149211,15,4,2,0,76561198081484775,sh1ro,0,1,58a332f9511c65a2
194642,153687,16,4,2,0,76561199063238565,magixx,0,1,58a332f9511c65a2
212264,167480,17,3,3,0,76561197982141573,Snax,0,1,58a332f9511c65a2
237177,187200,19,4,3,0,76561198080703143,malbsMd,0,0,58a332f9511c65a2
247575,195384,20,5,3,0,76561198080703143,malbsMd,0,1,58a332f9511c65a2
259618,204979,21,2,3,0,76561198080703143,malbsMd,1,0,58a332f9511c65a2
275743,218267,22,2,2,0,76561198995880877,zont1x,0,1,58a332f9511c65a2
275929,218433,22,1,3,1,76561197982141573,Snax,1,1,58a332f9511c65a2
297067,234974,24,3,3,0,76561198074762801,m0NESY,0,0,58a332f9511c65a2
310830,245843,25,4,3,0,76561198012872053,huNter,0,0,58a332f9511c65a2
324609,256705,26,4,2,0,76561199063238565,magixx,1,0,58a332f9511c65a2
332927,263147,27,2,2,0,76561198386265483,donk,0,0,58a332f9511c65a2
344307,272345,28,2,3,0,76561198386265483,donk,0,1,58a332f9511c65a2
344530,272535,28,1,2,1,76561198080703143,malbsMd,1,1,58a332f9511c65a2
353087,278962,29,4,3,0,76561198081484775,sh1ro,0,0,58a332f9511c65a2
